# Energy(MeV) Fluence_4Pi(p/cm2)
1.550175e+01 0.000000e+00
1.571784e+01 0.000000e+00
1.593694e+01 0.000000e+00
1.615909e+01 0.000000e+00
1.638434e+01 0.000000e+00
1.661273e+01 0.000000e+00
1.684430e+01 0.000000e+00
1.707910e+01 0.000000e+00
1.731717e+01 0.000000e+00
1.755856e+01 0.000000e+00
1.780332e+01 0.000000e+00
1.805149e+01 0.000000e+00
1.830312e+01 0.000000e+00
1.855825e+01 0.000000e+00
1.881694e+01 0.000000e+00
1.907924e+01 0.000000e+00
1.934520e+01 0.000000e+00
1.961486e+01 0.000000e+00
1.988828e+01 0.000000e+00
2.016551e+01 0.000000e+00
2.044661e+01 0.000000e+00
2.073162e+01 0.000000e+00
2.102061e+01 0.000000e+00
2.131362e+01 0.000000e+00
2.161073e+01 0.000000e+00
2.191197e+01 0.000000e+00
2.221741e+01 0.000000e+00
2.252711e+01 0.000000e+00
2.284112e+01 0.000000e+00
2.315951e+01 0.000000e+00
2.348235e+01 0.000000e+00
2.380968e+01 0.000000e+00
2.414157e+01 0.000000e+00
2.447809e+01 0.000000e+00
2.481930e+01 0.000000e+00
2.516527e+01 0.000000e+00
2.551606e+01 0.000000e+00
2.587174e+01 0.000000e+00
2.623238e+01 0.000000e+00
2.659804e+01 0.000000e+00
2.696881e+01 0.000000e+00
2.734474e+01 0.000000e+00
2.772591e+01 0.000000e+00
2.811239e+01 0.000000e+00
2.850426e+01 0.000000e+00
2.890160e+01 0.000000e+00
2.930447e+01 0.000000e+00
2.971296e+01 0.000000e+00
3.012714e+01 0.000000e+00
3.054710e+01 0.000000e+00
3.097291e+01 0.000000e+00
3.140465e+01 0.000000e+00
3.184242e+01 0.000000e+00
3.228628e+01 0.000000e+00
3.273634e+01 0.000000e+00
3.319266e+01 0.000000e+00
3.365535e+01 0.000000e+00
3.412449e+01 0.000000e+00
3.460016e+01 0.000000e+00
3.508247e+01 0.000000e+00
3.557150e+01 0.000000e+00
3.606735e+01 0.000000e+00
3.657011e+01 0.000000e+00
3.707988e+01 0.000000e+00
3.759675e+01 0.000000e+00
3.812083e+01 0.000000e+00
3.865221e+01 0.000000e+00
3.919100e+01 0.000000e+00
3.973730e+01 0.000000e+00
4.029122e+01 0.000000e+00
4.085286e+01 0.000000e+00
4.142232e+01 0.000000e+00
4.199973e+01 0.000000e+00
4.258518e+01 0.000000e+00
4.317880e+01 0.000000e+00
4.378069e+01 0.000000e+00
4.439097e+01 0.000000e+00
4.500975e+01 0.000000e+00
4.563716e+01 0.000000e+00
4.627332e+01 0.000000e+00
4.691835e+01 0.000000e+00
4.757236e+01 0.000000e+00
4.823549e+01 0.000000e+00
4.890787e+01 0.000000e+00
4.958962e+01 0.000000e+00
5.028087e+01 0.000000e+00
5.098176e+01 0.000000e+00
5.169242e+01 0.000000e+00
5.241298e+01 0.000000e+00
5.314359e+01 0.000000e+00
5.388438e+01 0.000000e+00
5.463550e+01 0.000000e+00
5.539709e+01 0.000000e+00
5.616930e+01 0.000000e+00
5.695227e+01 0.000000e+00
5.774615e+01 0.000000e+00
5.855110e+01 0.000000e+00
5.936727e+01 0.000000e+00
6.019482e+01 0.000000e+00
6.103390e+01 0.000000e+00
6.188468e+01 0.000000e+00
6.274732e+01 0.000000e+00
6.362198e+01 0.000000e+00
6.450884e+01 0.000000e+00
6.540806e+01 0.000000e+00
6.631981e+01 0.000000e+00
6.724427e+01 0.000000e+00
6.818162e+01 0.000000e+00
6.913204e+01 0.000000e+00
7.009570e+01 0.000000e+00
7.107280e+01 0.000000e+00
7.206351e+01 0.000000e+00
7.306804e+01 0.000000e+00
7.408657e+01 0.000000e+00
7.511929e+01 0.000000e+00
7.616642e+01 0.000000e+00
7.722814e+01 0.000000e+00
7.830465e+01 0.000000e+00
7.939618e+01 0.000000e+00
8.050292e+01 0.000000e+00
8.162509e+01 0.000000e+00
8.276289e+01 0.000000e+00
8.391656e+01 0.000000e+00
8.508632e+01 0.000000e+00
8.627237e+01 0.000000e+00
8.747496e+01 0.000000e+00
8.869432e+01 0.000000e+00
8.993067e+01 0.000000e+00
9.118425e+01 0.000000e+00
9.245531e+01 0.000000e+00
9.374409e+01 0.000000e+00
9.505083e+01 0.000000e+00
9.637579e+01 0.000000e+00
9.771921e+01 0.000000e+00
9.908137e+01 0.000000e+00
1.004625e+02 0.000000e+00
1.018629e+02 0.000000e+00
1.032828e+02 0.000000e+00
1.047225e+02 0.000000e+00
1.061823e+02 0.000000e+00
1.076624e+02 0.000000e+00
1.091632e+02 0.000000e+00
1.106848e+02 0.000000e+00
1.122277e+02 0.000000e+00
1.137921e+02 0.000000e+00
1.153783e+02 0.000000e+00
1.169866e+02 0.000000e+00
1.186174e+02 0.000000e+00
1.202708e+02 0.000000e+00
1.219473e+02 0.000000e+00
1.236472e+02 0.000000e+00
1.253708e+02 0.000000e+00
1.271184e+02 0.000000e+00
1.288904e+02 0.000000e+00
1.306870e+02 0.000000e+00
1.325087e+02 0.000000e+00
1.343558e+02 0.000000e+00
1.362287e+02 0.000000e+00
1.381276e+02 0.000000e+00
1.400531e+02 0.000000e+00
1.420053e+02 0.000000e+00
1.439848e+02 0.000000e+00
1.459919e+02 0.000000e+00
1.480269e+02 0.000000e+00
1.500903e+02 0.000000e+00
1.521825e+02 0.000000e+00
1.543038e+02 0.000000e+00
1.564548e+02 0.000000e+00
1.586357e+02 0.000000e+00
1.608469e+02 0.000000e+00
1.630891e+02 0.000000e+00
1.653624e+02 0.000000e+00
1.676675e+02 0.000000e+00
1.700047e+02 0.000000e+00
1.723745e+02 0.000000e+00
1.747773e+02 0.000000e+00
1.772136e+02 0.000000e+00
1.796838e+02 0.000000e+00
1.821885e+02 0.000000e+00
1.847281e+02 0.000000e+00
1.873032e+02 0.000000e+00
1.899141e+02 0.000000e+00
1.925614e+02 0.000000e+00
1.952456e+02 0.000000e+00
1.979672e+02 0.000000e+00
2.007267e+02 0.000000e+00
2.035248e+02 0.000000e+00
2.063618e+02 0.000000e+00
2.092383e+02 0.000000e+00
2.121550e+02 0.000000e+00
2.151123e+02 0.000000e+00
2.181109e+02 0.000000e+00
2.211512e+02 0.000000e+00
2.242340e+02 0.000000e+00
2.273597e+02 0.000000e+00
2.305289e+02 0.000000e+00
2.337424e+02 0.000000e+00
2.370006e+02 0.000000e+00
2.403043e+02 0.000000e+00
2.436540e+02 0.000000e+00
2.470504e+02 0.000000e+00
2.504942e+02 0.000000e+00
2.539859e+02 0.000000e+00
2.575263e+02 0.000000e+00
2.611161e+02 0.000000e+00
2.647559e+02 0.000000e+00
2.684465e+02 0.000000e+00
2.721885e+02 0.000000e+00
2.759826e+02 0.000000e+00
2.798297e+02 0.000000e+00
2.837304e+02 0.000000e+00
2.876854e+02 0.000000e+00
2.916956e+02 0.000000e+00
2.957617e+02 0.000000e+00
2.998844e+02 0.000000e+00
3.040646e+02 0.000000e+00
3.083031e+02 0.000000e+00
3.126007e+02 0.000000e+00
3.169582e+02 0.000000e+00
3.213764e+02 0.000000e+00
3.258562e+02 0.000000e+00
3.303985e+02 0.000000e+00
3.350041e+02 0.000000e+00
