# E(MeV) Fluence(p/cm2/MeV)
1.550175e+01 9.724160e+06
1.571784e+01 9.349270e+06
1.593694e+01 8.988833e+06
1.615909e+01 8.642291e+06
1.638434e+01 8.309110e+06
1.661273e+01 7.988774e+06
1.684430e+01 7.682094e+06
1.707910e+01 7.387203e+06
1.731717e+01 7.107188e+06
1.755856e+01 6.838022e+06
1.780332e+01 6.579082e+06
1.805149e+01 6.330680e+06
1.830312e+01 6.091658e+06
1.855825e+01 5.861661e+06
1.881694e+01 5.640347e+06
1.907924e+01 5.427390e+06
1.934520e+01 5.222473e+06
1.961486e+01 5.025294e+06
1.988828e+01 4.835559e+06
2.016551e+01 4.652988e+06
2.044661e+01 4.477301e+06
2.073162e+01 4.305546e+06
2.102061e+01 4.140380e+06
2.131362e+01 3.981550e+06
2.161073e+01 3.828814e+06
2.191197e+01 3.681938e+06
2.221741e+01 3.540697e+06
2.252711e+01 3.404875e+06
2.284112e+01 3.274776e+06
2.315951e+01 3.151336e+06
2.348235e+01 3.032549e+06
2.380968e+01 2.918240e+06
2.414157e+01 2.808240e+06
2.447809e+01 2.702386e+06
2.481930e+01 2.600523e+06
2.516527e+01 2.502499e+06
2.551606e+01 2.408170e+06
2.587174e+01 2.317875e+06
2.623238e+01 2.231556e+06
2.659804e+01 2.147340e+06
2.696881e+01 2.066305e+06
2.734474e+01 1.987691e+06
2.772591e+01 1.910313e+06
2.811239e+01 1.835949e+06
2.850426e+01 1.764931e+06
2.890160e+01 1.696863e+06
2.930447e+01 1.631539e+06
2.971296e+01 1.569823e+06
3.012714e+01 1.510361e+06
3.054710e+01 1.452739e+06
3.097291e+01 1.397315e+06
3.140465e+01 1.344006e+06
3.184242e+01 1.292731e+06
3.228628e+01 1.243396e+06
3.273634e+01 1.196250e+06
3.319266e+01 1.150931e+06
3.365535e+01 1.107329e+06
3.412449e+01 1.065379e+06
3.460016e+01 1.025018e+06
3.508247e+01 9.861864e+05
3.557150e+01 9.488256e+05
3.606735e+01 9.128802e+05
3.657011e+01 8.786407e+05
3.707988e+01 8.455047e+05
3.759675e+01 8.129114e+05
3.812083e+01 7.815746e+05
3.865221e+01 7.516857e+05
3.919100e+01 7.228449e+05
3.973730e+01 6.953419e+05
4.029122e+01 6.689243e+05
4.085286e+01 6.435105e+05
4.142232e+01 6.188087e+05
4.199973e+01 5.951964e+05
4.258518e+01 5.726420e+05
4.317880e+01 5.509424e+05
4.378069e+01 5.300653e+05
4.439097e+01 5.099795e+05
4.500975e+01 4.904062e+05
4.563716e+01 4.715836e+05
4.627332e+01 4.534835e+05
4.691835e+01 4.360813e+05
4.757236e+01 4.193772e+05
4.823549e+01 4.034551e+05
4.890787e+01 3.881644e+05
4.958962e+01 3.735357e+05
5.028087e+01 3.594863e+05
5.098176e+01 3.459653e+05
5.169242e+01 3.329529e+05
5.241298e+01 3.204300e+05
5.314359e+01 3.083780e+05
5.388438e+01 2.967794e+05
5.463550e+01 2.856171e+05
5.539709e+01 2.748745e+05
5.616930e+01 2.645319e+05
5.695227e+01 2.545098e+05
5.774615e+01 2.448598e+05
5.855110e+01 2.355554e+05
5.936727e+01 2.265256e+05
6.019482e+01 2.177957e+05
6.103390e+01 2.095834e+05
6.188468e+01 2.016808e+05
6.274732e+01 1.940758e+05
6.362198e+01 1.867012e+05
6.450884e+01 1.796068e+05
6.540806e+01 1.727083e+05
6.631981e+01 1.660425e+05
6.724427e+01 1.596345e+05
6.818162e+01 1.535624e+05
6.913204e+01 1.477212e+05
7.009570e+01 1.421022e+05
7.107280e+01 1.366970e+05
7.206351e+01 1.314828e+05
7.306804e+01 1.264356e+05
7.408657e+01 1.215822e+05
7.511929e+01 1.169548e+05
7.616642e+01 1.124653e+05
7.722814e+01 1.081906e+05
7.830465e+01 1.040919e+05
7.939618e+01 1.001828e+05
8.050292e+01 9.642383e+04
8.162509e+01 9.279074e+04
8.276289e+01 8.921788e+04
8.391656e+01 8.582206e+04
8.508632e+01 8.255703e+04
8.627237e+01 7.939114e+04
8.747496e+01 7.633959e+04
8.869432e+01 7.340336e+04
8.993067e+01 7.059238e+04
9.118425e+01 6.787460e+04
9.245531e+01 6.523791e+04
9.374409e+01 6.270859e+04
9.505083e+01 6.029210e+04
9.637579e+01 5.799824e+04
9.771921e+01 5.579908e+04
9.908137e+01 5.368332e+04
1.004625e+02 5.165317e+04
1.018629e+02 4.970208e+04
1.032828e+02 4.782100e+04
1.047225e+02 4.599269e+04
1.061823e+02 4.424878e+04
1.076624e+02 4.257099e+04
1.091632e+02 4.095683e+04
1.106848e+02 3.939939e+04
1.122277e+02 3.789362e+04
1.137921e+02 3.644541e+04
1.153783e+02 3.505372e+04
1.169866e+02 3.372143e+04
1.186174e+02 3.244359e+04
1.202708e+02 3.120332e+04
1.219473e+02 3.001635e+04
1.236472e+02 2.885968e+04
1.253708e+02 2.775472e+04
1.271184e+02 2.669206e+04
1.288904e+02 2.567010e+04
1.306870e+02 2.468726e+04
1.325087e+02 2.374603e+04
1.343558e+02 2.284172e+04
1.362287e+02 2.197212e+04
1.381276e+02 2.113634e+04
1.400531e+02 2.033235e+04
1.420053e+02 1.955895e+04
1.439848e+02 1.881496e+04
1.459919e+02 1.810986e+04
1.480269e+02 1.743130e+04
1.500903e+02 1.676836e+04
1.521825e+02 1.613063e+04
1.543038e+02 1.551715e+04
1.564548e+02 1.492701e+04
1.586357e+02 1.435931e+04
1.608469e+02 1.381320e+04
1.630891e+02 1.328786e+04
1.653624e+02 1.278250e+04
1.676675e+02 1.229636e+04
1.700047e+02 1.182871e+04
1.723745e+02 1.137884e+04
1.747773e+02 1.094609e+04
1.772136e+02 1.053382e+04
1.796838e+02 1.013886e+04
1.821885e+02 9.758704e+03
1.847281e+02 9.392806e+03
1.873032e+02 9.040629e+03
1.899141e+02 8.701657e+03
1.925614e+02 8.375397e+03
1.952456e+02 8.057385e+03
1.979672e+02 7.750631e+03
2.007267e+02 7.455216e+03
2.035248e+02 7.170081e+03
2.063618e+02 6.895852e+03
2.092383e+02 6.632113e+03
2.121550e+02 6.378461e+03
2.151123e+02 6.134511e+03
2.181109e+02 5.898058e+03
2.211512e+02 5.668583e+03
2.242340e+02 5.450947e+03
2.273597e+02 5.242469e+03
2.305289e+02 5.046307e+03
2.337424e+02 4.855146e+03
2.370006e+02 4.671228e+03
2.403043e+02 4.493946e+03
2.436540e+02 4.324030e+03
2.470504e+02 4.160234e+03
2.504942e+02 4.002642e+03
2.539859e+02 3.848738e+03
2.575263e+02 3.700567e+03
2.611161e+02 3.558100e+03
2.647559e+02 3.421118e+03
2.684465e+02 3.289410e+03
2.721885e+02 3.162772e+03
2.759826e+02 3.041010e+03
2.798297e+02 2.924432e+03
2.837304e+02 2.813367e+03
2.876854e+02 2.705172e+03
2.916956e+02 2.600753e+03
2.957617e+02 2.501777e+03
2.998844e+02 2.405230e+03
3.040646e+02 2.312299e+03
3.083031e+02 2.223571e+03
3.126007e+02 2.138729e+03
3.169582e+02 2.057125e+03
3.213764e+02 1.978634e+03
3.258562e+02 1.903430e+03
3.303985e+02 1.831098e+03
3.350041e+02 1.760855e+03
3.396739e+02 1.693102e+03
3.444087e+02 1.628033e+03
3.492096e+02 1.565479e+03
3.540774e+02 1.505328e+03
3.590130e+02 1.447488e+03
3.640175e+02 1.391946e+03
3.690917e+02 1.339084e+03
3.742366e+02 1.288229e+03
3.794533e+02 1.239306e+03
3.847427e+02 1.192241e+03
3.901058e+02 1.147033e+03
3.955436e+02 1.103732e+03
4.010573e+02 1.061552e+03
4.066478e+02 1.020985e+03
4.123163e+02 9.819677e+02
4.180637e+02 9.447529e+02
4.238913e+02 9.093855e+02
4.298001e+02 8.749721e+02
4.357913e+02 8.413306e+02
4.418660e+02 8.088520e+02
4.480254e+02 7.771492e+02
4.542706e+02 7.467442e+02
4.606029e+02 7.178434e+02
4.670234e+02 6.900613e+02
4.735335e+02 6.633546e+02
4.801343e+02 6.379633e+02
4.868271e+02 6.135724e+02
4.936132e+02 5.901140e+02
5.004939e+02 5.675525e+02
5.074705e+02 5.458536e+02
5.145444e+02 5.249843e+02
5.217169e+02 5.049129e+02
5.289893e+02 4.856088e+02
5.363631e+02 4.669297e+02
5.438397e+02 4.489189e+02
5.514206e+02 4.316029e+02
5.591071e+02 4.149548e+02
5.669007e+02 3.989489e+02
5.748030e+02 3.836272e+02
5.828155e+02 3.689577e+02
5.909396e+02 3.548491e+02
5.991770e+02 3.412801e+02
6.075292e+02 3.282299e+02
6.159978e+02 3.156787e+02
6.245845e+02 3.036075e+02
6.332908e+02 2.919978e+02
6.421186e+02 2.808322e+02
6.510694e+02 2.700934e+02
6.601449e+02 2.597653e+02
6.693470e+02 2.498322e+02
6.786773e+02 2.402789e+02
6.881377e+02 2.310909e+02
6.977300e+02 2.223239e+02
7.074559e+02 2.138960e+02
7.173175e+02 2.057875e+02
7.273165e+02 1.979865e+02
7.374549e+02 1.904812e+02
7.477346e+02 1.832604e+02
7.581576e+02 1.763134e+02
7.687260e+02 1.696297e+02
7.794416e+02 1.631864e+02
7.903066e+02 1.568578e+02
8.013230e+02 1.507584e+02
8.124930e+02 1.449264e+02
8.238187e+02 1.394169e+02
8.353023e+02 1.341169e+02
8.469460e+02 1.290184e+02
8.587519e+02 1.241137e+02
8.707225e+02 1.194044e+02
8.828599e+02 1.148801e+02
8.951665e+02 1.105272e+02
9.076446e+02 1.063392e+02
9.202967e+02 1.022656e+02
9.331251e+02 9.830588e+01
9.461324e+02 9.452459e+01
9.593209e+02 9.094651e+01
9.726934e+02 8.751812e+01
9.862522e+02 8.421898e+01
1.000000e+03 8.104421e+01
