# E(MeV) Lo68 Hi68
6.217090e+00 1.256637e-29 1.760620e+08
6.303753e+00 1.256637e-29 1.693581e+08
6.391624e+00 1.256637e-29 1.629221e+08
6.480720e+00 1.256637e-29 1.566886e+08
6.571058e+00 1.256637e-29 1.507988e+08
6.662655e+00 1.256637e-29 1.452201e+08
6.755528e+00 1.256637e-29 1.396897e+08
6.849697e+00 1.256637e-29 1.344459e+08
6.945178e+00 1.256637e-29 1.293990e+08
7.041990e+00 1.256637e-29 1.245415e+08
7.140151e+00 1.256637e-29 1.198664e+08
7.239681e+00 1.256637e-29 1.153667e+08
7.340598e+00 1.256637e-29 1.110360e+08
7.442922e+00 1.256637e-29 1.068587e+08
7.546673e+00 1.256637e-29 1.028171e+08
7.651869e+00 1.256637e-29 9.888685e+07
7.758532e+00 1.256637e-29 9.510278e+07
7.866682e+00 1.256637e-29 9.143710e+07
7.976339e+00 1.256637e-29 8.788775e+07
8.087525e+00 1.256637e-29 8.446942e+07
8.200261e+00 1.256637e-29 8.118009e+07
8.314568e+00 1.256637e-29 7.801884e+07
8.430468e+00 1.256637e-29 7.501351e+07
8.547985e+00 1.256637e-29 7.212757e+07
8.667139e+00 1.256637e-29 6.938597e+07
8.787954e+00 1.256637e-29 6.676802e+07
8.910453e+00 1.256637e-29 6.424651e+07
9.034660e+00 1.256637e-29 6.182024e+07
9.160598e+00 1.256637e-29 5.946978e+07
9.288292e+00 1.256637e-29 5.722493e+07
9.417766e+00 1.256637e-29 5.503657e+07
9.549045e+00 1.256637e-29 5.292699e+07
9.682153e+00 1.256637e-29 5.092186e+07
9.817117e+00 1.256637e-29 4.896401e+07
9.953962e+00 1.256637e-29 4.711599e+07
1.009272e+01 1.256637e-29 4.533401e+07
1.023340e+01 1.256637e-29 4.361612e+07
1.037605e+01 1.256637e-29 4.195667e+07
1.052069e+01 1.256637e-29 4.036583e+07
1.066734e+01 1.256637e-29 3.882747e+07
1.081604e+01 1.256637e-29 3.734718e+07
1.096681e+01 1.256637e-29 3.593796e+07
1.111968e+01 1.256637e-29 3.457264e+07
1.127468e+01 1.256637e-29 3.324268e+07
1.143184e+01 1.256637e-29 3.198356e+07
1.159120e+01 1.256637e-29 3.077816e+07
1.175277e+01 1.256637e-29 2.961818e+07
1.191660e+01 1.256637e-29 2.849605e+07
1.208271e+01 1.256637e-29 2.742710e+07
1.225114e+01 1.256637e-29 2.639834e+07
1.242191e+01 1.256637e-29 2.539274e+07
1.259506e+01 1.256637e-29 2.443084e+07
1.277063e+01 1.256637e-29 2.350966e+07
1.294865e+01 1.256637e-29 2.262247e+07
1.312915e+01 1.256637e-29 2.175907e+07
1.331216e+01 1.256637e-29 2.093257e+07
1.349772e+01 1.256637e-29 2.014726e+07
1.368587e+01 1.256637e-29 1.939142e+07
1.387665e+01 1.256637e-29 1.866393e+07
1.407008e+01 1.256637e-29 1.796273e+07
1.426621e+01 1.256637e-29 1.727658e+07
1.446507e+01 1.256637e-29 1.662912e+07
1.466671e+01 1.256637e-29 1.599655e+07
1.487115e+01 1.256637e-29 1.538655e+07
1.507845e+01 1.256637e-29 1.479910e+07
1.528864e+01 1.256637e-29 1.423853e+07
1.550175e+01 1.256637e-29 1.370142e+07
1.571784e+01 1.256637e-29 1.318026e+07
1.593694e+01 1.256637e-29 1.268423e+07
1.615909e+01 1.256637e-29 1.220768e+07
1.638434e+01 1.256637e-29 1.174912e+07
1.661273e+01 1.256637e-29 1.130223e+07
1.684430e+01 1.256637e-29 1.087698e+07
1.707910e+01 1.256637e-29 1.046902e+07
1.731717e+01 1.256637e-29 1.007636e+07
1.755856e+01 1.256637e-29 9.697467e+06
1.780332e+01 1.256637e-29 9.332215e+06
1.805149e+01 1.256637e-29 8.969947e+06
1.830312e+01 1.256637e-29 8.623847e+06
1.855825e+01 1.256637e-29 8.293481e+06
1.881694e+01 1.256637e-29 7.975169e+06
1.907924e+01 1.256637e-29 7.669074e+06
1.934520e+01 1.256637e-29 7.379827e+06
1.961486e+01 1.256637e-29 7.105485e+06
1.988828e+01 1.256637e-29 6.833678e+06
2.016551e+01 1.256637e-29 6.575825e+06
2.044661e+01 1.256637e-29 6.322608e+06
2.073162e+01 1.256637e-29 6.078757e+06
2.102061e+01 1.256637e-29 5.844838e+06
2.131362e+01 1.256637e-29 5.619921e+06
2.161073e+01 1.256637e-29 5.407876e+06
2.191197e+01 1.256637e-29 5.199567e+06
2.221741e+01 1.256637e-29 5.003235e+06
2.252711e+01 1.256637e-29 4.811955e+06
2.284112e+01 1.256637e-29 4.630688e+06
2.315951e+01 1.256637e-29 4.457609e+06
2.348235e+01 1.256637e-29 4.290842e+06
2.380968e+01 1.256637e-29 4.130836e+06
2.414157e+01 1.256637e-29 3.975645e+06
2.447809e+01 1.256637e-29 3.827043e+06
2.481930e+01 1.256637e-29 3.682538e+06
2.516527e+01 1.256637e-29 3.540049e+06
2.551606e+01 1.256637e-29 3.406382e+06
2.587174e+01 1.256637e-29 3.275935e+06
2.623238e+01 1.256637e-29 3.150104e+06
2.659804e+01 1.256637e-29 3.028800e+06
2.696881e+01 1.256637e-29 2.912167e+06
2.734474e+01 1.256637e-29 2.800025e+06
2.772591e+01 1.256637e-29 2.692202e+06
2.811239e+01 1.256637e-29 2.588336e+06
2.850426e+01 1.256637e-29 2.488095e+06
2.890160e+01 1.256637e-29 2.393413e+06
2.930447e+01 1.256637e-29 2.301877e+06
2.971296e+01 1.256637e-29 2.213908e+06
3.012714e+01 1.256637e-29 2.130816e+06
3.054710e+01 1.256637e-29 2.050842e+06
3.097291e+01 1.256637e-29 1.973000e+06
3.140465e+01 1.256637e-29 1.897247e+06
3.184242e+01 1.256637e-29 1.824033e+06
3.228628e+01 1.256637e-29 1.753644e+06
3.273634e+01 1.256637e-29 1.685516e+06
3.319266e+01 1.256637e-29 1.620736e+06
3.365535e+01 1.256637e-29 1.559716e+06
3.412449e+01 1.256637e-29 1.499755e+06
3.460016e+01 1.256637e-29 1.441477e+06
3.508247e+01 1.256637e-29 1.387062e+06
3.557150e+01 1.256637e-29 1.334310e+06
3.606735e+01 1.256637e-29 1.283165e+06
3.657011e+01 1.256637e-29 1.234360e+06
3.707988e+01 1.256637e-29 1.186874e+06
3.759675e+01 1.256637e-29 1.142493e+06
3.812083e+01 1.256637e-29 1.100061e+06
3.865221e+01 1.256637e-29 1.059060e+06
3.919100e+01 1.256637e-29 1.019386e+06
3.973730e+01 1.256637e-29 9.802493e+05
4.029122e+01 1.256637e-29 9.440789e+05
4.085286e+01 1.256637e-29 9.092433e+05
4.142232e+01 1.256637e-29 8.756930e+05
4.199973e+01 1.256637e-29 8.433734e+05
4.258518e+01 1.256637e-29 8.111063e+05
4.317880e+01 1.256637e-29 7.798283e+05
4.378069e+01 1.256637e-29 7.503454e+05
4.439097e+01 1.256637e-29 7.222412e+05
4.500975e+01 1.256637e-29 6.950334e+05
4.563716e+01 1.256637e-29 6.695026e+05
4.627332e+01 1.256637e-29 6.441950e+05
4.691835e+01 1.256637e-29 6.202322e+05
4.757236e+01 1.256637e-29 5.970015e+05
4.823549e+01 1.256637e-29 5.744074e+05
4.890787e+01 1.256637e-29 5.528241e+05
4.958962e+01 1.256637e-29 5.320466e+05
5.028087e+01 1.256637e-29 5.121462e+05
5.098176e+01 1.256637e-29 4.929475e+05
