# Energy(MeV) Fluence_Planar_Median(cm^-2*MeV^-1)
1.298671e+00 1.938347e+09
1.320321e+00 1.894512e+09
1.342331e+00 1.851900e+09
1.364709e+00 1.809847e+09
1.387460e+00 1.769468e+09
1.410590e+00 1.730157e+09
1.434106e+00 1.691855e+09
1.458013e+00 1.654174e+09
1.482320e+00 1.616923e+09
1.507031e+00 1.580563e+09
1.532155e+00 1.545087e+09
1.557697e+00 1.510891e+09
1.583665e+00 1.477505e+09
1.610066e+00 1.443707e+09
1.636907e+00 1.410944e+09
1.664195e+00 1.378751e+09
1.691939e+00 1.347405e+09
1.720145e+00 1.317104e+09
1.748821e+00 1.287009e+09
1.777975e+00 1.257177e+09
1.807616e+00 1.228220e+09
1.837750e+00 1.200133e+09
1.868387e+00 1.172351e+09
1.899534e+00 1.145660e+09
1.931201e+00 1.119688e+09
1.963396e+00 1.094187e+09
1.996127e+00 1.068950e+09
2.029404e+00 1.044436e+09
2.063236e+00 1.020849e+09
2.097632e+00 9.977171e+08
2.132601e+00 9.748183e+08
2.168153e+00 9.523872e+08
2.204298e+00 9.299799e+08
2.241045e+00 9.080110e+08
2.278405e+00 8.868562e+08
2.316388e+00 8.665870e+08
2.355004e+00 8.466281e+08
2.394264e+00 8.272347e+08
2.434178e+00 8.080684e+08
2.474758e+00 7.890968e+08
2.516014e+00 7.708292e+08
2.557958e+00 7.528040e+08
2.600601e+00 7.349919e+08
2.643956e+00 7.176569e+08
2.688032e+00 7.006426e+08
2.732844e+00 6.839629e+08
2.778403e+00 6.678333e+08
2.824721e+00 6.520404e+08
2.871811e+00 6.366720e+08
2.919687e+00 6.216429e+08
2.968360e+00 6.069086e+08
3.017845e+00 5.924994e+08
3.068155e+00 5.784083e+08
3.119304e+00 5.646286e+08
3.171305e+00 5.511534e+08
3.224173e+00 5.380693e+08
3.277923e+00 5.250009e+08
3.332568e+00 5.122616e+08
3.388125e+00 4.998135e+08
3.444608e+00 4.878217e+08
3.502032e+00 4.760855e+08
3.560414e+00 4.645203e+08
3.619769e+00 4.531587e+08
3.680113e+00 4.419611e+08
3.741463e+00 4.311020e+08
3.803837e+00 4.206044e+08
3.867250e+00 4.103976e+08
3.931720e+00 4.004108e+08
3.997265e+00 3.905729e+08
4.063902e+00 3.807855e+08
4.131651e+00 3.714490e+08
4.200529e+00 3.621151e+08
4.270555e+00 3.530934e+08
4.341748e+00 3.443469e+08
4.414129e+00 3.357491e+08
4.487716e+00 3.273103e+08
4.562530e+00 3.190587e+08
4.638591e+00 3.109964e+08
4.715920e+00 3.031313e+08
4.794538e+00 2.954255e+08
4.874467e+00 2.878900e+08
4.955728e+00 2.805384e+08
5.038344e+00 2.733042e+08
5.122337e+00 2.663253e+08
5.207731e+00 2.594330e+08
5.294548e+00 2.526995e+08
5.382812e+00 2.461645e+08
5.472548e+00 2.397724e+08
5.563780e+00 2.335665e+08
5.656532e+00 2.274456e+08
5.750831e+00 2.214996e+08
5.846702e+00 2.156716e+08
5.944171e+00 2.099610e+08
6.043265e+00 2.043847e+08
6.144012e+00 1.989532e+08
6.246437e+00 1.936192e+08
6.350570e+00 1.884161e+08
6.456439e+00 1.834212e+08
6.564073e+00 1.785274e+08
6.673502e+00 1.737235e+08
6.784754e+00 1.690443e+08
6.897862e+00 1.644450e+08
7.012854e+00 1.599881e+08
7.129764e+00 1.556305e+08
7.248623e+00 1.513118e+08
7.369464e+00 1.471287e+08
7.492318e+00 1.430831e+08
7.617221e+00 1.391340e+08
7.744207e+00 1.352508e+08
7.873309e+00 1.314321e+08
8.004563e+00 1.277264e+08
8.138006e+00 1.241722e+08
8.273673e+00 1.206587e+08
8.411601e+00 1.172501e+08
8.551830e+00 1.139735e+08
8.694395e+00 1.107176e+08
8.839338e+00 1.075054e+08
8.986697e+00 1.044444e+08
9.136512e+00 1.014501e+08
9.288825e+00 9.850839e+07
9.443677e+00 9.566311e+07
9.601111e+00 9.286792e+07
9.761169e+00 9.012169e+07
9.923896e+00 8.741730e+07
1.008933e+01 8.484238e+07
1.025753e+01 8.229751e+07
1.042853e+01 7.982478e+07
1.060239e+01 7.740594e+07
1.077914e+01 7.502083e+07
1.095883e+01 7.271842e+07
1.114153e+01 7.049806e+07
1.132726e+01 6.832168e+07
1.151610e+01 6.617854e+07
1.170808e+01 6.412573e+07
1.190326e+01 6.212725e+07
1.210170e+01 6.018114e+07
1.230345e+01 5.819640e+07
1.250855e+01 5.627869e+07
1.271708e+01 5.446676e+07
1.292909e+01 5.267706e+07
1.314462e+01 5.095223e+07
1.336375e+01 4.929214e+07
1.358654e+01 4.765115e+07
1.381304e+01 4.606390e+07
1.404331e+01 4.456080e+07
1.427743e+01 4.307232e+07
1.451544e+01 4.161786e+07
1.475743e+01 4.020684e+07
1.500344e+01 3.881558e+07
1.525356e+01 3.749634e+07
1.550785e+01 3.618951e+07
1.576638e+01 3.495255e+07
1.602922e+01 3.373792e+07
1.629644e+01 3.253760e+07
1.656811e+01 3.140709e+07
1.684432e+01 3.027846e+07
1.712513e+01 2.919741e+07
1.741061e+01 2.812143e+07
1.770086e+01 2.709865e+07
1.799595e+01 2.611793e+07
1.829596e+01 2.515733e+07
1.860097e+01 2.422635e+07
1.891106e+01 2.330850e+07
1.922632e+01 2.242946e+07
1.954684e+01 2.159039e+07
1.987270e+01 2.076459e+07
2.020400e+01 1.996824e+07
2.054081e+01 1.920775e+07
2.088324e+01 1.846734e+07
2.123138e+01 1.775252e+07
2.158533e+01 1.706352e+07
2.194517e+01 1.640409e+07
2.231102e+01 1.576227e+07
2.268296e+01 1.514815e+07
2.306110e+01 1.453436e+07
2.344555e+01 1.392445e+07
2.383641e+01 1.335879e+07
2.423378e+01 1.281328e+07
2.463777e+01 1.229751e+07
2.504851e+01 1.178577e+07
2.546608e+01 1.128603e+07
2.589062e+01 1.080218e+07
2.632224e+01 1.033476e+07
2.676105e+01 9.886472e+06
2.720718e+01 9.448747e+06
2.766075e+01 9.045918e+06
2.812188e+01 8.647077e+06
2.859069e+01 8.272077e+06
2.906732e+01 7.898883e+06
2.955189e+01 7.535091e+06
3.004455e+01 7.190655e+06
3.054541e+01 6.853120e+06
3.105463e+01 6.532483e+06
3.157234e+01 6.216709e+06
3.209867e+01 5.924668e+06
3.263378e+01 5.641060e+06
3.317781e+01 5.377086e+06
3.373092e+01 5.122080e+06
3.429324e+01 4.872908e+06
3.486493e+01 4.629663e+06
3.544616e+01 4.401794e+06
3.603708e+01 4.183690e+06
3.663784e+01 3.970949e+06
3.724862e+01 3.774797e+06
3.786959e+01 3.585133e+06
3.850090e+01 3.401777e+06
3.914275e+01 3.223906e+06
3.979529e+01 3.050879e+06
4.045871e+01 2.889828e+06
4.113318e+01 2.738020e+06
4.181891e+01 2.592518e+06
4.251606e+01 2.455838e+06
4.322484e+01 2.324933e+06
4.394543e+01 2.201684e+06
4.467804e+01 2.084730e+06
4.542286e+01 1.972983e+06
4.618009e+01 1.867994e+06
4.694995e+01 1.768908e+06
4.773264e+01 1.674949e+06
4.852839e+01 1.584616e+06
4.933739e+01 1.500653e+06
5.015989e+01 1.420002e+06
5.099609e+01 1.343891e+06
5.184624e+01 1.272736e+06
5.271056e+01 1.205364e+06
5.358928e+01 1.140528e+06
5.448266e+01 1.079304e+06
5.539093e+01 1.021326e+06
5.631434e+01 9.664147e+05
5.725315e+01 9.141164e+05
5.820760e+01 8.653095e+05
5.917797e+01 8.188853e+05
6.016451e+01 7.750698e+05
6.116750e+01 7.332228e+05
6.218721e+01 6.936799e+05
6.322392e+01 6.564347e+05
6.427792e+01 6.212619e+05
6.534948e+01 5.875062e+05
6.643891e+01 5.559397e+05
6.754650e+01 5.260479e+05
6.867256e+01 4.978559e+05
6.981738e+01 4.715170e+05
7.098129e+01 4.461227e+05
7.216461e+01 4.223020e+05
7.336765e+01 3.995783e+05
7.459075e+01 3.779558e+05
7.583423e+01 3.574960e+05
7.709845e+01 3.381278e+05
7.838375e+01 3.197139e+05
7.969047e+01 3.025756e+05
8.101897e+01 2.863398e+05
8.236962e+01 2.706560e+05
8.374279e+01 2.560276e+05
8.513885e+01 2.422734e+05
8.655818e+01 2.293236e+05
8.800117e+01 2.170351e+05
8.946822e+01 2.055186e+05
9.095973e+01 1.946577e+05
9.247610e+01 1.842049e+05
9.401775e+01 1.742950e+05
9.558510e+01 1.648281e+05
9.717858e+01 1.558330e+05
9.879863e+01 1.474130e+05
1.004457e+02 1.395411e+05
1.021202e+02 1.320533e+05
1.038226e+02 1.249840e+05
1.055534e+02 1.183127e+05
1.073131e+02 1.119660e+05
1.091021e+02 1.059883e+05
1.109209e+02 1.002910e+05
1.127700e+02 9.492652e+04
1.146500e+02 8.978173e+04
1.165613e+02 8.498129e+04
1.185045e+02 8.040607e+04
1.204800e+02 7.607330e+04
1.224885e+02 7.205366e+04
1.245305e+02 6.807809e+04
1.266066e+02 6.443381e+04
1.287172e+02 6.097949e+04
1.308630e+02 5.771154e+04
1.330446e+02 5.461135e+04
1.352626e+02 5.166979e+04
1.375175e+02 4.887548e+04
1.398100e+02 4.624904e+04
1.421408e+02 4.376505e+04
1.445104e+02 4.139890e+04
1.469195e+02 3.917249e+04
1.493687e+02 3.705900e+04
1.518588e+02 3.507740e+04
1.543904e+02 3.320090e+04
1.569642e+02 3.140544e+04
1.595810e+02 2.970298e+04
1.622413e+02 2.810472e+04
1.649460e+02 2.656815e+04
1.676958e+02 2.514432e+04
1.704914e+02 2.380987e+04
1.733336e+02 2.253205e+04
1.762232e+02 2.132309e+04
1.791610e+02 2.018951e+04
1.821478e+02 1.909072e+04
1.851843e+02 1.808188e+04
1.882715e+02 1.710412e+04
1.914101e+02 1.617682e+04
1.946011e+02 1.530831e+04
1.978453e+02 1.447574e+04
2.011435e+02 1.369181e+04
2.044967e+02 1.295577e+04
2.079058e+02 1.226255e+04
2.113718e+02 1.159614e+04
2.148955e+02 1.096949e+04
2.184780e+02 1.038179e+04
2.221202e+02 9.818963e+03
2.258231e+02 9.282289e+03
2.295878e+02 8.789315e+03
2.334152e+02 8.314696e+03
2.373064e+02 7.873015e+03
2.412625e+02 7.447614e+03
2.452846e+02 7.048495e+03
2.493736e+02 6.665172e+03
2.535309e+02 6.302832e+03
2.577575e+02 5.967223e+03
2.620545e+02 5.650799e+03
2.664231e+02 5.347064e+03
2.708646e+02 5.060790e+03
2.753802e+02 4.788545e+03
2.799710e+02 4.531510e+03
2.846383e+02 4.291369e+03
2.893835e+02 4.060388e+03
2.942077e+02 3.840494e+03
2.991124e+02 3.630574e+03
3.040988e+02 3.435500e+03
3.091684e+02 3.249259e+03
3.143225e+02 3.074106e+03
3.195625e+02 2.909381e+03
3.248899e+02 2.752534e+03
3.303060e+02 2.603151e+03
3.358125e+02 2.462522e+03
3.414108e+02 2.330464e+03
3.471024e+02 2.203500e+03
3.528888e+02 2.084676e+03
3.587718e+02 1.972415e+03
3.647528e+02 1.866390e+03
3.708335e+02 1.766117e+03
3.770156e+02 1.670930e+03
3.833007e+02 1.580969e+03
3.896907e+02 1.493602e+03
3.961871e+02 1.413161e+03
4.027919e+02 1.337079e+03
4.095068e+02 1.265571e+03
4.163336e+02 1.196912e+03
4.232742e+02 1.133191e+03
4.303305e+02 1.073136e+03
4.375044e+02 1.015461e+03
4.447980e+02 9.596228e+02
4.522131e+02 9.079432e+02
4.597519e+02 8.585301e+02
4.674163e+02 8.130454e+02
4.752085e+02 7.693673e+02
4.831306e+02 7.275222e+02
4.911848e+02 6.891357e+02
4.993733e+02 6.524410e+02
5.076982e+02 6.173021e+02
5.161619e+02 5.835305e+02
5.247668e+02 5.521117e+02
5.335151e+02 5.222279e+02
5.424092e+02 4.942445e+02
5.514516e+02 4.676966e+02
5.606447e+02 4.427328e+02
5.699911e+02 4.190004e+02
5.794933e+02 3.965020e+02
5.891539e+02 3.752719e+02
5.989756e+02 3.551235e+02
6.089610e+02 3.360777e+02
6.191129e+02 3.179866e+02
6.294340e+02 3.006481e+02
6.399271e+02 2.841383e+02
6.505952e+02 2.688824e+02
6.614412e+02 2.544363e+02
6.724679e+02 2.410401e+02
6.836785e+02 2.281496e+02
6.950760e+02 2.159758e+02
7.066635e+02 2.044576e+02
7.184441e+02 1.934780e+02
7.304211e+02 1.828967e+02
7.425979e+02 1.731154e+02
7.549776e+02 1.637900e+02
7.675636e+02 1.549021e+02
7.803595e+02 1.465641e+02
7.933688e+02 1.387086e+02
8.065948e+02 1.311416e+02
8.200414e+02 1.241419e+02
8.337122e+02 1.174181e+02
8.476108e+02 1.110583e+02
8.617412e+02 1.051006e+02
8.761071e+02 9.941872e+01
8.907125e+02 9.409517e+01
9.055614e+02 8.915211e+01
9.206578e+02 8.447141e+01
9.360059e+02 7.996441e+01
9.516099e+02 7.564383e+01
9.674740e+02 7.156504e+01
9.836026e+02 6.777823e+01
1.000000e+03 6.412435e+01
