# Energy(MeV) Fluence_Spherical_Median(cm^-2*MeV^-1)
1.298671e+00 7.753390e+09
1.320321e+00 7.578048e+09
1.342331e+00 7.407599e+09
1.364709e+00 7.239386e+09
1.387460e+00 7.077870e+09
1.410590e+00 6.920627e+09
1.434106e+00 6.767419e+09
1.458013e+00 6.616697e+09
1.482320e+00 6.467691e+09
1.507031e+00 6.322252e+09
1.532155e+00 6.180346e+09
1.557697e+00 6.043564e+09
1.583665e+00 5.910019e+09
1.610066e+00 5.774828e+09
1.636907e+00 5.643774e+09
1.664195e+00 5.515006e+09
1.691939e+00 5.389619e+09
1.720145e+00 5.268418e+09
1.748821e+00 5.148035e+09
1.777975e+00 5.028708e+09
1.807616e+00 4.912879e+09
1.837750e+00 4.800534e+09
1.868387e+00 4.689405e+09
1.899534e+00 4.582641e+09
1.931201e+00 4.478752e+09
1.963396e+00 4.376748e+09
1.996127e+00 4.275799e+09
2.029404e+00 4.177745e+09
2.063236e+00 4.083397e+09
2.097632e+00 3.990869e+09
2.132601e+00 3.899273e+09
2.168153e+00 3.809549e+09
2.204298e+00 3.719919e+09
2.241045e+00 3.632044e+09
2.278405e+00 3.547425e+09
2.316388e+00 3.466348e+09
2.355004e+00 3.386512e+09
2.394264e+00 3.308939e+09
2.434178e+00 3.232273e+09
2.474758e+00 3.156387e+09
2.516014e+00 3.083317e+09
2.557958e+00 3.011216e+09
2.600601e+00 2.939967e+09
2.643956e+00 2.870628e+09
2.688032e+00 2.802570e+09
2.732844e+00 2.735851e+09
2.778403e+00 2.671333e+09
2.824721e+00 2.608162e+09
2.871811e+00 2.546688e+09
2.919687e+00 2.486571e+09
2.968360e+00 2.427635e+09
3.017845e+00 2.369998e+09
3.068155e+00 2.313633e+09
3.119304e+00 2.258514e+09
3.171305e+00 2.204614e+09
3.224173e+00 2.152277e+09
3.277923e+00 2.100004e+09
3.332568e+00 2.049046e+09
3.388125e+00 1.999254e+09
3.444608e+00 1.951287e+09
3.502032e+00 1.904342e+09
3.560414e+00 1.858081e+09
3.619769e+00 1.812635e+09
3.680113e+00 1.767844e+09
3.741463e+00 1.724408e+09
3.803837e+00 1.682418e+09
3.867250e+00 1.641591e+09
3.931720e+00 1.601643e+09
3.997265e+00 1.562292e+09
4.063902e+00 1.523142e+09
4.131651e+00 1.485796e+09
4.200529e+00 1.448460e+09
4.270555e+00 1.412373e+09
4.341748e+00 1.377388e+09
4.414129e+00 1.342996e+09
4.487716e+00 1.309241e+09
4.562530e+00 1.276235e+09
4.638591e+00 1.243986e+09
4.715920e+00 1.212525e+09
4.794538e+00 1.181702e+09
4.874467e+00 1.151560e+09
4.955728e+00 1.122154e+09
5.038344e+00 1.093217e+09
5.122337e+00 1.065301e+09
5.207731e+00 1.037732e+09
5.294548e+00 1.010798e+09
5.382812e+00 9.846579e+08
5.472548e+00 9.590897e+08
5.563780e+00 9.342660e+08
5.656532e+00 9.097826e+08
5.750831e+00 8.859984e+08
5.846702e+00 8.626865e+08
5.944171e+00 8.398439e+08
6.043265e+00 8.175389e+08
6.144012e+00 7.958130e+08
6.246437e+00 7.744767e+08
6.350570e+00 7.536644e+08
6.456439e+00 7.336849e+08
6.564073e+00 7.141096e+08
6.673502e+00 6.948941e+08
6.784754e+00 6.761773e+08
6.897862e+00 6.577800e+08
7.012854e+00 6.399523e+08
7.129764e+00 6.225220e+08
7.248623e+00 6.052474e+08
7.369464e+00 5.885147e+08
7.492318e+00 5.723324e+08
7.617221e+00 5.565360e+08
7.744207e+00 5.410031e+08
7.873309e+00 5.257283e+08
8.004563e+00 5.109057e+08
8.138006e+00 4.966888e+08
8.273673e+00 4.826348e+08
8.411601e+00 4.690005e+08
8.551830e+00 4.558939e+08
8.694395e+00 4.428705e+08
8.839338e+00 4.300215e+08
8.986697e+00 4.177775e+08
9.136512e+00 4.058002e+08
9.288825e+00 3.940336e+08
9.443677e+00 3.826524e+08
9.601111e+00 3.714717e+08
9.761169e+00 3.604868e+08
9.923896e+00 3.496692e+08
1.008933e+01 3.393695e+08
1.025753e+01 3.291900e+08
1.042853e+01 3.192991e+08
1.060239e+01 3.096238e+08
1.077914e+01 3.000833e+08
1.095883e+01 2.908737e+08
1.114153e+01 2.819922e+08
1.132726e+01 2.732867e+08
1.151610e+01 2.647142e+08
1.170808e+01 2.565029e+08
1.190326e+01 2.485090e+08
1.210170e+01 2.407246e+08
1.230345e+01 2.327856e+08
1.250855e+01 2.251148e+08
1.271708e+01 2.178670e+08
1.292909e+01 2.107082e+08
