# Energy(MeV) Phi16_Spherical Phi84_Spherical
4.433802e-01 3.032062e+10 3.575955e+10
4.507717e-01 2.967628e+10 3.498982e+10
4.582864e-01 2.904748e+10 3.420439e+10
4.659264e-01 2.843354e+10 3.344147e+10
4.736938e-01 2.782615e+10 3.272755e+10
4.815906e-01 2.723294e+10 3.200462e+10
4.896191e-01 2.665678e+10 3.131398e+10
4.977815e-01 2.609031e+10 3.062866e+10
5.060799e-01 2.552594e+10 2.996072e+10
5.145167e-01 2.498104e+10 2.930647e+10
5.230941e-01 2.444760e+10 2.867437e+10
5.318145e-01 2.391992e+10 2.803994e+10
5.406802e-01 2.338864e+10 2.742316e+10
5.496938e-01 2.286534e+10 2.681159e+10
5.588576e-01 2.236092e+10 2.622755e+10
5.681742e-01 2.187036e+10 2.564634e+10
5.776462e-01 2.138290e+10 2.506474e+10
5.872760e-01 2.092622e+10 2.451012e+10
5.970663e-01 2.049530e+10 2.396329e+10
6.070199e-01 2.003864e+10 2.344281e+10
6.171394e-01 1.962556e+10 2.293695e+10
6.274276e-01 1.921772e+10 2.242985e+10
6.378874e-01 1.879964e+10 2.193951e+10
6.485214e-01 1.839223e+10 2.146509e+10
6.593328e-01 1.798583e+10 2.100502e+10
6.703244e-01 1.759108e+10 2.055766e+10
6.814993e-01 1.721100e+10 2.010605e+10
6.928604e-01 1.683747e+10 1.966694e+10
7.044109e-01 1.647235e+10 1.923468e+10
7.161540e-01 1.610678e+10 1.882505e+10
7.280929e-01 1.574654e+10 1.840824e+10
7.402308e-01 1.540167e+10 1.801028e+10
7.525710e-01 1.506666e+10 1.762089e+10
7.651170e-01 1.474073e+10 1.723293e+10
7.778721e-01 1.440909e+10 1.685195e+10
7.908399e-01 1.409036e+10 1.647794e+10
8.040238e-01 1.377950e+10 1.611587e+10
8.174275e-01 1.347549e+10 1.576083e+10
8.310547e-01 1.317138e+10 1.541147e+10
8.449090e-01 1.287649e+10 1.507881e+10
8.589943e-01 1.258936e+10 1.475069e+10
8.733145e-01 1.230791e+10 1.443099e+10
8.878733e-01 1.201887e+10 1.411760e+10
9.026749e-01 1.175299e+10 1.380746e+10
9.177232e-01 1.149036e+10 1.350828e+10
9.330224e-01 1.123599e+10 1.320897e+10
9.485766e-01 1.099203e+10 1.291921e+10
9.643901e-01 1.074946e+10 1.263855e+10
9.804673e-01 1.051678e+10 1.236543e+10
9.968125e-01 1.028766e+10 1.209265e+10
1.013430e+00 1.006144e+10 1.183004e+10
1.030325e+00 9.835955e+09 1.156866e+10
1.047501e+00 9.617964e+09 1.131275e+10
1.064964e+00 9.405828e+09 1.106177e+10
1.082718e+00 9.190541e+09 1.081903e+10
1.100767e+00 8.982378e+09 1.057871e+10
1.119118e+00 8.780148e+09 1.034158e+10
1.137775e+00 8.576412e+09 1.011187e+10
1.156742e+00 8.382567e+09 9.886364e+09
1.176026e+00 8.191500e+09 9.666939e+09
1.195631e+00 8.002639e+09 9.453300e+09
1.215564e+00 7.819733e+09 9.246109e+09
1.235828e+00 7.640095e+09 9.041297e+09
1.256430e+00 7.466970e+09 8.844279e+09
1.277376e+00 7.298191e+09 8.646065e+09
1.298671e+00 7.133544e+09 8.457637e+09
1.320321e+00 6.970131e+09 8.270286e+09
1.342331e+00 6.812260e+09 8.080001e+09
1.364709e+00 6.660136e+09 7.897323e+09
1.387460e+00 6.507787e+09 7.720081e+09
1.410590e+00 6.358803e+09 7.546283e+09
1.434106e+00 6.213632e+09 7.377164e+09
1.458013e+00 6.074234e+09 7.213139e+09
1.482320e+00 5.932621e+09 7.050450e+09
1.507031e+00 5.801481e+09 6.892492e+09
1.532155e+00 5.669324e+09 6.741746e+09
1.557697e+00 5.539069e+09 6.595436e+09
1.583665e+00 5.411838e+09 6.449636e+09
1.610066e+00 5.287204e+09 6.305324e+09
1.636907e+00 5.165699e+09 6.160986e+09
1.664195e+00 5.047000e+09 6.019225e+09
1.691939e+00 4.932008e+09 5.882057e+09
1.720145e+00 4.819083e+09 5.750211e+09
1.748821e+00 4.709386e+09 5.620956e+09
1.777975e+00 4.601192e+09 5.494895e+09
1.807616e+00 4.493044e+09 5.370974e+09
1.837750e+00 4.388445e+09 5.247910e+09
1.868387e+00 4.286423e+09 5.130052e+09
1.899534e+00 4.186460e+09 5.014138e+09
1.931201e+00 4.088843e+09 4.899042e+09
1.963396e+00 3.993503e+09 4.786853e+09
1.996127e+00 3.900669e+09 4.677361e+09
2.029404e+00 3.808858e+09 4.570625e+09
2.063236e+00 3.723873e+09 4.464156e+09
2.097632e+00 3.636701e+09 4.365154e+09
2.132601e+00 3.551366e+09 4.267978e+09
2.168153e+00 3.466829e+09 4.169416e+09
2.204298e+00 3.383882e+09 4.074109e+09
2.241045e+00 3.305097e+09 3.981525e+09
2.278405e+00 3.225429e+09 3.891451e+09
2.316388e+00 3.150012e+09 3.801866e+09
2.355004e+00 3.074597e+09 3.716282e+09
2.394264e+00 3.001872e+09 3.631345e+09
2.434178e+00 2.931621e+09 3.545141e+09
2.474758e+00 2.863420e+09 3.462356e+09
2.516014e+00 2.795493e+09 3.380290e+09
2.557958e+00 2.728735e+09 3.301154e+09
2.600601e+00 2.662203e+09 3.224700e+09
2.643956e+00 2.598527e+09 3.149780e+09
2.688032e+00 2.536380e+09 3.076281e+09
2.732844e+00 2.475592e+09 3.003057e+09
2.778403e+00 2.417008e+09 2.930715e+09
2.824721e+00 2.359213e+09 2.862080e+09
2.871811e+00 2.303085e+09 2.794618e+09
2.919687e+00 2.247908e+09 2.727794e+09
2.968360e+00 2.193958e+09 2.662662e+09
3.017845e+00 2.141209e+09 2.598961e+09
3.068155e+00 2.089130e+09 2.536427e+09
3.119304e+00 2.037445e+09 2.475276e+09
3.171305e+00 1.987120e+09 2.415655e+09
3.224173e+00 1.938425e+09 2.357390e+09
3.277923e+00 1.890901e+09 2.302263e+09
3.332568e+00 1.844458e+09 2.247822e+09
3.388125e+00 1.799073e+09 2.192741e+09
3.444608e+00 1.754802e+09 2.140139e+09
3.502032e+00 1.711220e+09 2.089169e+09
3.560414e+00 1.669736e+09 2.036639e+09
3.619769e+00 1.629286e+09 1.985438e+09
3.680113e+00 1.589078e+09 1.937182e+09
3.741463e+00 1.550137e+09 1.890000e+09
3.803837e+00 1.512149e+09 1.844170e+09
3.867250e+00 1.473926e+09 1.799455e+09
3.931720e+00 1.436878e+09 1.755437e+09
3.997265e+00 1.401012e+09 1.712261e+09
4.063902e+00 1.365979e+09 1.669709e+09
4.131651e+00 1.331873e+09 1.627585e+09
