# Energy(MeV) Fluence_Pi
2.544434e+00 2.954764e+08
2.595437e+00 2.821656e+08
2.647462e+00 2.691018e+08
2.700530e+00 2.563040e+08
2.754662e+00 2.445515e+08
2.809879e+00 2.327121e+08
2.866203e+00 2.213664e+08
2.923656e+00 2.112766e+08
2.982260e+00 2.014744e+08
3.042039e+00 1.919137e+08
3.103017e+00 1.826486e+08
3.165216e+00 1.741017e+08
3.228663e+00 1.655984e+08
3.293381e+00 1.575541e+08
3.359397e+00 1.498546e+08
3.426736e+00 1.424694e+08
3.495424e+00 1.354105e+08
3.565490e+00 1.287778e+08
3.636960e+00 1.223630e+08
3.709862e+00 1.162294e+08
3.784226e+00 1.104017e+08
3.860081e+00 1.048397e+08
3.937456e+00 9.963584e+07
4.016382e+00 9.468136e+07
4.096890e+00 8.986891e+07
4.179012e+00 8.533809e+07
4.262780e+00 8.103149e+07
4.348227e+00 7.697162e+07
4.435387e+00 7.306560e+07
4.524294e+00 6.940100e+07
4.614983e+00 6.590729e+07
4.707490e+00 6.258824e+07
4.801851e+00 5.946023e+07
4.898104e+00 5.640915e+07
4.996286e+00 5.353358e+07
5.096436e+00 5.084944e+07
5.198594e+00 4.827896e+07
5.302799e+00 4.581894e+07
5.409093e+00 4.345607e+07
5.517518e+00 4.124786e+07
5.628116e+00 3.912456e+07
5.740932e+00 3.708447e+07
5.856008e+00 3.520501e+07
5.973391e+00 3.339054e+07
6.093127e+00 3.167760e+07
6.215264e+00 3.003582e+07
6.339848e+00 2.855393e+07
6.466930e+00 2.710545e+07
6.596559e+00 2.568979e+07
6.728787e+00 2.436320e+07
6.863665e+00 2.309868e+07
7.001246e+00 2.189429e+07
7.141586e+00 2.078738e+07
7.284738e+00 1.973593e+07
7.430760e+00 1.874624e+07
7.579709e+00 1.779362e+07
7.731644e+00 1.688158e+07
7.886624e+00 1.601954e+07
8.044711e+00 1.520139e+07
8.205967e+00 1.443846e+07
8.370455e+00 1.372282e+07
8.538240e+00 1.301387e+07
8.709388e+00 1.234623e+07
8.883967e+00 1.171601e+07
9.062045e+00 1.110971e+07
9.243693e+00 1.052742e+07
9.428983e+00 9.980821e+06
9.617986e+00 9.466759e+06
9.810778e+00 8.983284e+06
1.000743e+01 8.514278e+06
1.020803e+01 8.073735e+06
1.041265e+01 7.648444e+06
1.062137e+01 7.239606e+06
1.083428e+01 6.872988e+06
1.105145e+01 6.521561e+06
1.127297e+01 6.190524e+06
1.149894e+01 5.872007e+06
1.172944e+01 5.571156e+06
1.196455e+01 5.284045e+06
1.220438e+01 5.015550e+06
1.244902e+01 4.752789e+06
1.269856e+01 4.511845e+06
1.295310e+01 4.278259e+06
1.321274e+01 4.059510e+06
1.347759e+01 3.851423e+06
1.374775e+01 3.646587e+06
1.402332e+01 3.460721e+06
1.430442e+01 3.280827e+06
1.459115e+01 3.109633e+06
1.488362e+01 2.948671e+06
1.518197e+01 2.796479e+06
1.548629e+01 2.652794e+06
