# Energy(MeV) Fluence_Sferica(4Pi)
2.209850e+01 1.745189e+08
2.238016e+01 1.699200e+08
2.266542e+01 1.653651e+08
2.295430e+01 1.608919e+08
2.324688e+01 1.565560e+08
2.354318e+01 1.522913e+08
2.384325e+01 1.481247e+08
2.414715e+01 1.440745e+08
2.445493e+01 1.400990e+08
2.476663e+01 1.362210e+08
2.508230e+01 1.324162e+08
2.540199e+01 1.287290e+08
2.572576e+01 1.250939e+08
2.605366e+01 1.215386e+08
2.638573e+01 1.180601e+08
2.672204e+01 1.146518e+08
2.706263e+01 1.113272e+08
2.740757e+01 1.080959e+08
2.775690e+01 1.049318e+08
2.811069e+01 1.018610e+08
2.846898e+01 9.885478e+07
2.883184e+01 9.588319e+07
2.919932e+01 9.300857e+07
2.957149e+01 9.020549e+07
2.994841e+01 8.746490e+07
3.033012e+01 8.478791e+07
3.071671e+01 8.217303e+07
3.110821e+01 7.960052e+07
3.150471e+01 7.714377e+07
3.190627e+01 7.473140e+07
3.231294e+01 7.238071e+07
3.272479e+01 7.009292e+07
3.314190e+01 6.784864e+07
3.356432e+01 6.563967e+07
3.399212e+01 6.352899e+07
3.442538e+01 6.146094e+07
3.486416e+01 5.945355e+07
3.530853e+01 5.749860e+07
3.575857e+01 5.558454e+07
3.621434e+01 5.371779e+07
3.667592e+01 5.189744e+07
3.714338e+01 5.015278e+07
3.761681e+01 4.844590e+07
3.809626e+01 4.679192e+07
3.858183e+01 4.516985e+07
3.907359e+01 4.359309e+07
3.957161e+01 4.206385e+07
4.007598e+01 4.057553e+07
4.058679e+01 3.913929e+07
4.110410e+01 3.774053e+07
4.162800e+01 3.638003e+07
4.215858e+01 3.506787e+07
4.269593e+01 3.379081e+07
4.324012e+01 3.254991e+07
4.379126e+01 3.134209e+07
4.434941e+01 3.017763e+07
4.491468e+01 2.902820e+07
4.548715e+01 2.792553e+07
4.606692e+01 2.686934e+07
4.665408e+01 2.583228e+07
4.724873e+01 2.482550e+07
4.785095e+01 2.385096e+07
4.846085e+01 2.291363e+07
4.907852e+01 2.200083e+07
4.970407e+01 2.113446e+07
5.033759e+01 2.027463e+07
5.097918e+01 1.945519e+07
5.162895e+01 1.866144e+07
5.228701e+01 1.789149e+07
5.295345e+01 1.715423e+07
5.362838e+01 1.644005e+07
5.431192e+01 1.574216e+07
5.500417e+01 1.506697e+07
5.570524e+01 1.442361e+07
5.641525e+01 1.379637e+07
5.713431e+01 1.319385e+07
5.786253e+01 1.262601e+07
5.860004e+01 1.207059e+07
5.934694e+01 1.154065e+07
6.010337e+01 1.102615e+07
6.086943e+01 1.053318e+07
6.164526e+01 1.006017e+07
6.243098e+01 9.609908e+06
6.322671e+01 9.178897e+06
6.403259e+01 8.768168e+06
6.484874e+01 8.373539e+06
6.567529e+01 7.999502e+06
6.651237e+01 7.642844e+06
6.736013e+01 7.300582e+06
6.821869e+01 6.974733e+06
6.908819e+01 6.662734e+06
6.996877e+01 6.362793e+06
7.086058e+01 6.078019e+06
7.176376e+01 5.805119e+06
7.267845e+01 5.543895e+06
7.360479e+01 5.294241e+06
7.454294e+01 5.057385e+06
7.549305e+01 4.830357e+06
7.645527e+01 4.615507e+06
7.742976e+01 4.408066e+06
7.841666e+01 4.209276e+06
7.941615e+01 4.019009e+06
8.042837e+01 3.838333e+06
8.145350e+01 3.666105e+06
8.249169e+01 3.501603e+06
8.354311e+01 3.343886e+06
8.460794e+01 3.193105e+06
8.568633e+01 3.049474e+06
8.677847e+01 2.912019e+06
8.788454e+01 2.781023e+06
8.900470e+01 2.655855e+06
9.013913e+01 2.536541e+06
9.128803e+01 2.422339e+06
9.245157e+01 2.313437e+06
9.362994e+01 2.209832e+06
9.482333e+01 2.111330e+06
9.603193e+01 2.016699e+06
9.725594e+01 1.926194e+06
9.849554e+01 1.839829e+06
9.975095e+01 1.756456e+06
1.010224e+02 1.677720e+06
1.023100e+02 1.602494e+06
1.036140e+02 1.530308e+06
1.049346e+02 1.462221e+06
1.062721e+02 1.396840e+06
1.076266e+02 1.334058e+06
1.089984e+02 1.274157e+06
1.103877e+02 1.216743e+06
1.117947e+02 1.161948e+06
1.132196e+02 1.110022e+06
1.146627e+02 1.060041e+06
1.161241e+02 1.012375e+06
1.176042e+02 9.668039e+05
1.191032e+02 9.236381e+05
1.206213e+02 8.819766e+05
1.221587e+02 8.417219e+05
1.237157e+02 8.035246e+05
1.252925e+02 7.675482e+05
1.268895e+02 7.332045e+05
1.285068e+02 7.004153e+05
1.301447e+02 6.688365e+05
1.318035e+02 6.387527e+05
1.334835e+02 6.101536e+05
1.351848e+02 5.825417e+05
1.369079e+02 5.562882e+05
1.386529e+02 5.313879e+05
1.404201e+02 5.075298e+05
1.422099e+02 4.847118e+05
1.440225e+02 4.630434e+05
1.458582e+02 4.421022e+05
1.477172e+02 4.224032e+05
1.496000e+02 4.033237e+05
1.515068e+02 3.852826e+05
1.534379e+02 3.679397e+05
1.553935e+02 3.513617e+05
1.573742e+02 3.353865e+05
1.593800e+02 3.201903e+05
1.614115e+02 3.057683e+05
1.634688e+02 2.920781e+05
1.655523e+02 2.790443e+05
1.676624e+02 2.665598e+05
1.697994e+02 2.547341e+05
1.719636e+02 2.433227e+05
1.741555e+02 2.323515e+05
1.763752e+02 2.218736e+05
1.786233e+02 2.120367e+05
1.809000e+02 2.025782e+05
1.832057e+02 1.935826e+05
1.855408e+02 1.849151e+05
1.879056e+02 1.766070e+05
1.903007e+02 1.686111e+05
1.927262e+02 1.610177e+05
1.951826e+02 1.537677e+05
1.976704e+02 1.468475e+05
2.001899e+02 1.402148e+05
2.027415e+02 1.339055e+05
2.053256e+02 1.279043e+05
2.079426e+02 1.221818e+05
2.105930e+02 1.166246e+05
2.132772e+02 1.113913e+05
2.159956e+02 1.063721e+05
2.187486e+02 1.016176e+05
2.215367e+02 9.706955e+04
2.243604e+02 9.275170e+04
2.272201e+02 8.858629e+04
2.301162e+02 8.465187e+04
