# Energy(MeV) Fluence_Planar
2.209850e+01 5.180305e+07
2.238016e+01 5.054566e+07
2.266542e+01 4.932303e+07
2.295430e+01 4.813386e+07
2.324688e+01 4.696774e+07
2.354318e+01 4.580317e+07
2.384325e+01 4.467399e+07
2.414715e+01 4.357907e+07
2.445493e+01 4.248934e+07
2.476663e+01 4.142853e+07
2.508230e+01 4.038296e+07
2.540199e+01 3.936026e+07
2.572576e+01 3.835432e+07
2.605366e+01 3.737169e+07
2.638573e+01 3.640687e+07
2.672204e+01 3.546434e+07
2.706263e+01 3.454211e+07
2.740757e+01 3.364114e+07
2.775690e+01 3.275218e+07
2.811069e+01 3.189248e+07
2.846898e+01 3.104505e+07
2.883184e+01 3.021204e+07
2.919932e+01 2.940090e+07
2.957149e+01 2.859921e+07
2.994841e+01 2.781389e+07
3.033012e+01 2.704311e+07
3.071671e+01 2.629595e+07
3.110821e+01 2.555825e+07
3.150471e+01 2.484542e+07
3.190627e+01 2.415217e+07
3.231294e+01 2.346878e+07
3.272479e+01 2.280246e+07
3.314190e+01 2.214812e+07
3.356432e+01 2.151062e+07
3.399212e+01 2.088657e+07
3.442538e+01 2.027841e+07
3.486416e+01 1.968092e+07
3.530853e+01 1.910152e+07
3.575857e+01 1.853162e+07
3.621434e+01 1.797725e+07
3.667592e+01 1.743540e+07
3.714338e+01 1.690907e+07
3.761681e+01 1.639186e+07
3.809626e+01 1.588632e+07
3.858183e+01 1.540061e+07
3.907359e+01 1.492374e+07
3.957161e+01 1.445812e+07
4.007598e+01 1.399951e+07
4.058679e+01 1.355561e+07
4.110410e+01 1.312068e+07
4.162800e+01 1.269893e+07
4.215858e+01 1.229256e+07
4.269593e+01 1.189697e+07
4.324012e+01 1.150896e+07
4.379126e+01 1.112787e+07
4.434941e+01 1.075494e+07
4.491468e+01 1.039144e+07
4.548715e+01 1.004214e+07
4.606692e+01 9.703698e+06
4.665408e+01 9.373575e+06
4.724873e+01 9.049010e+06
4.785095e+01 8.732490e+06
4.846085e+01 8.427168e+06
4.907852e+01 8.127390e+06
4.970407e+01 7.840021e+06
5.033759e+01 7.558100e+06
5.097918e+01 7.286115e+06
5.162895e+01 7.023250e+06
5.228701e+01 6.766265e+06
5.295345e+01 6.515556e+06
5.362838e+01 6.276338e+06
5.431192e+01 6.042961e+06
5.500417e+01 5.818235e+06
5.570524e+01 5.597262e+06
5.641525e+01 5.381655e+06
5.713431e+01 5.173927e+06
5.786253e+01 4.972666e+06
5.860004e+01 4.778909e+06
5.934694e+01 4.591434e+06
6.010337e+01 4.408479e+06
6.086943e+01 4.233178e+06
6.164526e+01 4.065443e+06
6.243098e+01 3.902400e+06
6.322671e+01 3.745286e+06
6.403259e+01 3.593335e+06
6.484874e+01 3.448232e+06
6.567529e+01 3.308861e+06
6.651237e+01 3.175077e+06
6.736013e+01 3.045929e+06
6.821869e+01 2.923617e+06
6.908819e+01 2.804598e+06
6.996877e+01 2.691103e+06
