# E(MeV) Fluence_4Pi
4.227109e+00 inf
4.276138e+00 inf
4.325737e+00 inf
4.375911e+00 inf
4.426666e+00 inf
4.478011e+00 inf
4.529951e+00 inf
4.582493e+00 inf
4.635645e+00 inf
4.689414e+00 inf
4.743806e+00 inf
4.798828e+00 inf
4.854490e+00 inf
4.910796e+00 inf
4.967756e+00 inf
5.025377e+00 inf
5.083665e+00 inf
5.142630e+00 inf
5.202279e+00 inf
5.262620e+00 inf
5.323660e+00 inf
5.385409e+00 inf
5.447874e+00 inf
5.511063e+00 inf
5.574985e+00 inf
5.639649e+00 inf
5.705063e+00 inf
5.771235e+00 inf
5.838175e+00 inf
5.905892e+00 inf
5.974393e+00 inf
6.043690e+00 inf
6.113790e+00 inf
6.184703e+00 inf
6.256439e+00 inf
6.329007e+00 inf
6.402416e+00 inf
6.476677e+00 inf
6.551800e+00 inf
6.627793e+00 inf
6.704668e+00 inf
6.782435e+00 inf
6.861104e+00 inf
6.940685e+00 inf
7.021189e+00 inf
7.102627e+00 inf
7.185010e+00 inf
7.268348e+00 inf
7.352653e+00 inf
7.437936e+00 inf
7.524208e+00 inf
7.611480e+00 inf
7.699765e+00 inf
7.789074e+00 inf
7.879418e+00 inf
7.970811e+00 inf
8.063263e+00 inf
8.156788e+00 inf
8.251398e+00 inf
8.347105e+00 inf
8.443923e+00 inf
8.541863e+00 inf
8.640939e+00 inf
8.741164e+00 inf
8.842552e+00 inf
8.945116e+00 inf
9.048869e+00 inf
9.153826e+00 inf
9.260001e+00 inf
9.367406e+00 inf
9.476058e+00 inf
9.585970e+00 inf
9.697157e+00 inf
9.809633e+00 inf
9.923414e+00 inf
1.003851e+01 inf
1.015495e+01 inf
1.027274e+01 inf
1.039189e+01 inf
1.051242e+01 inf
1.063436e+01 inf
1.075770e+01 inf
1.088248e+01 inf
1.100870e+01 inf
1.113639e+01 inf
1.126556e+01 inf
1.139623e+01 inf
1.152842e+01 inf
1.166213e+01 inf
1.179740e+01 inf
1.193424e+01 inf
1.207266e+01 inf
1.221269e+01 inf
1.235434e+01 inf
1.249764e+01 inf
1.264260e+01 inf
1.278924e+01 inf
1.293758e+01 inf
1.308764e+01 inf
1.323945e+01 inf
1.339301e+01 inf
1.354835e+01 inf
