# E(MeV) Lo_CL68 Hi_CL68
1.000000e+00 0.000000e+00 nan
1.011599e+00 0.000000e+00 nan
1.023332e+00 0.000000e+00 nan
1.035202e+00 0.000000e+00 nan
1.047209e+00 0.000000e+00 nan
1.059356e+00 0.000000e+00 nan
1.071643e+00 0.000000e+00 nan
1.084073e+00 0.000000e+00 nan
1.096647e+00 0.000000e+00 nan
1.109367e+00 0.000000e+00 nan
1.122234e+00 0.000000e+00 nan
1.135251e+00 0.000000e+00 nan
1.148418e+00 0.000000e+00 nan
1.161739e+00 0.000000e+00 nan
1.175214e+00 0.000000e+00 nan
1.188845e+00 0.000000e+00 nan
1.202634e+00 0.000000e+00 nan
1.216583e+00 0.000000e+00 nan
1.230694e+00 0.000000e+00 nan
1.244969e+00 0.000000e+00 nan
1.259409e+00 0.000000e+00 nan
1.274017e+00 0.000000e+00 nan
1.288794e+00 0.000000e+00 nan
1.303743e+00 0.000000e+00 nan
1.318865e+00 0.000000e+00 nan
1.334162e+00 0.000000e+00 nan
1.349637e+00 0.000000e+00 nan
1.365291e+00 0.000000e+00 nan
1.381127e+00 0.000000e+00 nan
1.397147e+00 0.000000e+00 nan
1.413352e+00 0.000000e+00 nan
1.429746e+00 0.000000e+00 nan
1.446329e+00 0.000000e+00 nan
1.463105e+00 0.000000e+00 nan
1.480075e+00 0.000000e+00 nan
1.497243e+00 0.000000e+00 nan
1.514609e+00 0.000000e+00 nan
1.532177e+00 0.000000e+00 nan
1.549948e+00 0.000000e+00 nan
1.567926e+00 0.000000e+00 nan
1.586112e+00 0.000000e+00 nan
1.604509e+00 0.000000e+00 nan
1.623120e+00 0.000000e+00 nan
1.641946e+00 0.000000e+00 nan
1.660991e+00 0.000000e+00 nan
1.680257e+00 0.000000e+00 nan
1.699746e+00 0.000000e+00 nan
1.719461e+00 0.000000e+00 nan
1.739405e+00 0.000000e+00 nan
1.759580e+00 0.000000e+00 nan
1.779989e+00 0.000000e+00 nan
1.800635e+00 0.000000e+00 nan
1.821520e+00 0.000000e+00 nan
1.842648e+00 0.000000e+00 nan
1.864021e+00 0.000000e+00 nan
1.885641e+00 0.000000e+00 nan
1.907513e+00 0.000000e+00 nan
