# Energy(MeV) Planare_Fluence(cm^-2*MeV^-1)
3.865221e+00 1.391751e+08
3.937226e+00 1.324770e+08
4.010573e+00 1.261161e+08
4.085286e+00 1.200573e+08
4.161391e+00 1.141312e+08
4.238913e+00 1.086611e+08
4.317880e+00 1.034173e+08
4.398317e+00 9.838869e+07
4.480254e+00 9.361645e+07
4.563716e+00 8.905446e+07
4.648734e+00 8.469364e+07
4.735335e+00 8.055269e+07
4.823549e+00 7.667113e+07
4.913407e+00 7.293118e+07
5.004939e+00 6.935848e+07
5.098176e+00 6.599760e+07
5.193150e+00 6.280458e+07
5.289893e+00 5.969917e+07
5.388438e+00 5.680836e+07
5.488820e+00 5.403426e+07
5.591071e+00 5.140653e+07
5.695227e+00 4.890091e+07
5.801323e+00 4.652950e+07
5.909396e+00 4.427321e+07
6.019482e+00 4.209523e+07
6.131619e+00 4.006745e+07
6.245845e+00 3.810907e+07
6.362198e+00 3.625395e+07
6.480720e+00 3.446898e+07
6.601449e+00 3.278801e+07
6.724427e+00 3.118798e+07
6.849697e+00 2.968072e+07
6.977300e+00 2.824886e+07
7.107280e+00 2.688873e+07
7.239681e+00 2.557482e+07
7.374549e+00 2.432043e+07
7.511929e+00 2.314570e+07
7.651869e+00 2.201150e+07
7.794416e+00 2.092995e+07
7.939618e+00 1.991412e+07
8.087525e+00 1.895795e+07
8.238187e+00 1.802566e+07
8.391656e+00 1.714946e+07
8.547985e+00 1.631135e+07
8.707225e+00 1.550589e+07
8.869432e+00 1.474258e+07
9.034660e+00 1.402698e+07
9.202967e+00 1.334292e+07
9.374409e+00 1.268609e+07
9.549045e+00 1.206378e+07
9.726934e+00 1.146350e+07
9.908137e+00 1.090269e+07
1.009272e+01 1.036372e+07
1.028073e+01 9.855867e+06
1.047225e+01 9.374769e+06
1.066734e+01 8.915424e+06
1.086606e+01 8.474361e+06
1.106848e+01 8.054752e+06
1.127468e+01 7.660311e+06
1.148472e+01 7.287327e+06
1.169866e+01 6.929380e+06
1.191660e+01 6.588596e+06
1.213859e+01 6.262859e+06
1.236472e+01 5.953754e+06
1.259506e+01 5.662667e+06
1.282970e+01 5.385186e+06
1.306870e+01 5.119411e+06
1.331216e+01 4.867752e+06
1.356015e+01 4.629494e+06
1.381276e+01 4.403801e+06
1.407008e+01 4.185551e+06
1.433219e+01 3.976289e+06
1.459919e+01 3.779692e+06
1.487115e+01 3.593809e+06
1.514819e+01 3.417345e+06
1.543038e+01 3.247860e+06
1.571784e+01 3.087471e+06
1.601064e+01 2.935521e+06
1.630891e+01 2.789632e+06
1.661273e+01 2.650600e+06
1.692220e+01 2.518461e+06
1.723745e+01 2.394915e+06
1.755856e+01 2.275723e+06
1.788566e+01 2.164051e+06
1.821885e+01 2.056754e+06
1.855825e+01 1.955440e+06
1.890397e+01 1.857407e+06
1.925614e+01 1.767055e+06
1.961486e+01 1.679562e+06
1.998026e+01 1.595577e+06
2.035248e+01 1.516085e+06
2.073162e+01 1.440281e+06
2.111783e+01 1.368526e+06
2.151123e+01 1.300316e+06
2.191197e+01 1.236291e+06
2.232016e+01 1.173512e+06
2.273597e+01 1.114015e+06
2.315951e+01 1.058299e+06
2.359095e+01 1.005295e+06
2.403043e+01 9.541755e+05
2.447809e+01 9.064858e+05
2.493409e+01 8.611864e+05
2.539859e+01 8.186430e+05
2.587174e+01 7.775515e+05
2.635371e+01 7.395568e+05
2.684465e+01 7.026105e+05
2.734474e+01 6.673575e+05
2.785414e+01 6.346589e+05
2.837304e+01 6.026563e+05
2.890160e+01 5.725612e+05
2.944000e+01 5.437564e+05
2.998844e+01 5.164302e+05
3.054710e+01 4.902534e+05
3.111616e+01 4.653700e+05
3.169582e+01 4.422120e+05
3.228628e+01 4.197601e+05
3.288774e+01 3.986190e+05
3.350041e+01 3.785347e+05
3.412449e+01 3.593435e+05
3.476019e+01 3.411649e+05
3.540774e+01 3.235844e+05
3.606735e+01 3.069238e+05
3.673925e+01 2.909400e+05
3.742366e+01 2.761666e+05
3.812083e+01 2.623667e+05
3.883098e+01 2.490293e+05
3.955436e+01 2.365390e+05
4.029122e+01 2.247377e+05
4.104181e+01 2.133656e+05
4.180637e+01 2.024175e+05
4.258518e+01 1.921899e+05
4.337850e+01 1.826284e+05
4.418660e+01 1.734736e+05
4.500975e+01 1.645758e+05
4.584824e+01 1.561653e+05
4.670234e+01 1.482804e+05
4.757236e+01 1.407797e+05
4.845859e+01 1.336082e+05
4.936132e+01 1.267157e+05
5.028087e+01 1.202703e+05
5.121755e+01 1.141508e+05
5.217169e+01 1.082761e+05
5.314359e+01 1.027902e+05
5.413360e+01 9.759356e+04
5.514206e+01 9.264368e+04
5.616930e+01 8.786435e+04
5.721568e+01 8.331793e+04
5.828155e+01 7.898194e+04
5.936727e+01 7.486153e+04
6.047322e+01 7.095384e+04
6.159978e+01 6.732185e+04
6.274732e+01 6.386957e+04
6.391624e+01 6.053169e+04
6.510694e+01 5.739451e+04
6.631981e+01 5.441884e+04
6.755528e+01 5.155577e+04
6.881377e+01 4.883028e+04
7.009570e+01 4.633138e+04
7.140151e+01 4.393295e+04
7.273165e+01 4.168207e+04
7.408657e+01 3.953601e+04
7.546673e+01 3.747074e+04
7.687260e+01 3.551715e+04
7.830465e+01 3.369158e+04
7.976339e+01 3.194111e+04
8.124930e+01 3.024053e+04
8.276289e+01 2.862186e+04
8.430468e+01 2.707587e+04
8.587519e+01 2.562644e+04
8.747496e+01 2.428302e+04
8.910453e+01 2.301323e+04
9.076446e+01 2.180061e+04
9.245531e+01 2.067242e+04
9.417766e+01 1.958855e+04
9.593209e+01 1.856616e+04
9.771921e+01 1.759272e+04
9.953962e+01 1.666240e+04
1.013939e+02 1.579634e+04
1.032828e+02 1.495585e+04
1.052069e+02 1.417101e+04
1.071668e+02 1.342975e+04
1.091632e+02 1.270794e+04
1.111968e+02 1.202069e+04
1.132683e+02 1.138360e+04
1.153783e+02 1.078139e+04
1.175277e+02 1.020812e+04
1.197171e+02 9.647092e+03
1.219473e+02 9.141686e+03
1.242191e+02 8.661825e+03
1.265332e+02 8.197984e+03
1.288904e+02 7.760004e+03
1.312915e+02 7.339549e+03
1.337373e+02 6.945522e+03
1.362287e+02 6.570937e+03
1.387665e+02 6.217638e+03
1.413516e+02 5.881260e+03
1.439848e+02 5.568274e+03
1.466671e+02 5.267651e+03
1.493993e+02 4.982040e+03
1.521825e+02 4.714225e+03
1.550175e+02 4.467613e+03
1.579053e+02 4.229718e+03
1.608469e+02 4.004025e+03
1.638434e+02 3.791581e+03
1.668956e+02 3.587985e+03
1.700047e+02 3.394374e+03
1.731717e+02 3.209284e+03
1.763977e+02 3.041804e+03
1.796838e+02 2.876116e+03
1.830312e+02 2.721910e+03
1.864409e+02 2.575548e+03
1.899141e+02 2.434852e+03
1.934520e+02 2.301201e+03
1.970558e+02 2.178993e+03
2.007267e+02 2.061817e+03
2.044661e+02 1.949555e+03
2.082751e+02 1.844929e+03
2.121550e+02 1.751046e+03
2.161073e+02 1.656232e+03
2.201331e+02 1.567758e+03
2.242340e+02 1.482708e+03
2.284112e+02 1.400923e+03
2.326663e+02 1.325307e+03
2.370006e+02 1.253728e+03
2.414157e+02 1.187008e+03
2.459130e+02 1.122830e+03
2.504942e+02 1.061274e+03
2.551606e+02 1.003722e+03
2.599140e+02 9.493150e+02
2.647559e+02 8.984347e+02
2.696881e+02 8.505944e+02
2.747121e+02 8.030992e+02
2.798297e+02 7.593921e+02
2.850426e+02 7.178434e+02
2.903527e+02 6.790749e+02
2.957617e+02 6.421057e+02
3.012714e+02 6.078228e+02
3.068838e+02 5.742749e+02
3.126007e+02 5.434432e+02
3.184242e+02 5.137729e+02
3.243561e+02 4.859577e+02
3.303985e+02 4.588470e+02
3.365535e+02 4.333977e+02
3.428231e+02 4.093393e+02
3.492096e+02 3.869484e+02
3.557150e+02 3.656369e+02
3.623416e+02 3.455688e+02
3.690917e+02 3.267022e+02
3.759675e+02 3.086313e+02
3.829714e+02 2.913235e+02
3.901058e+02 2.750039e+02
3.973730e+02 2.599271e+02
4.047757e+02 2.456753e+02
4.123163e+02 2.322090e+02
4.199973e+02 2.193981e+02
4.278214e+02 2.071872e+02
4.357913e+02 1.957135e+02
4.439097e+02 1.847452e+02
4.521792e+02 1.744935e+02
4.606029e+02 1.647696e+02
4.691835e+02 1.555397e+02
4.779239e+02 1.470787e+02
4.868271e+02 1.391561e+02
4.958962e+02 1.314258e+02
5.051342e+02 1.240501e+02
5.145444e+02 1.171167e+02
5.241298e+02 1.107569e+02
5.338938e+02 1.046424e+02
