# Energy(MeV) Fluence_Planar_Median(cm^-2*MeV^-1)
9.697157e+00 8.584837e+06
9.809633e+00 8.399802e+06
9.923414e+00 8.218805e+06
1.003851e+01 8.041694e+06
1.015495e+01 7.868400e+06
1.027274e+01 7.700839e+06
1.039189e+01 7.534229e+06
1.051242e+01 7.370711e+06
1.063436e+01 7.213076e+06
1.075770e+01 7.058811e+06
1.088248e+01 6.908469e+06
1.100870e+01 6.763367e+06
1.113639e+01 6.620515e+06
1.126556e+01 6.481226e+06
1.139623e+01 6.344868e+06
1.152842e+01 6.206023e+06
1.166213e+01 6.072974e+06
1.179740e+01 5.942784e+06
1.193424e+01 5.816570e+06
1.207266e+01 5.689363e+06
1.221269e+01 5.564159e+06
1.235434e+01 5.444609e+06
1.249764e+01 5.328124e+06
1.264260e+01 5.213280e+06
1.278924e+01 5.101229e+06
1.293758e+01 4.992559e+06
1.308764e+01 4.885728e+06
1.323945e+01 4.780750e+06
1.339301e+01 4.677018e+06
1.354835e+01 4.574034e+06
1.370550e+01 4.474199e+06
1.386447e+01 4.377417e+06
1.402528e+01 4.281850e+06
1.418796e+01 4.189027e+06
1.435252e+01 4.098702e+06
1.451900e+01 4.011754e+06
1.468740e+01 3.926651e+06
1.485776e+01 3.843278e+06
1.503009e+01 3.760394e+06
1.520442e+01 3.679570e+06
1.538078e+01 3.599549e+06
1.555918e+01 3.521253e+06
1.573965e+01 3.444225e+06
1.592221e+01 3.367869e+06
1.610689e+01 3.292420e+06
1.629371e+01 3.220066e+06
1.648270e+01 3.149304e+06
1.667388e+01 3.079464e+06
1.686728e+01 3.011774e+06
1.706292e+01 2.945574e+06
1.726083e+01 2.882411e+06
1.746104e+01 2.820069e+06
1.766357e+01 2.759010e+06
1.786845e+01 2.699263e+06
1.807570e+01 2.641137e+06
1.828536e+01 2.584263e+06
1.849745e+01 2.528614e+06
1.871200e+01 2.474163e+06
1.892904e+01 2.420940e+06
1.914859e+01 2.368979e+06
1.937070e+01 2.317790e+06
1.959538e+01 2.267295e+06
1.982266e+01 2.217900e+06
2.005258e+01 2.169521e+06
2.028517e+01 2.122479e+06
2.052045e+01 2.077387e+06
2.075847e+01 2.032930e+06
2.099924e+01 1.989424e+06
2.124281e+01 1.946849e+06
2.148921e+01 1.905315e+06
2.173846e+01 1.864414e+06
2.199060e+01 1.824514e+06
2.224567e+01 1.784961e+06
2.250369e+01 1.745991e+06
2.276471e+01 1.709171e+06
2.302875e+01 1.673193e+06
2.329586e+01 1.637465e+06
2.356607e+01 1.601702e+06
2.383941e+01 1.566699e+06
2.411592e+01 1.533551e+06
2.439564e+01 1.500560e+06
2.467860e+01 1.467929e+06
2.496485e+01 1.436623e+06
2.525441e+01 1.405766e+06
2.554733e+01 1.375706e+06
2.584365e+01 1.346371e+06
2.614341e+01 1.317681e+06
2.644665e+01 1.288945e+06
2.675340e+01 1.261373e+06
2.706371e+01 1.234009e+06
2.737762e+01 1.207057e+06
2.769517e+01 1.180980e+06
