# Energy(MeV) Fluence_Spherical_Median(cm^-2*MeV^-1)
9.697157e+00 3.433935e+07
9.809633e+00 3.359921e+07
9.923414e+00 3.287522e+07
1.003851e+01 3.216678e+07
1.015495e+01 3.147360e+07
1.027274e+01 3.080336e+07
1.039189e+01 3.013691e+07
1.051242e+01 2.948285e+07
1.063436e+01 2.885230e+07
1.075770e+01 2.823524e+07
1.088248e+01 2.763388e+07
1.100870e+01 2.705347e+07
1.113639e+01 2.648206e+07
1.126556e+01 2.592490e+07
1.139623e+01 2.537947e+07
1.152842e+01 2.482409e+07
1.166213e+01 2.429189e+07
1.179740e+01 2.377114e+07
1.193424e+01 2.326628e+07
1.207266e+01 2.275745e+07
1.221269e+01 2.225664e+07
1.235434e+01 2.177844e+07
1.249764e+01 2.131250e+07
1.264260e+01 2.085312e+07
1.278924e+01 2.040491e+07
1.293758e+01 1.997024e+07
1.308764e+01 1.954291e+07
1.323945e+01 1.912300e+07
1.339301e+01 1.870807e+07
1.354835e+01 1.829614e+07
1.370550e+01 1.789680e+07
1.386447e+01 1.750967e+07
1.402528e+01 1.712740e+07
1.418796e+01 1.675611e+07
1.435252e+01 1.639481e+07
1.451900e+01 1.604702e+07
1.468740e+01 1.570661e+07
1.485776e+01 1.537311e+07
1.503009e+01 1.504158e+07
1.520442e+01 1.471828e+07
1.538078e+01 1.439820e+07
1.555918e+01 1.408501e+07
1.573965e+01 1.377690e+07
1.592221e+01 1.347147e+07
1.610689e+01 1.316968e+07
1.629371e+01 1.288027e+07
1.648270e+01 1.259722e+07
1.667388e+01 1.231786e+07
1.686728e+01 1.204710e+07
1.706292e+01 1.178229e+07
1.726083e+01 1.152964e+07
1.746104e+01 1.128028e+07
1.766357e+01 1.103604e+07
1.786845e+01 1.079705e+07
1.807570e+01 1.056455e+07
1.828536e+01 1.033705e+07
1.849745e+01 1.011445e+07
1.871200e+01 9.896650e+06
1.892904e+01 9.683761e+06
1.914859e+01 9.475915e+06
1.937070e+01 9.271160e+06
1.959538e+01 9.069179e+06
1.982266e+01 8.871599e+06
