# Energy(MeV) Sferica_4Pi_Fluence(cm^-2*MeV^-1)
1.528864e+01 2.527541e+08
1.550175e+01 2.443473e+08
1.571784e+01 2.360868e+08
1.593694e+01 2.282491e+08
1.615909e+01 2.212312e+08
1.638434e+01 2.141941e+08
1.661273e+01 2.078001e+08
1.684430e+01 2.015570e+08
1.707910e+01 1.953543e+08
1.731717e+01 1.893425e+08
1.755856e+01 1.835158e+08
1.780332e+01 1.778685e+08
1.805149e+01 1.723950e+08
1.830312e+01 1.669377e+08
1.855825e+01 1.615503e+08
1.881694e+01 1.563361e+08
1.907924e+01 1.509869e+08
1.934520e+01 1.458208e+08
1.961486e+01 1.409371e+08
1.988828e+01 1.362670e+08
2.016551e+01 1.317516e+08
2.044661e+01 1.275489e+08
2.073162e+01 1.234913e+08
2.102061e+01 1.195629e+08
2.131362e+01 1.156264e+08
2.161073e+01 1.117572e+08
2.191197e+01 1.081001e+08
2.221741e+01 1.046458e+08
2.252711e+01 1.013022e+08
2.284112e+01 9.812268e+07
2.315951e+01 9.512772e+07
2.348235e+01 9.203768e+07
2.380968e+01 8.904700e+07
2.414157e+01 8.615369e+07
2.447809e+01 8.323771e+07
2.481930e+01 8.052022e+07
2.516527e+01 7.795813e+07
2.551606e+01 7.552429e+07
2.587174e+01 7.316180e+07
2.623238e+01 7.078275e+07
2.659804e+01 6.848110e+07
2.696881e+01 6.625433e+07
2.734474e+01 6.410000e+07
2.772591e+01 6.206813e+07
2.811239e+01 6.009693e+07
2.850426e+01 5.807060e+07
2.890160e+01 5.613975e+07
2.930447e+01 5.423562e+07
2.971296e+01 5.235721e+07
3.012714e+01 5.070697e+07
3.054710e+01 4.921263e+07
3.097291e+01 4.760431e+07
3.140465e+01 4.599845e+07
3.184242e+01 4.439789e+07
3.228628e+01 4.286943e+07
3.273634e+01 4.142095e+07
3.319266e+01 4.005567e+07
3.365535e+01 3.874492e+07
3.412449e+01 3.748399e+07
3.460016e+01 3.630292e+07
3.508247e+01 3.515907e+07
3.557150e+01 3.405127e+07
3.606735e+01 3.297837e+07
3.657011e+01 3.198046e+07
3.707988e+01 3.101351e+07
3.759675e+01 2.999637e+07
3.812083e+01 2.901432e+07
3.865221e+01 2.811045e+07
3.919100e+01 2.721490e+07
3.973730e+01 2.635744e+07
4.029122e+01 2.552700e+07
4.085286e+01 2.472273e+07
4.142232e+01 2.395634e+07
4.199973e+01 2.320655e+07
4.258518e+01 2.247532e+07
4.317880e+01 2.170479e+07
4.378069e+01 2.100065e+07
4.439097e+01 2.031643e+07
4.500975e+01 1.964402e+07
4.563716e+01 1.899392e+07
4.627332e+01 1.836671e+07
4.691835e+01 1.776523e+07
4.757236e+01 1.717538e+07
4.823549e+01 1.660515e+07
4.890787e+01 1.605387e+07
4.958962e+01 1.554074e+07
5.028087e+01 1.506556e+07
5.098176e+01 1.460494e+07
5.169242e+01 1.415843e+07
5.241298e+01 1.369320e+07
5.314359e+01 1.328927e+07
5.388438e+01 1.286913e+07
5.463550e+01 1.246890e+07
5.539709e+01 1.208185e+07
5.616930e+01 1.169824e+07
5.695227e+01 1.129242e+07
5.774615e+01 1.092894e+07
5.855110e+01 1.057729e+07
5.936727e+01 1.023255e+07
6.019482e+01 9.907559e+06
6.103390e+01 9.588770e+06
6.188468e+01 9.280238e+06
6.274732e+01 8.981635e+06
6.362198e+01 8.690197e+06
6.450884e+01 8.406836e+06
6.540806e+01 8.139437e+06
6.631981e+01 7.881558e+06
6.724427e+01 7.633107e+06
6.818162e+01 7.392490e+06
