# Energy(MeV) Planare_Pi_Fluence(cm^-2*MeV^-1)
1.528864e+01 6.318852e+07
1.550175e+01 6.108682e+07
1.571784e+01 5.902171e+07
1.593694e+01 5.706227e+07
1.615909e+01 5.530779e+07
1.638434e+01 5.354851e+07
1.661273e+01 5.195003e+07
1.684430e+01 5.038924e+07
1.707910e+01 4.883856e+07
1.731717e+01 4.733562e+07
1.755856e+01 4.587895e+07
1.780332e+01 4.446712e+07
1.805149e+01 4.309875e+07
1.830312e+01 4.173442e+07
1.855825e+01 4.038758e+07
1.881694e+01 3.908402e+07
1.907924e+01 3.774672e+07
1.934520e+01 3.645521e+07
1.961486e+01 3.523427e+07
1.988828e+01 3.406674e+07
2.016551e+01 3.293790e+07
2.044661e+01 3.188723e+07
2.073162e+01 3.087282e+07
2.102061e+01 2.989073e+07
2.131362e+01 2.890660e+07
2.161073e+01 2.793930e+07
2.191197e+01 2.702503e+07
2.221741e+01 2.616144e+07
2.252711e+01 2.532555e+07
2.284112e+01 2.453067e+07
2.315951e+01 2.378193e+07
2.348235e+01 2.300942e+07
2.380968e+01 2.226175e+07
2.414157e+01 2.153842e+07
2.447809e+01 2.080943e+07
2.481930e+01 2.013005e+07
2.516527e+01 1.948953e+07
2.551606e+01 1.888107e+07
2.587174e+01 1.829045e+07
2.623238e+01 1.769569e+07
2.659804e+01 1.712028e+07
2.696881e+01 1.656358e+07
2.734474e+01 1.602500e+07
2.772591e+01 1.551703e+07
2.811239e+01 1.502423e+07
2.850426e+01 1.451765e+07
2.890160e+01 1.403494e+07
2.930447e+01 1.355891e+07
2.971296e+01 1.308930e+07
3.012714e+01 1.267674e+07
3.054710e+01 1.230316e+07
3.097291e+01 1.190108e+07
3.140465e+01 1.149961e+07
3.184242e+01 1.109947e+07
3.228628e+01 1.071736e+07
3.273634e+01 1.035524e+07
3.319266e+01 1.001392e+07
3.365535e+01 9.686230e+06
3.412449e+01 9.370997e+06
3.460016e+01 9.075729e+06
3.508247e+01 8.789767e+06
3.557150e+01 8.512816e+06
3.606735e+01 8.244593e+06
3.657011e+01 7.995116e+06
3.707988e+01 7.753377e+06
3.759675e+01 7.499093e+06
3.812083e+01 7.253581e+06
3.865221e+01 7.027614e+06
3.919100e+01 6.803725e+06
3.973730e+01 6.589360e+06
4.029122e+01 6.381751e+06
4.085286e+01 6.180683e+06
4.142232e+01 5.989085e+06
4.199973e+01 5.801638e+06
4.258518e+01 5.618830e+06
4.317880e+01 5.426197e+06
4.378069e+01 5.250162e+06
4.439097e+01 5.079106e+06
4.500975e+01 4.911004e+06
4.563716e+01 4.748480e+06
4.627332e+01 4.591678e+06
4.691835e+01 4.441308e+06
4.757236e+01 4.293846e+06
4.823549e+01 4.151287e+06
4.890787e+01 4.013468e+06
4.958962e+01 3.885186e+06
5.028087e+01 3.766391e+06
5.098176e+01 3.651236e+06
5.169242e+01 3.539608e+06
5.241298e+01 3.423299e+06
5.314359e+01 3.322317e+06
5.388438e+01 3.217283e+06
5.463550e+01 3.117225e+06
5.539709e+01 3.020463e+06
5.616930e+01 2.924560e+06
5.695227e+01 2.823106e+06
5.774615e+01 2.732236e+06
5.855110e+01 2.644322e+06
5.936727e+01 2.558138e+06
6.019482e+01 2.476890e+06
6.103390e+01 2.397192e+06
6.188468e+01 2.320060e+06
6.274732e+01 2.245409e+06
6.362198e+01 2.172549e+06
6.450884e+01 2.101709e+06
6.540806e+01 2.034859e+06
6.631981e+01 1.970390e+06
6.724427e+01 1.908277e+06
6.818162e+01 1.848122e+06
6.913204e+01 1.788814e+06
7.009570e+01 1.730504e+06
7.107280e+01 1.673879e+06
7.206351e+01 1.620168e+06
7.306804e+01 1.568182e+06
7.408657e+01 1.517505e+06
7.511929e+01 1.467931e+06
7.616642e+01 1.417914e+06
7.722814e+01 1.370039e+06
7.830465e+01 1.324310e+06
7.939618e+01 1.282547e+06
8.050292e+01 1.242809e+06
8.162509e+01 1.204305e+06
8.276289e+01 1.166997e+06
8.391656e+01 1.129860e+06
8.508632e+01 1.091416e+06
8.627237e+01 1.053230e+06
8.747496e+01 1.017646e+06
8.869432e+01 9.858204e+05
8.993067e+01 9.547690e+05
9.118425e+01 9.230858e+05
9.245531e+01 8.918323e+05
9.374409e+01 8.617340e+05
9.505083e+01 8.320704e+05
9.637579e+01 8.052186e+05
9.771921e+01 7.793322e+05
9.908137e+01 7.538938e+05
1.004625e+02 7.283220e+05
1.018629e+02 7.027199e+05
1.032828e+02 6.783080e+05
1.047225e+02 6.563636e+05
1.061823e+02 6.359714e+05
1.076624e+02 6.168020e+05
1.091632e+02 5.971210e+05
1.106848e+02 5.777947e+05
1.122277e+02 5.594712e+05
1.137921e+02 5.414442e+05
1.153783e+02 5.234825e+05
1.169866e+02 5.058991e+05
1.186174e+02 4.884315e+05
1.202708e+02 4.719402e+05
1.219473e+02 4.560058e+05
1.236472e+02 4.409546e+05
1.253708e+02 4.267980e+05
1.271184e+02 4.123597e+05
1.288904e+02 3.986074e+05
1.306870e+02 3.854132e+05
1.325087e+02 3.726562e+05
1.343558e+02 3.604734e+05
1.362287e+02 3.489787e+05
1.381276e+02 3.375809e+05
1.400531e+02 3.263634e+05
1.420053e+02 3.155194e+05
1.439848e+02 3.053301e+05
1.459919e+02 2.956136e+05
1.480269e+02 2.861533e+05
1.500903e+02 2.769848e+05
1.521825e+02 2.681101e+05
1.543038e+02 2.595197e+05
1.564548e+02 2.512045e+05
1.586357e+02 2.431558e+05
1.608469e+02 2.353650e+05
1.630891e+02 2.275588e+05
1.653624e+02 2.199371e+05
1.676675e+02 2.125713e+05
1.700047e+02 2.056679e+05
1.723745e+02 1.992268e+05
1.747773e+02 1.929875e+05
1.772136e+02 1.869436e+05
1.796838e+02 1.811542e+05
1.821885e+02 1.753950e+05
1.847281e+02 1.695115e+05
1.873032e+02 1.639298e+05
1.899141e+02 1.585247e+05
1.925614e+02 1.530071e+05
1.952456e+02 1.476817e+05
1.979672e+02 1.426175e+05
2.007267e+02 1.380215e+05
2.035248e+02 1.335605e+05
2.063618e+02 1.289946e+05
2.092383e+02 1.244854e+05
2.121550e+02 1.201034e+05
2.151123e+02 1.161180e+05
2.181109e+02 1.122128e+05
2.211512e+02 1.082772e+05
2.242340e+02 1.045831e+05
2.273597e+02 1.011368e+05
2.305289e+02 9.791933e+04
2.337424e+02 9.467312e+04
2.370006e+02 9.158114e+04
2.403043e+02 8.868981e+04
2.436540e+02 8.571345e+04
2.470504e+02 8.283702e+04
2.504942e+02 7.997100e+04
2.539859e+02 7.718631e+04
2.575263e+02 7.449861e+04
2.611161e+02 7.196179e+04
2.647559e+02 6.951339e+04
2.684465e+02 6.716650e+04
2.721885e+02 6.498123e+04
2.759826e+02 6.277496e+04
2.798297e+02 6.061726e+04
2.837304e+02 5.853376e+04
2.876854e+02 5.652190e+04
2.916956e+02 5.467771e+04
2.957617e+02 5.291202e+04
2.998844e+02 5.107807e+04
3.040646e+02 4.933330e+04
3.083031e+02 4.779899e+04
3.126007e+02 4.633073e+04
3.169582e+02 4.488253e+04
3.213764e+02 4.337629e+04
3.258562e+02 4.195517e+04
3.303985e+02 4.055347e+04
3.350041e+02 3.914810e+04
3.396739e+02 3.779165e+04
3.444087e+02 3.657278e+04
3.492096e+02 3.542468e+04
3.540774e+02 3.422269e+04
3.590130e+02 3.308399e+04
3.640175e+02 3.194045e+04
3.690917e+02 3.081715e+04
3.742366e+02 2.982320e+04
3.794533e+02 2.889858e+04
3.847427e+02 2.798843e+04
3.901058e+02 2.706991e+04
3.955436e+02 2.618294e+04
4.010573e+02 2.536549e+04
4.066478e+02 2.457357e+04
4.123163e+02 2.377152e+04
4.180637e+02 2.299407e+04
4.238913e+02 2.224207e+04
4.298001e+02 2.148414e+04
4.357913e+02 2.077946e+04
4.418660e+02 2.010789e+04
4.480254e+02 1.945805e+04
4.542706e+02 1.877754e+04
4.606029e+02 1.814211e+04
4.670234e+02 1.753825e+04
4.735335e+02 1.698971e+04
4.801343e+02 1.646176e+04
4.868271e+02 1.595021e+04
4.936132e+02 1.543183e+04
5.004939e+02 1.492192e+04
5.074705e+02 1.445696e+04
5.145444e+02 1.402167e+04
5.217169e+02 1.357458e+04
5.289893e+02 1.312573e+04
5.363631e+02 1.267225e+04
5.438397e+02 1.223445e+04
5.514206e+02 1.182465e+04
5.591071e+02 1.144008e+04
5.669007e+02 1.106804e+04
5.748030e+02 1.070812e+04
5.828155e+02 1.035994e+04
5.909396e+02 1.001976e+04
5.991770e+02 9.672883e+03
6.075292e+02 9.336172e+03
6.159978e+02 9.016587e+03
6.245845e+02 8.712498e+03
6.332908e+02 8.409976e+03
6.421186e+02 8.119343e+03
6.510694e+02 7.838755e+03
6.601449e+02 7.569816e+03
6.693470e+02 7.317607e+03
6.786773e+02 7.085411e+03
6.881377e+02 6.848531e+03
6.977300e+02 6.626616e+03
7.074559e+02 6.411891e+03
7.173175e+02 6.204125e+03
7.273165e+02 6.002696e+03
7.374549e+02 5.800810e+03
7.477346e+02 5.605721e+03
7.581576e+02 5.417198e+03
7.687260e+02 5.246847e+03
7.794416e+02 5.082174e+03
7.903066e+02 4.922677e+03
8.013230e+02 4.763599e+03
8.124930e+02 4.600137e+03
8.238187e+02 4.442299e+03
8.353023e+02 4.298445e+03
8.469460e+02 4.159599e+03
8.587519e+02 4.025238e+03
8.707225e+02 3.893933e+03
8.828599e+02 3.763471e+03
8.951665e+02 3.633125e+03
9.076446e+02 3.515355e+03
9.202967e+02 3.408007e+03
9.331251e+02 3.301347e+03
9.461324e+02 3.193256e+03
9.593209e+02 3.086383e+03
9.726934e+02 2.980062e+03
9.862522e+02 2.881729e+03
1.000000e+03 2.783673e+03
