# AUG 1972 GLE#24 - Phi_omni / 4 (planar geometry)
# Raukunen et al. 2018
# Energy(MeV) Fluence(cm^-2*MeV^-1)
1.487115e+01 7.945119e+08
1.507845e+01 7.701254e+08
1.528864e+01 7.464082e+08
1.550175e+01 7.233440e+08
1.571784e+01 7.009168e+08
1.593694e+01 6.791111e+08
1.615909e+01 6.579115e+08
1.638434e+01 6.373032e+08
1.661273e+01 6.172716e+08
1.684430e+01 5.978023e+08
1.707910e+01 5.788815e+08
1.731717e+01 5.604955e+08
1.755856e+01 5.426308e+08
1.780332e+01 5.252745e+08
1.805149e+01 5.084137e+08
1.830312e+01 4.920361e+08
1.855825e+01 4.761292e+08
1.881694e+01 4.606813e+08
1.907924e+01 4.456805e+08
1.934520e+01 4.311156e+08
1.961486e+01 4.169753e+08
1.988828e+01 4.032488e+08
2.016551e+01 3.899252e+08
2.044661e+01 3.769944e+08
2.073162e+01 3.644459e+08
2.102061e+01 3.522699e+08
2.131362e+01 3.404567e+08
2.161073e+01 3.289967e+08
2.191197e+01 3.178806e+08
2.221741e+01 3.070994e+08
2.252711e+01 2.966442e+08
2.284112e+01 2.865063e+08
2.315951e+01 2.766773e+08
2.348235e+01 2.671488e+08
2.380968e+01 2.579129e+08
2.414157e+01 2.489615e+08
2.447809e+01 2.402871e+08
2.481930e+01 2.318821e+08
2.516527e+01 2.237391e+08
2.551606e+01 2.158509e+08
2.587174e+01 2.082107e+08
2.623238e+01 2.008114e+08
2.659804e+01 1.936465e+08
2.696881e+01 1.867095e+08
2.734474e+01 1.799939e+08
2.772591e+01 1.734937e+08
2.811239e+01 1.672026e+08
2.850426e+01 1.611149e+08
2.890160e+01 1.552247e+08
2.930447e+01 1.495265e+08
2.971296e+01 1.440147e+08
3.012714e+01 1.386841e+08
3.054710e+01 1.335293e+08
3.097291e+01 1.285453e+08
3.140465e+01 1.237272e+08
3.184242e+01 1.190701e+08
3.228628e+01 1.145693e+08
3.273634e+01 1.102201e+08
3.319266e+01 1.060182e+08
3.365535e+01 1.019591e+08
3.412449e+01 9.803865e+07
3.460016e+01 9.425261e+07
3.508247e+01 9.059698e+07
3.557150e+01 8.706782e+07
3.606735e+01 8.366130e+07
3.657011e+01 8.037368e+07
3.707988e+01 7.720132e+07
3.759675e+01 7.414069e+07
3.812083e+01 7.118834e+07
3.865221e+01 6.834090e+07
3.919100e+01 6.559513e+07
3.973730e+01 6.294782e+07
4.029122e+01 6.039590e+07
4.085286e+01 5.793634e+07
4.142232e+01 5.556621e+07
4.199973e+01 5.328268e+07
4.258518e+01 5.108295e+07
4.317880e+01 4.896435e+07
4.378069e+01 4.692424e+07
4.439097e+01 4.496007e+07
4.500975e+01 4.306937e+07
4.563716e+01 4.124972e+07
4.627332e+01 3.949879e+07
4.691835e+01 3.781430e+07
4.757236e+01 3.619404e+07
4.823549e+01 3.463585e+07
4.890787e+01 3.313765e+07
4.958962e+01 3.169743e+07
5.028087e+01 3.031319e+07
5.098176e+01 2.898304e+07
5.169242e+01 2.770513e+07
5.241298e+01 2.647764e+07
5.314359e+01 2.529884e+07
5.388438e+01 2.416702e+07
5.463550e+01 2.308054e+07
5.539709e+01 2.203781e+07
5.616930e+01 2.103728e+07
5.695227e+01 2.007744e+07
5.774615e+01 1.915685e+07
5.855110e+01 1.827409e+07
5.936727e+01 1.742779e+07
6.019482e+01 1.661663e+07
6.103390e+01 1.583933e+07
6.188468e+01 1.509464e+07
6.274732e+01 1.438136e+07
6.362198e+01 1.369833e+07
6.450884e+01 1.304440e+07
6.540806e+01 1.241850e+07
6.631981e+01 1.181956e+07
6.724427e+01 1.124656e+07
6.818162e+01 1.069851e+07
6.913204e+01 1.017446e+07
7.009570e+01 9.673465e+06
7.107280e+01 9.194645e+06
7.206351e+01 8.737131e+06
7.306804e+01 8.300087e+06
7.408657e+01 7.882703e+06
7.511929e+01 7.484200e+06
7.616642e+01 7.103823e+06
7.722814e+01 6.740844e+06
7.830465e+01 6.394560e+06
7.939618e+01 6.064293e+06
8.050292e+01 5.749387e+06
8.162509e+01 5.449211e+06
8.276289e+01 5.163155e+06
8.391656e+01 4.890633e+06
8.508632e+01 4.631077e+06
8.627237e+01 4.383941e+06
8.747496e+01 4.148699e+06
8.869432e+01 3.924845e+06
8.993067e+01 3.711889e+06
9.118425e+01 3.509361e+06
9.245531e+01 3.316810e+06
9.374409e+01 3.133798e+06
9.505083e+01 2.959907e+06
9.637579e+01 2.794733e+06
9.771921e+01 2.637889e+06
9.908137e+01 2.489002e+06
1.004625e+02 2.347712e+06
1.018629e+02 2.213676e+06
1.032828e+02 2.086563e+06
1.047225e+02 1.966054e+06
1.061823e+02 1.851845e+06
1.076624e+02 1.743642e+06
1.091632e+02 1.641165e+06
1.106848e+02 1.544144e+06
1.122277e+02 1.452319e+06
1.137921e+02 1.365444e+06
1.153783e+02 1.283280e+06
1.169866e+02 1.205600e+06
1.186174e+02 1.132185e+06
1.202708e+02 1.062826e+06
1.219473e+02 9.973242e+05
1.236472e+02 9.354871e+05
1.253708e+02 8.771319e+05
1.271184e+02 8.220833e+05
1.288904e+02 7.654425e+05
1.306870e+02 7.125224e+05
1.325087e+02 6.632361e+05
1.343558e+02 6.173356e+05
1.362287e+02 5.745896e+05
1.381276e+02 5.347827e+05
1.400531e+02 4.977139e+05
1.420053e+02 4.631960e+05
1.439848e+02 4.310546e+05
1.459919e+02 4.011271e+05
1.480269e+02 3.732619e+05
1.500903e+02 3.473178e+05
1.521825e+02 3.231632e+05
1.543038e+02 3.006755e+05
1.564548e+02 2.797404e+05
1.586357e+02 2.602515e+05
1.608469e+02 2.421094e+05
1.630891e+02 2.252218e+05
1.653624e+02 2.095026e+05
1.676675e+02 1.948713e+05
1.700047e+02 1.812534e+05
1.723745e+02 1.685790e+05
1.747773e+02 1.567833e+05
1.772136e+02 1.458059e+05
1.796838e+02 1.355903e+05
1.821885e+02 1.260842e+05
1.847281e+02 1.172385e+05
1.873032e+02 1.090079e+05
1.899141e+02 1.013497e+05
1.925614e+02 9.422464e+04
1.952456e+02 8.759579e+04
1.979672e+02 8.142888e+04
2.007267e+02 7.569200e+04
2.035248e+02 7.035539e+04
2.063618e+02 6.539137e+04
2.092383e+02 6.077414e+04
2.121550e+02 5.647969e+04
2.151123e+02 5.248563e+04
2.181109e+02 4.877116e+04
2.211512e+02 4.531685e+04
2.242340e+02 4.210467e+04
2.273597e+02 3.911778e+04
2.305289e+02 3.634054e+04
2.337424e+02 3.375836e+04
2.370006e+02 3.135768e+04
2.403043e+02 2.912584e+04
2.436540e+02 2.705111e+04
2.470504e+02 2.512251e+04
2.504942e+02 2.332986e+04
2.539859e+02 2.166368e+04
2.575263e+02 2.011512e+04
2.611161e+02 1.867597e+04
2.647559e+02 1.733858e+04
2.684465e+02 1.609583e+04
2.721885e+02 1.494109e+04
2.759826e+02 1.386819e+04
2.798297e+02 1.287140e+04
2.837304e+02 1.194537e+04
2.876854e+02 1.108514e+04
2.916956e+02 1.028608e+04
2.957617e+02 9.543887e+03
2.998844e+02 8.854567e+03
3.040646e+02 8.214392e+03
3.083031e+02 7.619899e+03
3.126007e+02 7.067866e+03
3.169582e+02 6.555296e+03
3.213764e+02 6.079402e+03
3.258562e+02 5.637590e+03
3.303985e+02 5.227450e+03
3.350041e+02 4.846739e+03
3.396739e+02 4.493371e+03
3.444087e+02 4.165407e+03
3.492096e+02 3.861043e+03
3.540774e+02 3.578603e+03
3.590130e+02 3.316529e+03
3.640175e+02 3.073370e+03
3.690917e+02 2.847779e+03
3.742366e+02 2.638503e+03
3.794533e+02 2.444380e+03
3.847427e+02 2.264325e+03
3.901058e+02 2.097334e+03
3.955436e+02 1.942472e+03
4.010573e+02 1.798870e+03
4.066478e+02 1.665720e+03
4.123163e+02 1.542273e+03
4.180637e+02 1.427832e+03
4.238913e+02 1.321749e+03
4.298001e+02 1.223422e+03
4.357913e+02 1.132293e+03
4.418660e+02 1.047843e+03
4.480254e+02 9.695892e+02
4.542706e+02 8.970839e+02
4.606029e+02 8.299114e+02
4.670234e+02 7.676853e+02
4.735335e+02 7.100470e+02
4.801343e+02 6.566636e+02
4.868271e+02 6.072258e+02
4.936132e+02 5.614466e+02
5.004939e+02 5.190597e+02
5.074705e+02 4.798176e+02
5.145444e+02 4.434908e+02
5.217169e+02 4.098663e+02
5.289893e+02 3.787463e+02
5.363631e+02 3.499474e+02
5.438397e+02 3.232993e+02
5.514206e+02 2.986442e+02
5.591071e+02 2.758354e+02
5.669007e+02 2.547371e+02
5.748030e+02 2.352232e+02
5.828155e+02 2.171768e+02
5.909396e+02 2.004895e+02
5.991770e+02 1.850606e+02
6.075292e+02 1.707970e+02
6.159978e+02 1.576122e+02
6.245845e+02 1.454260e+02
6.332908e+02 1.341643e+02
6.421186e+02 1.237581e+02
6.510694e+02 1.141437e+02
6.601449e+02 1.052619e+02
6.693470e+02 9.705786e+01
6.786773e+02 8.948089e+01
6.881377e+02 8.248394e+01
6.977300e+02 7.602344e+01
7.074559e+02 7.005904e+01
7.173175e+02 6.455337e+01
7.273165e+02 5.947182e+01
7.374549e+02 5.478236e+01
7.477346e+02 5.045531e+01
7.581576e+02 4.646320e+01
7.687260e+02 4.278063e+01
7.794416e+02 3.938405e+01
7.903066e+02 3.625171e+01
8.013230e+02 3.336344e+01
8.124930e+02 3.070061e+01
8.238187e+02 2.824598e+01
8.353023e+02 2.598359e+01
8.469460e+02 2.389869e+01
8.587519e+02 2.197765e+01
8.707225e+02 2.020784e+01
8.828599e+02 1.857760e+01
8.951665e+02 1.707616e+01
9.076446e+02 1.569354e+01
9.202967e+02 1.442054e+01
9.331251e+02 1.324864e+01
9.461324e+02 1.216999e+01
9.593209e+02 1.117732e+01
9.726934e+02 1.026392e+01
9.862522e+02 9.423595e+00
1.000000e+03 8.650620e+00
