# Energy(MeV) Fluence_Planar_Median(cm^-2*MeV^-1)
1.298671e+00 1.923955e+09
1.320321e+00 1.880919e+09
1.342331e+00 1.838696e+09
1.364709e+00 1.797244e+09
1.387460e+00 1.757082e+09
1.410590e+00 1.716913e+09
1.434106e+00 1.678659e+09
1.458013e+00 1.641629e+09
1.482320e+00 1.605194e+09
1.507031e+00 1.569126e+09
1.532155e+00 1.533561e+09
1.557697e+00 1.499120e+09
1.583665e+00 1.465839e+09
1.610066e+00 1.433429e+09
1.636907e+00 1.400641e+09
1.664195e+00 1.368559e+09
1.691939e+00 1.337379e+09
1.720145e+00 1.307266e+09
1.748821e+00 1.277636e+09
1.777975e+00 1.248489e+09
1.807616e+00 1.219563e+09
1.837750e+00 1.191660e+09
1.868387e+00 1.163939e+09
1.899534e+00 1.137566e+09
1.931201e+00 1.111209e+09
1.963396e+00 1.086117e+09
1.996127e+00 1.061178e+09
2.029404e+00 1.036490e+09
2.063236e+00 1.012946e+09
2.097632e+00 9.899086e+08
2.132601e+00 9.674293e+08
2.168153e+00 9.454192e+08
2.204298e+00 9.234756e+08
2.241045e+00 9.016443e+08
2.278405e+00 8.805476e+08
2.316388e+00 8.599885e+08
2.355004e+00 8.403359e+08
2.394264e+00 8.210438e+08
2.434178e+00 8.021653e+08
2.474758e+00 7.834867e+08
2.516014e+00 7.651482e+08
2.557958e+00 7.474071e+08
2.600601e+00 7.300139e+08
2.643956e+00 7.126924e+08
2.688032e+00 6.957698e+08
2.732844e+00 6.792067e+08
2.778403e+00 6.631540e+08
2.824721e+00 6.475339e+08
2.871811e+00 6.321943e+08
2.919687e+00 6.172728e+08
2.968360e+00 6.026558e+08
3.017845e+00 5.883999e+08
3.068155e+00 5.744060e+08
3.119304e+00 5.607197e+08
3.171305e+00 5.473344e+08
3.224173e+00 5.341627e+08
3.277923e+00 5.214098e+08
3.332568e+00 5.088198e+08
3.388125e+00 4.964698e+08
3.444608e+00 4.844768e+08
3.502032e+00 4.727747e+08
3.560414e+00 4.613336e+08
3.619769e+00 4.502078e+08
3.680113e+00 4.392018e+08
3.741463e+00 4.284533e+08
3.803837e+00 4.179080e+08
3.867250e+00 4.076525e+08
3.931720e+00 3.977110e+08
3.997265e+00 3.879798e+08
4.063902e+00 3.783908e+08
4.131651e+00 3.689360e+08
4.200529e+00 3.598152e+08
4.270555e+00 3.507766e+08
4.341748e+00 3.420757e+08
4.414129e+00 3.335933e+08
4.487716e+00 3.252789e+08
4.562530e+00 3.171045e+08
4.638591e+00 3.091179e+08
4.715920e+00 3.013150e+08
4.794538e+00 2.936359e+08
4.874467e+00 2.862247e+08
4.955728e+00 2.789062e+08
5.038344e+00 2.717267e+08
5.122337e+00 2.647291e+08
5.207731e+00 2.579910e+08
5.294548e+00 2.512970e+08
5.382812e+00 2.447698e+08
5.472548e+00 2.384242e+08
5.563780e+00 2.322661e+08
5.656532e+00 2.262230e+08
5.750831e+00 2.202911e+08
5.846702e+00 2.144792e+08
5.944171e+00 2.088479e+08
6.043265e+00 2.033261e+08
6.144012e+00 1.979415e+08
6.246437e+00 1.926361e+08
6.350570e+00 1.874599e+08
6.456439e+00 1.824347e+08
6.564073e+00 1.776312e+08
6.673502e+00 1.728751e+08
6.784754e+00 1.682406e+08
6.897862e+00 1.636795e+08
7.012854e+00 1.592181e+08
7.129764e+00 1.548729e+08
7.248623e+00 1.506371e+08
7.369464e+00 1.464842e+08
7.492318e+00 1.424501e+08
7.617221e+00 1.384979e+08
7.744207e+00 1.346671e+08
7.873309e+00 1.308992e+08
8.004563e+00 1.271885e+08
8.138006e+00 1.236136e+08
8.273673e+00 1.201669e+08
8.411601e+00 1.168231e+08
8.551830e+00 1.134740e+08
8.694395e+00 1.102881e+08
8.839338e+00 1.071371e+08
8.986697e+00 1.040092e+08
9.136512e+00 1.010720e+08
9.288825e+00 9.815031e+07
9.443677e+00 9.529119e+07
9.601111e+00 9.251630e+07
9.761169e+00 8.982286e+07
9.923896e+00 8.717744e+07
1.008933e+01 8.457379e+07
1.025753e+01 8.205480e+07
1.042853e+01 7.957477e+07
1.060239e+01 7.719267e+07
1.077914e+01 7.485896e+07
1.095883e+01 7.256029e+07
1.114153e+01 7.030732e+07
1.132726e+01 6.816828e+07
1.151610e+01 6.605987e+07
1.170808e+01 6.402675e+07
1.190326e+01 6.204763e+07
1.210170e+01 6.009794e+07
1.230345e+01 5.819753e+07
1.250855e+01 5.630801e+07
1.271708e+01 5.450284e+07
1.292909e+01 5.269189e+07
1.314462e+01 5.097558e+07
1.336375e+01 4.930508e+07
1.358654e+01 4.767790e+07
1.381304e+01 4.610575e+07
1.404331e+01 4.453871e+07
1.427743e+01 4.307723e+07
1.451544e+01 4.161729e+07
1.475743e+01 4.019603e+07
1.500344e+01 3.885240e+07
1.525356e+01 3.753107e+07
1.550785e+01 3.621915e+07
1.576638e+01 3.495860e+07
1.602922e+01 3.376192e+07
1.629644e+01 3.260052e+07
1.656811e+01 3.144438e+07
1.684432e+01 3.032927e+07
1.712513e+01 2.924538e+07
1.741061e+01 2.818601e+07
1.770086e+01 2.717131e+07
1.799595e+01 2.619749e+07
1.829596e+01 2.521733e+07
1.860097e+01 2.428980e+07
1.891106e+01 2.338885e+07
1.922632e+01 2.251104e+07
1.954684e+01 2.165043e+07
1.987270e+01 2.083682e+07
2.020400e+01 2.003696e+07
2.054081e+01 1.927753e+07
2.088324e+01 1.853846e+07
2.123138e+01 1.780875e+07
2.158533e+01 1.712831e+07
2.194517e+01 1.645216e+07
2.231102e+01 1.581560e+07
2.268296e+01 1.519548e+07
2.306110e+01 1.460193e+07
2.344555e+01 1.401174e+07
2.383641e+01 1.343194e+07
2.423378e+01 1.287391e+07
2.463777e+01 1.235223e+07
2.504851e+01 1.184630e+07
2.546608e+01 1.135276e+07
2.589062e+01 1.087419e+07
2.632224e+01 1.041236e+07
2.676105e+01 9.957193e+06
2.720718e+01 9.520348e+06
2.766075e+01 9.107797e+06
2.812188e+01 8.703355e+06
2.859069e+01 8.325644e+06
2.906732e+01 7.961569e+06
2.955189e+01 7.601585e+06
3.004455e+01 7.259012e+06
3.054541e+01 6.921520e+06
3.105463e+01 6.596196e+06
3.157234e+01 6.285491e+06
3.209867e+01 5.988993e+06
3.263378e+01 5.700369e+06
3.317781e+01 5.431440e+06
3.373092e+01 5.171980e+06
3.429324e+01 4.921162e+06
3.486493e+01 4.684940e+06
3.544616e+01 4.450745e+06
3.603708e+01 4.232120e+06
3.663784e+01 4.020537e+06
3.724862e+01 3.817340e+06
3.786959e+01 3.621418e+06
3.850090e+01 3.440445e+06
3.914275e+01 3.264581e+06
3.979529e+01 3.093570e+06
4.045871e+01 2.928044e+06
4.113318e+01 2.770548e+06
4.181891e+01 2.625240e+06
4.251606e+01 2.484476e+06
4.322484e+01 2.352567e+06
4.394543e+01 2.227597e+06
4.467804e+01 2.109152e+06
4.542286e+01 1.994934e+06
4.618009e+01 1.886997e+06
4.694995e+01 1.786423e+06
4.773264e+01 1.690560e+06
4.852839e+01 1.600227e+06
4.933739e+01 1.513812e+06
5.015989e+01 1.432861e+06
5.099609e+01 1.355669e+06
5.184624e+01 1.283987e+06
5.271056e+01 1.214703e+06
5.358928e+01 1.149582e+06
5.448266e+01 1.086735e+06
5.539093e+01 1.027973e+06
5.631434e+01 9.724255e+05
5.725315e+01 9.197228e+05
5.820760e+01 8.694467e+05
5.917797e+01 8.229274e+05
6.016451e+01 7.783924e+05
6.116750e+01 7.362652e+05
6.218721e+01 6.964783e+05
6.322392e+01 6.587211e+05
6.427792e+01 6.227532e+05
6.534948e+01 5.892342e+05
6.643891e+01 5.569594e+05
6.754650e+01 5.268235e+05
6.867256e+01 4.983254e+05
6.981738e+01 4.716106e+05
7.098129e+01 4.462454e+05
7.216461e+01 4.219979e+05
7.336765e+01 3.992225e+05
7.459075e+01 3.775992e+05
7.583423e+01 3.570205e+05
7.709845e+01 3.376681e+05
7.838375e+01 3.190521e+05
7.969047e+01 3.017155e+05
8.101897e+01 2.853481e+05
8.236962e+01 2.698688e+05
8.374279e+01 2.551412e+05
8.513885e+01 2.412229e+05
8.655818e+01 2.282251e+05
8.800117e+01 2.158800e+05
8.946822e+01 2.042323e+05
9.095973e+01 1.933784e+05
9.247610e+01 1.829676e+05
9.401775e+01 1.730800e+05
9.558510e+01 1.636358e+05
9.717858e+01 1.546839e+05
9.879863e+01 1.463454e+05
1.004457e+02 1.384044e+05
1.021202e+02 1.309015e+05
1.038226e+02 1.237772e+05
1.055534e+02 1.171242e+05
1.073131e+02 1.107875e+05
1.091021e+02 1.048393e+05
1.109209e+02 9.921808e+04
1.127700e+02 9.383576e+04
1.146500e+02 8.875020e+04
1.165613e+02 8.396254e+04
1.185045e+02 7.943018e+04
1.204800e+02 7.509327e+04
1.224885e+02 7.105729e+04
1.245305e+02 6.720178e+04
1.266066e+02 6.352232e+04
1.287172e+02 6.005984e+04
1.308630e+02 5.685073e+04
1.330446e+02 5.378833e+04
1.352626e+02 5.087305e+04
1.375175e+02 4.809525e+04
1.398100e+02 4.548694e+04
1.421408e+02 4.301985e+04
1.445104e+02 4.068851e+04
1.469195e+02 3.848530e+04
1.493687e+02 3.637448e+04
1.518588e+02 3.441953e+04
1.543904e+02 3.257194e+04
1.569642e+02 3.080160e+04
1.595810e+02 2.913422e+04
1.622413e+02 2.754527e+04
1.649460e+02 2.603537e+04
1.676958e+02 2.461207e+04
1.704914e+02 2.329441e+04
1.733336e+02 2.204612e+04
1.762232e+02 2.085347e+04
1.791610e+02 1.972744e+04
1.821478e+02 1.866058e+04
1.851843e+02 1.765249e+04
1.882715e+02 1.671083e+04
1.914101e+02 1.579247e+04
1.946011e+02 1.493036e+04
1.978453e+02 1.411907e+04
2.011435e+02 1.334754e+04
2.044967e+02 1.262379e+04
2.079058e+02 1.193839e+04
2.113718e+02 1.129441e+04
2.148955e+02 1.067684e+04
2.184780e+02 1.009201e+04
2.221202e+02 9.544843e+03
2.258231e+02 9.023670e+03
2.295878e+02 8.533882e+03
2.334152e+02 8.068467e+03
2.373064e+02 7.640070e+03
2.412625e+02 7.230179e+03
2.452846e+02 6.836316e+03
2.493736e+02 6.461471e+03
2.535309e+02 6.108388e+03
2.577575e+02 5.778588e+03
2.620545e+02 5.466285e+03
2.664231e+02 5.173136e+03
2.708646e+02 4.893394e+03
2.753802e+02 4.627910e+03
2.799710e+02 4.379468e+03
2.846383e+02 4.144660e+03
2.893835e+02 3.921055e+03
2.942077e+02 3.708408e+03
2.991124e+02 3.504144e+03
3.040988e+02 3.315984e+03
3.091684e+02 3.134653e+03
3.143225e+02 2.963383e+03
3.195625e+02 2.801915e+03
3.248899e+02 2.649620e+03
3.303060e+02 2.505224e+03
3.358125e+02 2.369157e+03
3.414108e+02 2.240016e+03
3.471024e+02 2.119007e+03
3.528888e+02 2.002748e+03
3.587718e+02 1.894113e+03
3.647528e+02 1.791450e+03
3.708335e+02 1.694492e+03
3.770156e+02 1.602564e+03
3.833007e+02 1.515589e+03
3.896907e+02 1.432546e+03
3.961871e+02 1.354245e+03
4.027919e+02 1.280631e+03
4.095068e+02 1.211337e+03
4.163336e+02 1.145764e+03
4.232742e+02 1.083585e+03
4.303305e+02 1.025475e+03
4.375044e+02 9.698731e+02
4.447980e+02 9.166929e+02
4.522131e+02 8.670091e+02
4.597519e+02 8.201738e+02
4.674163e+02 7.754853e+02
4.752085e+02 7.334126e+02
4.831306e+02 6.942314e+02
4.911848e+02 6.567993e+02
4.993733e+02 6.215238e+02
5.076982e+02 5.877619e+02
5.161619e+02 5.555142e+02
5.247668e+02 5.249442e+02
5.335151e+02 4.962606e+02
5.424092e+02 4.694701e+02
5.514516e+02 4.442456e+02
5.606447e+02 4.203659e+02
5.699911e+02 3.975564e+02
