# Energy(MeV) Fluence_Sferica(4Pi)
2.209850e+01 1.763306e+08
2.238016e+01 1.716585e+08
2.266542e+01 1.670857e+08
2.295430e+01 1.626106e+08
2.324688e+01 1.582318e+08
2.354318e+01 1.539475e+08
2.384325e+01 1.497562e+08
2.414715e+01 1.456563e+08
2.445493e+01 1.416464e+08
2.476663e+01 1.377249e+08
2.508230e+01 1.338904e+08
2.540199e+01 1.301413e+08
2.572576e+01 1.264762e+08
2.605366e+01 1.228937e+08
2.638573e+01 1.193924e+08
2.672204e+01 1.159708e+08
2.706263e+01 1.126277e+08
2.740757e+01 1.093617e+08
2.775690e+01 1.061714e+08
2.811069e+01 1.030554e+08
2.846898e+01 1.000126e+08
2.883184e+01 9.704163e+07
2.919932e+01 9.414118e+07
2.957149e+01 9.131002e+07
2.994841e+01 8.854693e+07
3.033012e+01 8.585067e+07
3.071671e+01 8.322005e+07
3.110821e+01 8.065386e+07
3.150471e+01 7.815095e+07
3.190627e+01 7.571015e+07
3.231294e+01 7.333031e+07
3.272479e+01 7.101031e+07
3.314190e+01 6.874902e+07
3.356432e+01 6.654536e+07
3.399212e+01 6.439823e+07
3.442538e+01 6.230656e+07
3.486416e+01 6.026929e+07
3.530853e+01 5.828538e+07
3.575857e+01 5.635379e+07
3.621434e+01 5.447350e+07
3.667592e+01 5.264351e+07
3.714338e+01 5.086283e+07
3.761681e+01 4.913047e+07
3.809626e+01 4.744547e+07
3.858183e+01 4.580687e+07
3.907359e+01 4.421373e+07
3.957161e+01 4.266513e+07
4.007598e+01 4.116014e+07
4.058679e+01 3.969785e+07
4.110410e+01 3.827738e+07
4.162800e+01 3.689784e+07
4.215858e+01 3.555836e+07
4.269593e+01 3.425809e+07
4.324012e+01 3.299617e+07
4.379126e+01 3.177177e+07
4.434941e+01 3.058406e+07
4.491468e+01 2.943224e+07
4.548715e+01 2.831550e+07
4.606692e+01 2.723305e+07
4.665408e+01 2.618410e+07
4.724873e+01 2.516790e+07
4.785095e+01 2.418368e+07
4.846085e+01 2.323070e+07
4.907852e+01 2.230821e+07
4.970407e+01 2.141550e+07
5.033759e+01 2.055185e+07
5.097918e+01 1.971655e+07
5.162895e+01 1.890892e+07
5.228701e+01 1.812825e+07
5.295345e+01 1.737389e+07
5.362838e+01 1.664517e+07
5.431192e+01 1.594144e+07
5.500417e+01 1.526205e+07
5.570524e+01 1.460637e+07
5.641525e+01 1.397378e+07
5.713431e+01 1.336367e+07
5.786253e+01 1.277543e+07
5.860004e+01 1.220848e+07
5.934694e+01 1.166230e+07
6.010337e+01 1.113912e+07
6.086943e+01 1.063941e+07
6.164526e+01 1.016212e+07
6.243098e+01 9.706236e+06
6.322671e+01 9.270806e+06
6.403259e+01 8.854910e+06
6.484874e+01 8.457671e+06
6.567529e+01 8.078253e+06
6.651237e+01 7.715856e+06
6.736013e+01 7.369716e+06
6.821869e+01 7.039104e+06
