# Energy(MeV) Fluence_16th Fluence_84th
3.960522e+00 7.806736e+07 1.321338e+08
4.093900e+00 7.144694e+07 1.207702e+08
4.231769e+00 6.538008e+07 1.108312e+08
4.374280e+00 5.974580e+07 1.012263e+08
4.521592e+00 5.466915e+07 9.257476e+07
4.673864e+00 5.009763e+07 8.464790e+07
4.831264e+00 4.576550e+07 7.740564e+07
4.993965e+00 4.193734e+07 7.074536e+07
5.162145e+00 3.839148e+07 6.464855e+07
5.335989e+00 3.521032e+07 5.911927e+07
5.515687e+00 3.218503e+07 5.408528e+07
5.701437e+00 2.943548e+07 4.953201e+07
5.893443e+00 2.693720e+07 4.535981e+07
6.091914e+00 2.463858e+07 4.148470e+07
6.297070e+00 2.254211e+07 3.803145e+07
6.509134e+00 2.058741e+07 3.474586e+07
6.728340e+00 1.879625e+07 3.183368e+07
6.954928e+00 1.714724e+07 2.910427e+07
7.189147e+00 1.565628e+07 2.665915e+07
7.431253e+00 1.431643e+07 2.441634e+07
7.681513e+00 1.309117e+07 2.229663e+07
7.940201e+00 1.197068e+07 2.041625e+07
8.207601e+00 1.095441e+07 1.867823e+07
8.484005e+00 1.003500e+07 1.710126e+07
8.769719e+00 9.170579e+06 1.564227e+07
9.065053e+00 8.375511e+06 1.431429e+07
9.370334e+00 7.661282e+06 1.309406e+07
9.685896e+00 7.016494e+06 1.197621e+07
1.001208e+01 6.409864e+06 1.095818e+07
1.034926e+01 5.863687e+06 1.001414e+07
1.069779e+01 5.355877e+06 9.159470e+06
1.105805e+01 4.895726e+06 8.382053e+06
1.143045e+01 4.475779e+06 7.672357e+06
1.181539e+01 4.091768e+06 7.017577e+06
1.221329e+01 3.720292e+06 6.422394e+06
1.262460e+01 3.410436e+06 5.874548e+06
1.304975e+01 3.112255e+06 5.381196e+06
1.348922e+01 2.848312e+06 4.921228e+06
1.394350e+01 2.605922e+06 4.503490e+06
1.441307e+01 2.390705e+06 4.120155e+06
1.489845e+01 2.183099e+06 3.768566e+06
1.540018e+01 1.997793e+06 3.449112e+06
1.591881e+01 1.828176e+06 3.154179e+06
1.645490e+01 1.672620e+06 2.889885e+06
1.700905e+01 1.529435e+06 2.641641e+06
1.758185e+01 1.399975e+06 2.415001e+06
1.817395e+01 1.281699e+06 2.209491e+06
1.878599e+01 1.173324e+06 2.021049e+06
1.941864e+01 1.073182e+06 1.851048e+06
2.007260e+01 9.799189e+05 1.694095e+06
2.074857e+01 8.955743e+05 1.550618e+06
2.144732e+01 8.175664e+05 1.419234e+06
2.216959e+01 7.466915e+05 1.296830e+06
2.291619e+01 6.835391e+05 1.184632e+06
2.368793e+01 6.243123e+05 1.084827e+06
2.448566e+01 5.709673e+05 9.915206e+05
