# Energy(MeV) Fluence_Total
3.559807e-01 6.277170e+10
3.595272e-01 6.192761e+10
3.631090e-01 6.112325e+10
3.667266e-01 6.031573e+10
3.703802e-01 5.948688e+10
3.740702e-01 5.870705e+10
3.777969e-01 5.794048e+10
3.815608e-01 5.716967e+10
3.853622e-01 5.640891e+10
3.892014e-01 5.564849e+10
3.930789e-01 5.492828e+10
3.969950e-01 5.421053e+10
4.009502e-01 5.349991e+10
4.049447e-01 5.280151e+10
4.089791e-01 5.213548e+10
4.130536e-01 5.145873e+10
4.171687e-01 5.079436e+10
4.213249e-01 5.013472e+10
4.255224e-01 4.946145e+10
4.297618e-01 4.879375e+10
4.340433e-01 4.815499e+10
4.383676e-01 4.750903e+10
4.427349e-01 4.689770e+10
4.471458e-01 4.630968e+10
4.516005e-01 4.568630e+10
4.560997e-01 4.506719e+10
4.606437e-01 4.443151e+10
4.652329e-01 4.381206e+10
4.698679e-01 4.323486e+10
4.745491e-01 4.265336e+10
4.792769e-01 4.209143e+10
4.840518e-01 4.152491e+10
4.888742e-01 4.097769e+10
4.937447e-01 4.044783e+10
4.986638e-01 3.989796e+10
5.036318e-01 3.934146e+10
5.086493e-01 3.882217e+10
5.137168e-01 3.830931e+10
5.188349e-01 3.780864e+10
5.240038e-01 3.731294e+10
5.292243e-01 3.683065e+10
5.344968e-01 3.633059e+10
5.398219e-01 3.584025e+10
5.452000e-01 3.534403e+10
5.506316e-01 3.488203e+10
5.561174e-01 3.441061e+10
5.616578e-01 3.395795e+10
5.672535e-01 3.350235e+10
5.729048e-01 3.303540e+10
5.786125e-01 3.258556e+10
5.843771e-01 3.212701e+10
5.901990e-01 3.170272e+10
5.960790e-01 3.127690e+10
6.020176e-01 3.085795e+10
6.080153e-01 3.045221e+10
6.140728e-01 3.005335e+10
6.201906e-01 2.966559e+10
6.263694e-01 2.926561e+10
6.326097e-01 2.887643e+10
6.389122e-01 2.848042e+10
6.452775e-01 2.808759e+10
6.517062e-01 2.770555e+10
6.581990e-01 2.731472e+10
6.647564e-01 2.696525e+10
6.713792e-01 2.659150e+10
6.780679e-01 2.622295e+10
6.848233e-01 2.586474e+10
6.916460e-01 2.550968e+10
6.985367e-01 2.516317e+10
7.054960e-01 2.481618e+10
7.125246e-01 2.447469e+10
7.196233e-01 2.413998e+10
7.267927e-01 2.381479e+10
7.340335e-01 2.348924e+10
7.413465e-01 2.316922e+10
7.487323e-01 2.285145e+10
7.561917e-01 2.254585e+10
7.637254e-01 2.223186e+10
7.713341e-01 2.193369e+10
7.790187e-01 2.163158e+10
7.867798e-01 2.133266e+10
7.946183e-01 2.104607e+10
8.025348e-01 2.076120e+10
8.105303e-01 2.047988e+10
8.186053e-01 2.019882e+10
8.267608e-01 1.992607e+10
8.349976e-01 1.964262e+10
8.433165e-01 1.937078e+10
8.517182e-01 1.910171e+10
8.602036e-01 1.885224e+10
8.687735e-01 1.860662e+10
8.774289e-01 1.835781e+10
8.861704e-01 1.810827e+10
8.949991e-01 1.786137e+10
9.039157e-01 1.761823e+10
9.129211e-01 1.737019e+10
9.220163e-01 1.712299e+10
9.312021e-01 1.688441e+10
9.404793e-01 1.664225e+10
9.498491e-01 1.640554e+10
9.593121e-01 1.617556e+10
9.688695e-01 1.596382e+10
9.785220e-01 1.573347e+10
9.882707e-01 1.550869e+10
9.981166e-01 1.529533e+10
1.008061e+00 1.508120e+10
1.018104e+00 1.486619e+10
1.028247e+00 1.465353e+10
1.038491e+00 1.444346e+10
1.048837e+00 1.424847e+10
1.059286e+00 1.404930e+10
1.069839e+00 1.385281e+10
1.080498e+00 1.365594e+10
1.091263e+00 1.347460e+10
1.102135e+00 1.327708e+10
1.113115e+00 1.308996e+10
1.124204e+00 1.290837e+10
1.135405e+00 1.272969e+10
1.146716e+00 1.255897e+10
1.158141e+00 1.238762e+10
1.169679e+00 1.220371e+10
1.181332e+00 1.203063e+10
1.193101e+00 1.186756e+10
1.204988e+00 1.169899e+10
1.216993e+00 1.153895e+10
1.229117e+00 1.137809e+10
1.241363e+00 1.121338e+10
1.253730e+00 1.104890e+10
1.266220e+00 1.088758e+10
1.278835e+00 1.074422e+10
1.291576e+00 1.059025e+10
1.304444e+00 1.043324e+10
1.317439e+00 1.028931e+10
1.330565e+00 1.014831e+10
1.343821e+00 1.000362e+10
1.357209e+00 9.856619e+09
1.370730e+00 9.715946e+09
1.384386e+00 9.578557e+09
1.398179e+00 9.440726e+09
1.412108e+00 9.298065e+09
1.426177e+00 9.161944e+09
1.440385e+00 9.030839e+09
1.454735e+00 8.898393e+09
1.469229e+00 8.770004e+09
1.483866e+00 8.639309e+09
1.498649e+00 8.515479e+09
1.513580e+00 8.395440e+09
1.528659e+00 8.275401e+09
1.543889e+00 8.157454e+09
1.559270e+00 8.038806e+09
1.574805e+00 7.919749e+09
1.590494e+00 7.808037e+09
1.606340e+00 7.694097e+09
1.622343e+00 7.579102e+09
1.638506e+00 7.467062e+09
1.654830e+00 7.354022e+09
1.671317e+00 7.245755e+09
1.687967e+00 7.143507e+09
1.704784e+00 7.032539e+09
1.721768e+00 6.923641e+09
1.738922e+00 6.817933e+09
1.756246e+00 6.714008e+09
1.773743e+00 6.611431e+09
1.791414e+00 6.513721e+09
1.809262e+00 6.413969e+09
1.827287e+00 6.312122e+09
1.845492e+00 6.218233e+09
1.863878e+00 6.120739e+09
1.882447e+00 6.033239e+09
1.901201e+00 5.946630e+09
1.920142e+00 5.860050e+09
1.939272e+00 5.775786e+09
1.958592e+00 5.687882e+09
1.978105e+00 5.597175e+09
1.997813e+00 5.508405e+09
2.017716e+00 5.421836e+09
2.037818e+00 5.338910e+09
2.058120e+00 5.257464e+09
2.078625e+00 5.174009e+09
2.099333e+00 5.092264e+09
2.120248e+00 5.008854e+09
2.141372e+00 4.929537e+09
2.162706e+00 4.852625e+09
2.184252e+00 4.777331e+09
2.206013e+00 4.701328e+09
2.227991e+00 4.626811e+09
2.250188e+00 4.558312e+09
2.272606e+00 4.488247e+09
2.295247e+00 4.418472e+09
2.318114e+00 4.348342e+09
2.341209e+00 4.286695e+09
2.364533e+00 4.219384e+09
2.388091e+00 4.150179e+09
2.411882e+00 4.087467e+09
2.435911e+00 4.027506e+09
2.460179e+00 3.960895e+09
2.484690e+00 3.895094e+09
2.509444e+00 3.837318e+09
2.534445e+00 3.777049e+09
2.559694e+00 3.718899e+09
2.585196e+00 3.661750e+09
2.610951e+00 3.602320e+09
2.636964e+00 3.544667e+09
2.663235e+00 3.491150e+09
2.689768e+00 3.439441e+09
2.716565e+00 3.380211e+09
2.743630e+00 3.322816e+09
2.770964e+00 3.268449e+09
2.798570e+00 3.213209e+09
2.826451e+00 3.164681e+09
2.854610e+00 3.110308e+09
2.883050e+00 3.057789e+09
2.911773e+00 3.008014e+09
2.940782e+00 2.959343e+09
2.970080e+00 2.910178e+09
2.999670e+00 2.863101e+09
3.029555e+00 2.815096e+09
3.059737e+00 2.767857e+09
3.090221e+00 2.725394e+09
3.121008e+00 2.681635e+09
3.152101e+00 2.637400e+09
3.183505e+00 2.594512e+09
3.215221e+00 2.549970e+09
3.247253e+00 2.507299e+09
3.279605e+00 2.464624e+09
3.312279e+00 2.421218e+09
3.345278e+00 2.378850e+09
3.378606e+00 2.339508e+09
3.412266e+00 2.297303e+09
3.446261e+00 2.261263e+09
3.480595e+00 2.220874e+09
3.515271e+00 2.183590e+09
3.550293e+00 2.148756e+09
3.585664e+00 2.110248e+09
3.621386e+00 2.073984e+09
3.657465e+00 2.038018e+09
3.693903e+00 2.002851e+09
3.730705e+00 1.968545e+09
3.767873e+00 1.935807e+09
3.805411e+00 1.899222e+09
3.843323e+00 1.863922e+09
3.881613e+00 1.832135e+09
3.920284e+00 1.801742e+09
3.959341e+00 1.772869e+09
3.998787e+00 1.742187e+09
4.038625e+00 1.710724e+09
4.078861e+00 1.680954e+09
4.119497e+00 1.652790e+09
4.160539e+00 1.622592e+09
4.201989e+00 1.597071e+09
4.243852e+00 1.569814e+09
4.286132e+00 1.542077e+09
4.328834e+00 1.514824e+09
4.371961e+00 1.488525e+09
4.415517e+00 1.460030e+09
4.459508e+00 1.434438e+09
4.503936e+00 1.406905e+09
4.548808e+00 1.379039e+09
4.594126e+00 1.354214e+09
4.639896e+00 1.332550e+09
4.686122e+00 1.309918e+09
4.732808e+00 1.288429e+09
4.779960e+00 1.264788e+09
4.827581e+00 1.242566e+09
4.875677e+00 1.221466e+09
4.924252e+00 1.198839e+09
4.973311e+00 1.175146e+09
5.022858e+00 1.153082e+09
5.072900e+00 1.132166e+09
5.123439e+00 1.110095e+09
5.174483e+00 1.088374e+09
5.226035e+00 1.067708e+09
5.278100e+00 1.046329e+09
5.330684e+00 1.025359e+09
5.383792e+00 1.006055e+09
5.437429e+00 9.882343e+08
5.491601e+00 9.682512e+08
5.546312e+00 9.517342e+08
5.601568e+00 9.352130e+08
5.657375e+00 9.198411e+08
5.713738e+00 9.026988e+08
5.770662e+00 8.856402e+08
5.828153e+00 8.685426e+08
5.886217e+00 8.514729e+08
5.944860e+00 8.352880e+08
6.004087e+00 8.191118e+08
6.063904e+00 8.016122e+08
6.124317e+00 7.857981e+08
6.185331e+00 7.711200e+08
6.246954e+00 7.579248e+08
6.309191e+00 7.451111e+08
6.372047e+00 7.329209e+08
6.435530e+00 7.195594e+08
6.499645e+00 7.075720e+08
6.564399e+00 6.949476e+08
6.629798e+00 6.823545e+08
6.695849e+00 6.700964e+08
6.762558e+00 6.578217e+08
6.829931e+00 6.454402e+08
6.897976e+00 6.335977e+08
6.966698e+00 6.225221e+08
7.036105e+00 6.115658e+08
7.106204e+00 5.988544e+08
7.177001e+00 5.870478e+08
7.248503e+00 5.755848e+08
7.320718e+00 5.639598e+08
7.393652e+00 5.541372e+08
7.467313e+00 5.430960e+08
7.541707e+00 5.316790e+08
7.616843e+00 5.204655e+08
7.692728e+00 5.085266e+08
7.769368e+00 4.982461e+08
7.846772e+00 4.881685e+08
7.924947e+00 4.778729e+08
8.003901e+00 4.693830e+08
8.083641e+00 4.612662e+08
8.164176e+00 4.532780e+08
8.245513e+00 4.446499e+08
8.327661e+00 4.345268e+08
8.410627e+00 4.251969e+08
8.494420e+00 4.165487e+08
8.579047e+00 4.073228e+08
8.664517e+00 3.984573e+08
8.750839e+00 3.898565e+08
8.838021e+00 3.821559e+08
8.926072e+00 3.753830e+08
9.015000e+00 3.687199e+08
9.104813e+00 3.621649e+08
9.195522e+00 3.557165e+08
9.287134e+00 3.489393e+08
9.379659e+00 3.426983e+08
9.473106e+00 3.367500e+08
9.567484e+00 3.308015e+08
9.662802e+00 3.238009e+08
9.759069e+00 3.179325e+08
9.856296e+00 3.120949e+08
9.954491e+00 3.063532e+08
1.005366e+01 2.998882e+08
1.015383e+01 2.936319e+08
1.025499e+01 2.881356e+08
1.035715e+01 2.820978e+08
1.046034e+01 2.759926e+08
1.056455e+01 2.706137e+08
1.066980e+01 2.651976e+08
1.077610e+01 2.593107e+08
1.088346e+01 2.536304e+08
1.099189e+01 2.483234e+08
1.110140e+01 2.437895e+08
1.121200e+01 2.392582e+08
1.132370e+01 2.347923e+08
1.143652e+01 2.303083e+08
1.155046e+01 2.256014e+08
1.166553e+01 2.209774e+08
1.178175e+01 2.164350e+08
1.189913e+01 2.119731e+08
1.201767e+01 2.071484e+08
1.213740e+01 2.022888e+08
1.225832e+01 1.979253e+08
1.238045e+01 1.941800e+08
1.250379e+01 1.900454e+08
1.262836e+01 1.860338e+08
1.275418e+01 1.823148e+08
1.288124e+01 1.783872e+08
1.300958e+01 1.745302e+08
1.313919e+01 1.707430e+08
1.327009e+01 1.670244e+08
1.340229e+01 1.633736e+08
1.353582e+01 1.598745e+08
1.367067e+01 1.566839e+08
1.380687e+01 1.534633e+08
1.394442e+01 1.500656e+08
1.408334e+01 1.466487e+08
1.422365e+01 1.431860e+08
1.436536e+01 1.395839e+08
1.450848e+01 1.360725e+08
1.465302e+01 1.326494e+08
1.479900e+01 1.293125e+08
1.494644e+01 1.260608e+08
1.509535e+01 1.231828e+08
1.524574e+01 1.202684e+08
1.539763e+01 1.171191e+08
1.555103e+01 1.138679e+08
1.570596e+01 1.108642e+08
1.586243e+01 1.082177e+08
1.602047e+01 1.052422e+08
1.618007e+01 1.023278e+08
1.634127e+01 9.954020e+07
1.650407e+01 9.687930e+07
1.666850e+01 9.428957e+07
1.683456e+01 9.178723e+07
1.700228e+01 8.958340e+07
1.717167e+01 8.709559e+07
1.734275e+01 8.468733e+07
1.751553e+01 8.238391e+07
1.769003e+01 8.014327e+07
1.786627e+01 7.800053e+07
1.804426e+01 7.592585e+07
1.822403e+01 7.391223e+07
1.840560e+01 7.188814e+07
1.858896e+01 6.991960e+07
1.877416e+01 6.800509e+07
1.896120e+01 6.614310e+07
1.915011e+01 6.450047e+07
1.934089e+01 6.292092e+07
1.953358e+01 6.125457e+07
1.972819e+01 5.963235e+07
1.992473e+01 5.805307e+07
2.012324e+01 5.651562e+07
2.032372e+01 5.504683e+07
2.052620e+01 5.366673e+07
2.073070e+01 5.241033e+07
2.093723e+01 5.118230e+07
2.114582e+01 4.988642e+07
2.135649e+01 4.859253e+07
2.156926e+01 4.733217e+07
2.178415e+01 4.610449e+07
2.200118e+01 4.490864e+07
2.222037e+01 4.374949e+07
2.244174e+01 4.262733e+07
2.266532e+01 4.153393e+07
2.289113e+01 4.046857e+07
2.311919e+01 3.940619e+07
2.334952e+01 3.836496e+07
2.358214e+01 3.735125e+07
2.381708e+01 3.636436e+07
2.405437e+01 3.540356e+07
2.429401e+01 3.446817e+07
2.453605e+01 3.354769e+07
2.478049e+01 3.264814e+07
2.502737e+01 3.177271e+07
2.527671e+01 3.092077e+07
2.552854e+01 3.009168e+07
2.578287e+01 2.928482e+07
2.603974e+01 2.849961e+07
2.629916e+01 2.773545e+07
2.656117e+01 2.699179e+07
2.682580e+01 2.626807e+07
2.709305e+01 2.559897e+07
2.736297e+01 2.495890e+07
2.763558e+01 2.433483e+07
2.791091e+01 2.372638e+07
2.818897e+01 2.313315e+07
2.846981e+01 2.255476e+07
2.875345e+01 2.197145e+07
2.903991e+01 2.139377e+07
2.932923e+01 2.083127e+07
2.962143e+01 2.028354e+07
2.991654e+01 1.975021e+07
3.021458e+01 1.923090e+07
3.051560e+01 1.872523e+07
3.081962e+01 1.824222e+07
3.112667e+01 1.777401e+07
3.143677e+01 1.731780e+07
3.174997e+01 1.687329e+07
3.206628e+01 1.644018e+07
3.238575e+01 1.602440e+07
3.270840e+01 1.562180e+07
3.303426e+01 1.522930e+07
3.336338e+01 1.484665e+07
3.369576e+01 1.447360e+07
3.403147e+01 1.410992e+07
3.437051e+01 1.374184e+07
3.471293e+01 1.337598e+07
3.505877e+01 1.301987e+07
3.540805e+01 1.267526e+07
3.576081e+01 1.233653e+07
3.611708e+01 1.199658e+07
3.647691e+01 1.166602e+07
3.684031e+01 1.134458e+07
3.720734e+01 1.103202e+07
3.757803e+01 1.072809e+07
3.795241e+01 1.043256e+07
3.833052e+01 1.014518e+07
3.871239e+01 9.876755e+06
3.909807e+01 9.617147e+06
3.948759e+01 9.368278e+06
3.988100e+01 9.125843e+06
4.027832e+01 8.889674e+06
4.067960e+01 8.651856e+06
4.108488e+01 8.406780e+06
4.149420e+01 8.168697e+06
4.190759e+01 7.937407e+06
4.232510e+01 7.717837e+06
4.274678e+01 7.515912e+06
4.317265e+01 7.319266e+06
4.360277e+01 7.127760e+06
4.403717e+01 6.937406e+06
4.447590e+01 6.748897e+06
4.491900e+01 6.565508e+06
4.536651e+01 6.387098e+06
4.581848e+01 6.213533e+06
4.627496e+01 6.044680e+06
4.673598e+01 5.881327e+06
4.720160e+01 5.724645e+06
4.767186e+01 5.572113e+06
4.814680e+01 5.425767e+06
4.862647e+01 5.284218e+06
4.911092e+01 5.146334e+06
4.960020e+01 5.012021e+06
5.009435e+01 4.881187e+06
5.059342e+01 4.753742e+06
5.109747e+01 4.618554e+06
5.160654e+01 4.486728e+06
5.212068e+01 4.358677e+06
5.263994e+01 4.234294e+06
5.316438e+01 4.119150e+06
5.369404e+01 4.011850e+06
5.422898e+01 3.907342e+06
5.476924e+01 3.805554e+06
5.531489e+01 3.706414e+06
5.586598e+01 3.609855e+06
5.642256e+01 3.515809e+06
5.698468e+01 3.424210e+06
5.755240e+01 3.334995e+06
5.812578e+01 3.248102e+06
5.870487e+01 3.161295e+06
5.928972e+01 3.076155e+06
5.988041e+01 2.993305e+06
6.047698e+01 2.912684e+06
6.107949e+01 2.834230e+06
6.168801e+01 2.757887e+06
6.230259e+01 2.683597e+06
6.292329e+01 2.611306e+06
6.355018e+01 2.540958e+06
6.418331e+01 2.472504e+06
6.482275e+01 2.403916e+06
6.546856e+01 2.337218e+06
6.612080e+01 2.272368e+06
6.677954e+01 2.209315e+06
6.744485e+01 2.148010e+06
6.811678e+01 2.088403e+06
6.879541e+01 2.030449e+06
6.948080e+01 1.974100e+06
7.017301e+01 1.919313e+06
7.087213e+01 1.866045e+06
7.157820e+01 1.813751e+06
7.229132e+01 1.760425e+06
7.301153e+01 1.708668e+06
7.373893e+01 1.658431e+06
7.447356e+01 1.609672e+06
7.521552e+01 1.562346e+06
7.596487e+01 1.516412e+06
7.672169e+01 1.471827e+06
7.748604e+01 1.432065e+06
7.825801e+01 1.393714e+06
7.903767e+01 1.355627e+06
7.982510e+01 1.316484e+06
8.062038e+01 1.278470e+06
8.142357e+01 1.241381e+06
8.223477e+01 1.205034e+06
8.305405e+01 1.169062e+06
8.388150e+01 1.133109e+06
8.471718e+01 1.098263e+06
8.556119e+01 1.064114e+06
8.641361e+01 1.029705e+06
8.727453e+01 9.978217e+05
8.814402e+01 9.676537e+05
8.902217e+01 9.384019e+05
8.990907e+01 9.100915e+05
9.080481e+01 8.833479e+05
9.170947e+01 8.583349e+05
9.262314e+01 8.340298e+05
9.354592e+01 8.104128e+05
9.447789e+01 7.874642e+05
9.541915e+01 7.651652e+05
9.636978e+01 7.434974e+05
9.732988e+01 7.215155e+05
9.829955e+01 6.986188e+05
9.927888e+01 6.762642e+05
1.002680e+02 6.546280e+05
1.012669e+02 6.336870e+05
1.022758e+02 6.139653e+05
1.032947e+02 5.962861e+05
1.043238e+02 5.791152e+05
1.053632e+02 5.624378e+05
1.064129e+02 5.463079e+05
1.074730e+02 5.307024e+05
1.085438e+02 5.155420e+05
1.096252e+02 5.008142e+05
1.107173e+02 4.865066e+05
1.118204e+02 4.725156e+05
1.129344e+02 4.584236e+05
1.140595e+02 4.447533e+05
1.151959e+02 4.314918e+05
1.163435e+02 4.194141e+05
1.175026e+02 4.071534e+05
1.186733e+02 3.952105e+05
1.198556e+02 3.836177e+05
1.210497e+02 3.721259e+05
1.222556e+02 3.606659e+05
1.234736e+02 3.495579e+05
1.247038e+02 3.387912e+05
1.259462e+02 3.283554e+05
1.272009e+02 3.186881e+05
1.284682e+02 3.090640e+05
1.297481e+02 2.993790e+05
1.310407e+02 2.899944e+05
1.323462e+02 2.814642e+05
1.336648e+02 2.728207e+05
1.349964e+02 2.637534e+05
1.363414e+02 2.556238e+05
1.376997e+02 2.477441e+05
1.390715e+02 2.401067e+05
1.404571e+02 2.327042e+05
1.418564e+02 2.257694e+05
1.432697e+02 2.188032e+05
1.446970e+02 2.119611e+05
1.461386e+02 2.053325e+05
1.475945e+02 1.989689e+05
1.490650e+02 1.931291e+05
1.505501e+02 1.875372e+05
1.520500e+02 1.817436e+05
1.535648e+02 1.761495e+05
1.550947e+02 1.709532e+05
1.566399e+02 1.659341e+05
1.582004e+02 1.610800e+05
1.597765e+02 1.560646e+05
1.613683e+02 1.509949e+05
1.629760e+02 1.460899e+05
1.645997e+02 1.413792e+05
1.662395e+02 1.370078e+05
1.678957e+02 1.326908e+05
1.695684e+02 1.284100e+05
1.712578e+02 1.242670e+05
1.729640e+02 1.202574e+05
1.746872e+02 1.164099e+05
1.764275e+02 1.127841e+05
