# Energy(MeV) Fluence_Total
3.559807e-01 1.569292e+10
3.595272e-01 1.548190e+10
3.631090e-01 1.528081e+10
3.667266e-01 1.507893e+10
3.703802e-01 1.487172e+10
3.740702e-01 1.467676e+10
3.777969e-01 1.448512e+10
3.815608e-01 1.429242e+10
3.853622e-01 1.410223e+10
3.892014e-01 1.391212e+10
3.930789e-01 1.373207e+10
3.969950e-01 1.355263e+10
4.009502e-01 1.337498e+10
4.049447e-01 1.320038e+10
4.089791e-01 1.303387e+10
4.130536e-01 1.286468e+10
4.171687e-01 1.269859e+10
4.213249e-01 1.253368e+10
4.255224e-01 1.236536e+10
4.297618e-01 1.219844e+10
4.340433e-01 1.203875e+10
4.383676e-01 1.187726e+10
4.427349e-01 1.172443e+10
4.471458e-01 1.157742e+10
4.516005e-01 1.142157e+10
4.560997e-01 1.126680e+10
4.606437e-01 1.110788e+10
4.652329e-01 1.095301e+10
4.698679e-01 1.080872e+10
4.745491e-01 1.066334e+10
4.792769e-01 1.052286e+10
4.840518e-01 1.038123e+10
4.888742e-01 1.024442e+10
4.937447e-01 1.011196e+10
4.986638e-01 9.974489e+09
5.036318e-01 9.835366e+09
5.086493e-01 9.705542e+09
5.137168e-01 9.577328e+09
5.188349e-01 9.452160e+09
5.240038e-01 9.328235e+09
5.292243e-01 9.207663e+09
5.344968e-01 9.082647e+09
5.398219e-01 8.960063e+09
5.452000e-01 8.836008e+09
5.506316e-01 8.720509e+09
5.561174e-01 8.602652e+09
5.616578e-01 8.489487e+09
5.672535e-01 8.375587e+09
5.729048e-01 8.258850e+09
5.786125e-01 8.146391e+09
5.843771e-01 8.031754e+09
5.901990e-01 7.925680e+09
5.960790e-01 7.819226e+09
6.020176e-01 7.714488e+09
6.080153e-01 7.613054e+09
6.140728e-01 7.513337e+09
6.201906e-01 7.416399e+09
6.263694e-01 7.316403e+09
6.326097e-01 7.219106e+09
6.389122e-01 7.120104e+09
6.452775e-01 7.021898e+09
6.517062e-01 6.926387e+09
6.581990e-01 6.828679e+09
6.647564e-01 6.741314e+09
6.713792e-01 6.647874e+09
6.780679e-01 6.555739e+09
6.848233e-01 6.466186e+09
6.916460e-01 6.377419e+09
6.985367e-01 6.290792e+09
7.054960e-01 6.204046e+09
7.125246e-01 6.118671e+09
7.196233e-01 6.034996e+09
7.267927e-01 5.953697e+09
7.340335e-01 5.872310e+09
7.413465e-01 5.792305e+09
7.487323e-01 5.712862e+09
7.561917e-01 5.636462e+09
7.637254e-01 5.557966e+09
7.713341e-01 5.483422e+09
7.790187e-01 5.407895e+09
7.867798e-01 5.333164e+09
7.946183e-01 5.261518e+09
8.025348e-01 5.190299e+09
8.105303e-01 5.119969e+09
8.186053e-01 5.049706e+09
8.267608e-01 4.981517e+09
8.349976e-01 4.910655e+09
8.433165e-01 4.842696e+09
8.517182e-01 4.775427e+09
8.602036e-01 4.713061e+09
8.687735e-01 4.651654e+09
8.774289e-01 4.589454e+09
8.861704e-01 4.527068e+09
8.949991e-01 4.465342e+09
9.039157e-01 4.404557e+09
9.129211e-01 4.342548e+09
9.220163e-01 4.280747e+09
9.312021e-01 4.221104e+09
9.404793e-01 4.160563e+09
9.498491e-01 4.101386e+09
9.593121e-01 4.043891e+09
9.688695e-01 3.990955e+09
9.785220e-01 3.933368e+09
9.882707e-01 3.877173e+09
9.981166e-01 3.823834e+09
1.008061e+00 3.770300e+09
1.018104e+00 3.716549e+09
1.028247e+00 3.663381e+09
1.038491e+00 3.610866e+09
1.048837e+00 3.562117e+09
1.059286e+00 3.512324e+09
1.069839e+00 3.463202e+09
1.080498e+00 3.413985e+09
1.091263e+00 3.368650e+09
1.102135e+00 3.319269e+09
1.113115e+00 3.272489e+09
1.124204e+00 3.227092e+09
1.135405e+00 3.182423e+09
1.146716e+00 3.139743e+09
1.158141e+00 3.096904e+09
1.169679e+00 3.050926e+09
1.181332e+00 3.007658e+09
1.193101e+00 2.966889e+09
1.204988e+00 2.924747e+09
1.216993e+00 2.884738e+09
1.229117e+00 2.844522e+09
1.241363e+00 2.803344e+09
1.253730e+00 2.762225e+09
1.266220e+00 2.721895e+09
1.278835e+00 2.686055e+09
1.291576e+00 2.647563e+09
1.304444e+00 2.608309e+09
1.317439e+00 2.572327e+09
1.330565e+00 2.537078e+09
1.343821e+00 2.500904e+09
1.357209e+00 2.464155e+09
1.370730e+00 2.428986e+09
1.384386e+00 2.394639e+09
1.398179e+00 2.360181e+09
1.412108e+00 2.324516e+09
1.426177e+00 2.290486e+09
1.440385e+00 2.257710e+09
1.454735e+00 2.224598e+09
1.469229e+00 2.192501e+09
1.483866e+00 2.159827e+09
1.498649e+00 2.128870e+09
1.513580e+00 2.098860e+09
1.528659e+00 2.068850e+09
1.543889e+00 2.039363e+09
1.559270e+00 2.009701e+09
1.574805e+00 1.979937e+09
1.590494e+00 1.952009e+09
1.606340e+00 1.923524e+09
1.622343e+00 1.894775e+09
1.638506e+00 1.866766e+09
1.654830e+00 1.838505e+09
1.671317e+00 1.811439e+09
1.687967e+00 1.785877e+09
1.704784e+00 1.758135e+09
1.721768e+00 1.730910e+09
1.738922e+00 1.704483e+09
1.756246e+00 1.678502e+09
1.773743e+00 1.652858e+09
1.791414e+00 1.628430e+09
1.809262e+00 1.603492e+09
1.827287e+00 1.578031e+09
1.845492e+00 1.554558e+09
1.863878e+00 1.530185e+09
1.882447e+00 1.508310e+09
1.901201e+00 1.486658e+09
1.920142e+00 1.465012e+09
1.939272e+00 1.443946e+09
1.958592e+00 1.421971e+09
1.978105e+00 1.399294e+09
1.997813e+00 1.377101e+09
2.017716e+00 1.355459e+09
2.037818e+00 1.334728e+09
2.058120e+00 1.314366e+09
2.078625e+00 1.293502e+09
2.099333e+00 1.273066e+09
2.120248e+00 1.252214e+09
2.141372e+00 1.232384e+09
2.162706e+00 1.213156e+09
2.184252e+00 1.194333e+09
2.206013e+00 1.175332e+09
2.227991e+00 1.156703e+09
2.250188e+00 1.139578e+09
2.272606e+00 1.122062e+09
2.295247e+00 1.104618e+09
2.318114e+00 1.087086e+09
2.341209e+00 1.071674e+09
2.364533e+00 1.054846e+09
2.388091e+00 1.037545e+09
2.411882e+00 1.021867e+09
2.435911e+00 1.006877e+09
2.460179e+00 9.902237e+08
2.484690e+00 9.737735e+08
2.509444e+00 9.593295e+08
2.534445e+00 9.442622e+08
2.559694e+00 9.297247e+08
2.585196e+00 9.154376e+08
2.610951e+00 9.005800e+08
2.636964e+00 8.861667e+08
2.663235e+00 8.727875e+08
2.689768e+00 8.598603e+08
2.716565e+00 8.450527e+08
2.743630e+00 8.307040e+08
2.770964e+00 8.171123e+08
2.798570e+00 8.033023e+08
2.826451e+00 7.911701e+08
2.854610e+00 7.775771e+08
2.883050e+00 7.644474e+08
2.911773e+00 7.520034e+08
2.940782e+00 7.398356e+08
2.970080e+00 7.275445e+08
2.999670e+00 7.157752e+08
3.029555e+00 7.037741e+08
3.059737e+00 6.919641e+08
3.090221e+00 6.813486e+08
3.121008e+00 6.704088e+08
3.152101e+00 6.593500e+08
3.183505e+00 6.486279e+08
3.215221e+00 6.374925e+08
3.247253e+00 6.268249e+08
3.279605e+00 6.161560e+08
3.312279e+00 6.053046e+08
3.345278e+00 5.947125e+08
3.378606e+00 5.848770e+08
3.412266e+00 5.743258e+08
3.446261e+00 5.653158e+08
3.480595e+00 5.552186e+08
3.515271e+00 5.458974e+08
3.550293e+00 5.371890e+08
3.585664e+00 5.275620e+08
3.621386e+00 5.184960e+08
3.657465e+00 5.095045e+08
3.693903e+00 5.007128e+08
3.730705e+00 4.921361e+08
3.767873e+00 4.839518e+08
3.805411e+00 4.748055e+08
3.843323e+00 4.659805e+08
3.881613e+00 4.580338e+08
3.920284e+00 4.504355e+08
3.959341e+00 4.432173e+08
3.998787e+00 4.355468e+08
4.038625e+00 4.276811e+08
4.078861e+00 4.202384e+08
4.119497e+00 4.131976e+08
4.160539e+00 4.056481e+08
4.201989e+00 3.992679e+08
4.243852e+00 3.924535e+08
4.286132e+00 3.855193e+08
4.328834e+00 3.787061e+08
4.371961e+00 3.721312e+08
4.415517e+00 3.650075e+08
4.459508e+00 3.586096e+08
4.503936e+00 3.517263e+08
4.548808e+00 3.447598e+08
4.594126e+00 3.385535e+08
4.639896e+00 3.331376e+08
4.686122e+00 3.274794e+08
4.732808e+00 3.221071e+08
4.779960e+00 3.161969e+08
4.827581e+00 3.106414e+08
4.875677e+00 3.053666e+08
4.924252e+00 2.997097e+08
4.973311e+00 2.937864e+08
5.022858e+00 2.882704e+08
5.072900e+00 2.830415e+08
5.123439e+00 2.775238e+08
5.174483e+00 2.720935e+08
5.226035e+00 2.669269e+08
5.278100e+00 2.615822e+08
5.330684e+00 2.563399e+08
5.383792e+00 2.515137e+08
5.437429e+00 2.470586e+08
5.491601e+00 2.420628e+08
5.546312e+00 2.379336e+08
5.601568e+00 2.338033e+08
5.657375e+00 2.299603e+08
5.713738e+00 2.256747e+08
5.770662e+00 2.214100e+08
5.828153e+00 2.171356e+08
5.886217e+00 2.128682e+08
5.944860e+00 2.088220e+08
6.004087e+00 2.047780e+08
6.063904e+00 2.004031e+08
6.124317e+00 1.964495e+08
6.185331e+00 1.927800e+08
6.246954e+00 1.894812e+08
6.309191e+00 1.862778e+08
6.372047e+00 1.832302e+08
6.435530e+00 1.798899e+08
6.499645e+00 1.768930e+08
6.564399e+00 1.737369e+08
6.629798e+00 1.705886e+08
6.695849e+00 1.675241e+08
6.762558e+00 1.644554e+08
6.829931e+00 1.613601e+08
6.897976e+00 1.583994e+08
6.966698e+00 1.556305e+08
7.036105e+00 1.528914e+08
7.106204e+00 1.497136e+08
7.177001e+00 1.467619e+08
7.248503e+00 1.438962e+08
7.320718e+00 1.409899e+08
7.393652e+00 1.385343e+08
7.467313e+00 1.357740e+08
7.541707e+00 1.329197e+08
7.616843e+00 1.301164e+08
7.692728e+00 1.271317e+08
7.769368e+00 1.245615e+08
7.846772e+00 1.220421e+08
7.924947e+00 1.194682e+08
8.003901e+00 1.173458e+08
8.083641e+00 1.153165e+08
8.164176e+00 1.133195e+08
8.245513e+00 1.111625e+08
8.327661e+00 1.086317e+08
8.410627e+00 1.062992e+08
8.494420e+00 1.041372e+08
8.579047e+00 1.018307e+08
8.664517e+00 9.961432e+07
8.750839e+00 9.746413e+07
8.838021e+00 9.553898e+07
8.926072e+00 9.384575e+07
9.015000e+00 9.217998e+07
9.104813e+00 9.054124e+07
9.195522e+00 8.892912e+07
9.287134e+00 8.723483e+07
9.379659e+00 8.567457e+07
9.473106e+00 8.418749e+07
9.567484e+00 8.270037e+07
9.662802e+00 8.095022e+07
9.759069e+00 7.948311e+07
9.856296e+00 7.802372e+07
9.954491e+00 7.658831e+07
1.005366e+01 7.497206e+07
1.015383e+01 7.340799e+07
1.025499e+01 7.203389e+07
1.035715e+01 7.052445e+07
1.046034e+01 6.899814e+07
1.056455e+01 6.765343e+07
1.066980e+01 6.629940e+07
1.077610e+01 6.482768e+07
1.088346e+01 6.340760e+07
1.099189e+01 6.208085e+07
1.110140e+01 6.094737e+07
1.121200e+01 5.981455e+07
1.132370e+01 5.869808e+07
1.143652e+01 5.757709e+07
1.155046e+01 5.640035e+07
1.166553e+01 5.524435e+07
1.178175e+01 5.410876e+07
1.189913e+01 5.299326e+07
1.201767e+01 5.178710e+07
1.213740e+01 5.057219e+07
1.225832e+01 4.948131e+07
1.238045e+01 4.854501e+07
1.250379e+01 4.751135e+07
1.262836e+01 4.650846e+07
1.275418e+01 4.557871e+07
1.288124e+01 4.459679e+07
1.300958e+01 4.363256e+07
1.313919e+01 4.268575e+07
1.327009e+01 4.175611e+07
1.340229e+01 4.084339e+07
1.353582e+01 3.996862e+07
1.367067e+01 3.917097e+07
1.380687e+01 3.836582e+07
1.394442e+01 3.751640e+07
1.408334e+01 3.666217e+07
1.422365e+01 3.579650e+07
1.436536e+01 3.489599e+07
1.450848e+01 3.401813e+07
1.465302e+01 3.316236e+07
1.479900e+01 3.232812e+07
1.494644e+01 3.151519e+07
1.509535e+01 3.079569e+07
1.524574e+01 3.006710e+07
1.539763e+01 2.927977e+07
1.555103e+01 2.846698e+07
1.570596e+01 2.771606e+07
1.586243e+01 2.705443e+07
1.602047e+01 2.631054e+07
1.618007e+01 2.558194e+07
1.634127e+01 2.488505e+07
1.650407e+01 2.421982e+07
1.666850e+01 2.357239e+07
1.683456e+01 2.294681e+07
1.700228e+01 2.239585e+07
1.717167e+01 2.177390e+07
1.734275e+01 2.117183e+07
1.751553e+01 2.059598e+07
1.769003e+01 2.003582e+07
1.786627e+01 1.950013e+07
1.804426e+01 1.898146e+07
1.822403e+01 1.847806e+07
1.840560e+01 1.797204e+07
1.858896e+01 1.747990e+07
1.877416e+01 1.700127e+07
1.896120e+01 1.653578e+07
1.915011e+01 1.612512e+07
1.934089e+01 1.573023e+07
1.953358e+01 1.531364e+07
1.972819e+01 1.490809e+07
1.992473e+01 1.451327e+07
2.012324e+01 1.412890e+07
2.032372e+01 1.376171e+07
2.052620e+01 1.341668e+07
2.073070e+01 1.310258e+07
2.093723e+01 1.279558e+07
2.114582e+01 1.247160e+07
2.135649e+01 1.214813e+07
2.156926e+01 1.183304e+07
2.178415e+01 1.152612e+07
2.200118e+01 1.122716e+07
2.222037e+01 1.093737e+07
2.244174e+01 1.065683e+07
2.266532e+01 1.038348e+07
2.289113e+01 1.011714e+07
2.311919e+01 9.851548e+06
2.334952e+01 9.591239e+06
2.358214e+01 9.337814e+06
2.381708e+01 9.091090e+06
2.405437e+01 8.850890e+06
2.429401e+01 8.617042e+06
2.453605e+01 8.386921e+06
2.478049e+01 8.162034e+06
2.502737e+01 7.943179e+06
2.527671e+01 7.730193e+06
2.552854e+01 7.522920e+06
2.578287e+01 7.321206e+06
2.603974e+01 7.124902e+06
2.629916e+01 6.933862e+06
2.656117e+01 6.747947e+06
2.682580e+01 6.567017e+06
2.709305e+01 6.399743e+06
2.736297e+01 6.239724e+06
2.763558e+01 6.083708e+06
2.791091e+01 5.931596e+06
2.818897e+01 5.783288e+06
2.846981e+01 5.638690e+06
2.875345e+01 5.492862e+06
2.903991e+01 5.348442e+06
2.932923e+01 5.207816e+06
2.962143e+01 5.070886e+06
2.991654e+01 4.937554e+06
3.021458e+01 4.807724e+06
3.051560e+01 4.681307e+06
3.081962e+01 4.560556e+06
3.112667e+01 4.443503e+06
