# Energy(MeV) Phi16_Sferica Phi84_Sferica
2.491130e+00 1.496763e+08 1.907399e+08
2.508415e+00 1.483182e+08 1.888410e+08
2.525820e+00 1.469690e+08 1.869608e+08
2.543346e+00 1.456331e+08 1.850918e+08
2.560993e+00 1.443098e+08 1.832403e+08
2.578763e+00 1.429986e+08 1.814070e+08
2.596656e+00 1.416992e+08 1.795914e+08
2.614673e+00 1.404113e+08 1.777897e+08
2.632815e+00 1.391349e+08 1.760059e+08
2.651084e+00 1.378698e+08 1.742360e+08
2.669478e+00 1.366160e+08 1.724768e+08
2.688001e+00 1.353733e+08 1.707352e+08
2.706652e+00 1.341417e+08 1.690149e+08
2.725433e+00 1.329211e+08 1.673314e+08
2.744343e+00 1.317114e+08 1.656644e+08
2.763385e+00 1.305124e+08 1.640138e+08
2.782559e+00 1.293147e+08 1.623765e+08
2.801867e+00 1.281255e+08 1.607500e+08
2.821308e+00 1.269471e+08 1.591395e+08
2.840884e+00 1.257794e+08 1.575450e+08
2.860596e+00 1.246272e+08 1.559663e+08
2.880444e+00 1.234960e+08 1.544032e+08
2.900430e+00 1.223748e+08 1.528556e+08
2.920556e+00 1.212636e+08 1.513233e+08
2.940820e+00 1.201623e+08 1.498025e+08
2.961225e+00 1.190708e+08 1.482957e+08
2.981772e+00 1.179895e+08 1.468098e+08
3.002462e+00 1.169177e+08 1.453383e+08
3.023295e+00 1.158555e+08 1.438686e+08
3.044272e+00 1.148027e+08 1.424248e+08
3.065395e+00 1.137592e+08 1.409953e+08
3.086665e+00 1.127221e+08 1.395799e+08
3.108082e+00 1.116928e+08 1.381786e+08
3.129648e+00 1.106728e+08 1.367911e+08
3.151363e+00 1.096618e+08 1.354174e+08
3.173230e+00 1.086598e+08 1.340573e+08
3.195248e+00 1.076667e+08 1.327107e+08
3.217418e+00 1.066825e+08 1.313775e+08
3.239743e+00 1.057058e+08 1.300573e+08
3.262222e+00 1.047357e+08 1.287484e+08
3.284857e+00 1.037743e+08 1.274593e+08
3.307650e+00 1.028215e+08 1.261878e+08
3.330600e+00 1.018773e+08 1.249289e+08
3.353710e+00 1.009415e+08 1.236823e+08
3.376980e+00 1.000127e+08 1.224414e+08
3.400412e+00 9.909198e+07 1.212141e+08
3.424006e+00 9.817950e+07 1.200090e+08
3.447764e+00 9.727523e+07 1.188156e+08
3.471687e+00 9.637910e+07 1.176277e+08
3.495776e+00 9.549103e+07 1.164325e+08
3.520031e+00 9.461095e+07 1.152492e+08
3.544456e+00 9.373918e+07 1.140778e+08
3.569049e+00 9.287090e+07 1.129172e+08
3.593814e+00 9.201011e+07 1.117683e+08
3.618750e+00 9.115712e+07 1.106310e+08
3.643859e+00 9.031193e+07 1.095050e+08
3.669142e+00 8.948017e+07 1.083900e+08
3.694601e+00 8.865588e+07 1.072882e+08
3.720237e+00 8.783900e+07 1.061978e+08
3.746050e+00 8.702945e+07 1.051214e+08
3.772042e+00 8.622718e+07 1.040572e+08
3.798215e+00 8.543212e+07 1.030025e+08
3.824570e+00 8.464420e+07 1.019583e+08
3.851107e+00 8.386367e+07 1.009246e+08
3.877828e+00 8.309092e+07 9.990114e+07
3.904735e+00 8.231936e+07 9.888793e+07
3.931829e+00 8.155479e+07 9.788484e+07
3.959110e+00 8.079714e+07 9.689176e+07
3.986581e+00 8.004636e+07 9.590860e+07
4.014242e+00 7.930239e+07 9.493347e+07
4.042096e+00 7.856515e+07 9.396802e+07
4.070142e+00 7.783766e+07 9.301224e+07
4.098384e+00 7.711943e+07 9.206603e+07
4.126821e+00 7.640764e+07 9.112929e+07
4.155455e+00 7.570224e+07 9.020193e+07
4.184289e+00 7.500225e+07 8.928386e+07
4.213322e+00 7.430507e+07 8.837498e+07
4.242556e+00 7.361418e+07 8.747520e+07
4.271994e+00 7.292955e+07 8.659436e+07
4.301636e+00 7.225110e+07 8.572233e+07
4.331483e+00 7.157880e+07 8.485488e+07
4.361538e+00 7.091257e+07 8.399381e+07
4.391801e+00 7.025236e+07 8.314133e+07
4.422274e+00 6.959813e+07 8.229972e+07
4.452959e+00 6.894982e+07 8.147870e+07
4.483856e+00 6.830737e+07 8.065381e+07
