# Energy(MeV) Phi16_Planare Phi84_Planare
6.217090e+00 2.943998e+08 3.137213e+08
6.303753e+00 2.898024e+08 3.086618e+08
6.391624e+00 2.852029e+08 3.036336e+08
6.480720e+00 2.807113e+08 2.985610e+08
6.571058e+00 2.762958e+08 2.936603e+08
6.662655e+00 2.719528e+08 2.889101e+08
6.755528e+00 2.677339e+08 2.841454e+08
6.849697e+00 2.634250e+08 2.794061e+08
6.945178e+00 2.592490e+08 2.748375e+08
7.041990e+00 2.551676e+08 2.703506e+08
7.140151e+00 2.511032e+08 2.657887e+08
7.239681e+00 2.470812e+08 2.613383e+08
7.340598e+00 2.430748e+08 2.569213e+08
7.442922e+00 2.390978e+08 2.526824e+08
7.546673e+00 2.352138e+08 2.484711e+08
7.651869e+00 2.313226e+08 2.443247e+08
7.758532e+00 2.275162e+08 2.399506e+08
7.866682e+00 2.237875e+08 2.357976e+08
7.976339e+00 2.200142e+08 2.318131e+08
8.087525e+00 2.163096e+08 2.278891e+08
8.200261e+00 2.126369e+08 2.239537e+08
8.314568e+00 2.090771e+08 2.200719e+08
8.430468e+00 2.056184e+08 2.162720e+08
8.547985e+00 2.021208e+08 2.125270e+08
8.667139e+00 1.986897e+08 2.088774e+08
8.787954e+00 1.952534e+08 2.052193e+08
8.910453e+00 1.918666e+08 2.016224e+08
9.034660e+00 1.884929e+08 1.980872e+08
9.160598e+00 1.852223e+08 1.946004e+08
9.288292e+00 1.819712e+08 1.911430e+08
9.417766e+00 1.787758e+08 1.877182e+08
9.549045e+00 1.756248e+08 1.844123e+08
9.682153e+00 1.724952e+08 1.810981e+08
9.817117e+00 1.694173e+08 1.778447e+08
9.953962e+00 1.663806e+08 1.746969e+08
1.009272e+01 1.633601e+08 1.716051e+08
1.023340e+01 1.604041e+08 1.685111e+08
1.037605e+01 1.574960e+08 1.654442e+08
1.052069e+01 1.546137e+08 1.624623e+08
1.066734e+01 1.517830e+08 1.595444e+08
1.081604e+01 1.489629e+08 1.566231e+08
1.096681e+01 1.462040e+08 1.536967e+08
1.111968e+01 1.435109e+08 1.508503e+08
1.127468e+01 1.407887e+08 1.480741e+08
1.143184e+01 1.381332e+08 1.453266e+08
1.159120e+01 1.354909e+08 1.426059e+08
1.175277e+01 1.329532e+08 1.398984e+08
1.191660e+01 1.304607e+08 1.371950e+08
1.208271e+01 1.279444e+08 1.345712e+08
1.225114e+01 1.254531e+08 1.319687e+08
1.242191e+01 1.230166e+08 1.294547e+08
1.259506e+01 1.206180e+08 1.269418e+08
1.277063e+01 1.182569e+08 1.244580e+08
1.294865e+01 1.159171e+08 1.220024e+08
1.312915e+01 1.136232e+08 1.195972e+08
1.331216e+01 1.113608e+08 1.172540e+08
1.349772e+01 1.091563e+08 1.149599e+08
1.368587e+01 1.069399e+08 1.126684e+08
1.387665e+01 1.047773e+08 1.103611e+08
1.407008e+01 1.026921e+08 1.081769e+08
1.426621e+01 1.005738e+08 1.059966e+08
1.446507e+01 9.851527e+07 1.038433e+08
1.466671e+01 9.648094e+07 1.016939e+08
1.487115e+01 9.446984e+07 9.962532e+07
1.507845e+01 9.251865e+07 9.755593e+07
1.528864e+01 9.056643e+07 9.550790e+07
1.550175e+01 8.867655e+07 9.352660e+07
1.571784e+01 8.679642e+07 9.158078e+07
1.593694e+01 8.495979e+07 8.963031e+07
1.615909e+01 8.312167e+07 8.772945e+07
1.638434e+01 8.131831e+07 8.584963e+07
1.661273e+01 7.955609e+07 8.401042e+07
1.684430e+01 7.784253e+07 8.218868e+07
1.707910e+01 7.616931e+07 8.038542e+07
1.731717e+01 7.451712e+07 7.861198e+07
1.755856e+01 7.288100e+07 7.687058e+07
1.780332e+01 7.123431e+07 7.516638e+07
1.805149e+01 6.962744e+07 7.348828e+07
1.830312e+01 6.805523e+07 7.183886e+07
1.855825e+01 6.651274e+07 7.021324e+07
1.881694e+01 6.498814e+07 6.861676e+07
1.907924e+01 6.350816e+07 6.704042e+07
1.934520e+01 6.204607e+07 6.549848e+07
1.961486e+01 6.060675e+07 6.397108e+07
1.988828e+01 5.918484e+07 6.247681e+07
2.016551e+01 5.778798e+07 6.099179e+07
2.044661e+01 5.641282e+07 5.954700e+07
2.073162e+01 5.506331e+07 5.814447e+07
2.102061e+01 5.373103e+07 5.674021e+07
2.131362e+01 5.243579e+07 5.538109e+07
2.161073e+01 5.115961e+07 5.403044e+07
2.191197e+01 4.990703e+07 5.270772e+07
2.221741e+01 4.867422e+07 5.141070e+07
2.252711e+01 4.745968e+07 5.015612e+07
2.284112e+01 4.627065e+07 4.891154e+07
2.315951e+01 4.509290e+07 4.767799e+07
2.348235e+01 4.396348e+07 4.646367e+07
2.380968e+01 4.285380e+07 4.529282e+07
2.414157e+01 4.174816e+07 4.412890e+07
2.447809e+01 4.064629e+07 4.299221e+07
2.481930e+01 3.958793e+07 4.188049e+07
2.516527e+01 3.853592e+07 4.077884e+07
2.551606e+01 3.750752e+07 3.970576e+07
2.587174e+01 3.651431e+07 3.864218e+07
2.623238e+01 3.551993e+07 3.761056e+07
2.659804e+01 3.454469e+07 3.660738e+07
2.696881e+01 3.360288e+07 3.562262e+07
2.734474e+01 3.268863e+07 3.466217e+07
2.772591e+01 3.177867e+07 3.370288e+07
2.811239e+01 3.087207e+07 3.277559e+07
2.850426e+01 2.998868e+07 3.185135e+07
2.890160e+01 2.910009e+07 3.096190e+07
2.930447e+01 2.827230e+07 3.009909e+07
2.971296e+01 2.746582e+07 2.924062e+07
