# Energy(MeV) Fluence_Planare_Median(cm^-2*MeV^-1)
1.528864e+01 9.331545e+07
1.550175e+01 9.135932e+07
1.571784e+01 8.943773e+07
1.593694e+01 8.756070e+07
1.615909e+01 8.568659e+07
1.638434e+01 8.384976e+07
1.661273e+01 8.203573e+07
1.684430e+01 8.025228e+07
1.707910e+01 7.851934e+07
1.731717e+01 7.679928e+07
1.755856e+01 7.511582e+07
1.780332e+01 7.342700e+07
1.805149e+01 7.179390e+07
1.830312e+01 7.019892e+07
1.855825e+01 6.861489e+07
1.881694e+01 6.703820e+07
1.907924e+01 6.548428e+07
1.934520e+01 6.396070e+07
1.961486e+01 6.246794e+07
1.988828e+01 6.099712e+07
2.016551e+01 5.956651e+07
2.044661e+01 5.815161e+07
2.073162e+01 5.674564e+07
2.102061e+01 5.538313e+07
2.131362e+01 5.405024e+07
2.161073e+01 5.272875e+07
2.191197e+01 5.143739e+07
2.221741e+01 5.016392e+07
2.252711e+01 4.891479e+07
2.284112e+01 4.768925e+07
2.315951e+01 4.649252e+07
2.348235e+01 4.531727e+07
2.380968e+01 4.416156e+07
2.414157e+01 4.302730e+07
2.447809e+01 4.189726e+07
2.481930e+01 4.080407e+07
2.516527e+01 3.972328e+07
2.551606e+01 3.866648e+07
2.587174e+01 3.763905e+07
2.623238e+01 3.662311e+07
2.659804e+01 3.563328e+07
2.696881e+01 3.466104e+07
2.734474e+01 3.371256e+07
2.772591e+01 3.278096e+07
2.811239e+01 3.186971e+07
2.850426e+01 3.098121e+07
2.890160e+01 3.010326e+07
2.930447e+01 2.924260e+07
2.971296e+01 2.841325e+07
3.012714e+01 2.758892e+07
3.054710e+01 2.679328e+07
3.097291e+01 2.600506e+07
3.140465e+01 2.524046e+07
3.184242e+01 2.448663e+07
3.228628e+01 2.375686e+07
3.273634e+01 2.304604e+07
3.319266e+01 2.234265e+07
3.365535e+01 2.164708e+07
3.412449e+01 2.096818e+07
3.460016e+01 2.030519e+07
3.508247e+01 1.967164e+07
3.557150e+01 1.904047e+07
3.606735e+01 1.843253e+07
3.657011e+01 1.784331e+07
3.707988e+01 1.726556e+07
3.759675e+01 1.670479e+07
3.812083e+01 1.615843e+07
3.865221e+01 1.561813e+07
3.919100e+01 1.509507e+07
3.973730e+01 1.457958e+07
4.029122e+01 1.407936e+07
4.085286e+01 1.359573e+07
4.142232e+01 1.312786e+07
4.199973e+01 1.266859e+07
4.258518e+01 1.222278e+07
4.317880e+01 1.178664e+07
4.378069e+01 1.135837e+07
4.439097e+01 1.094720e+07
4.500975e+01 1.054977e+07
4.563716e+01 1.016376e+07
4.627332e+01 9.782760e+06
4.691835e+01 9.412271e+06
4.757236e+01 9.061139e+06
4.823549e+01 8.713360e+06
4.890787e+01 8.379548e+06
4.958962e+01 8.059723e+06
5.028087e+01 7.746775e+06
5.098176e+01 7.440292e+06
5.169242e+01 7.147021e+06
5.241298e+01 6.859187e+06
5.314359e+01 6.587331e+06
5.388438e+01 6.319756e+06
5.463550e+01 6.063651e+06
5.539709e+01 5.818231e+06
5.616930e+01 5.582034e+06
5.695227e+01 5.355096e+06
5.774615e+01 5.132387e+06
5.855110e+01 4.923598e+06
5.936727e+01 4.714343e+06
6.019482e+01 4.518419e+06
6.103390e+01 4.331052e+06
6.188468e+01 4.145424e+06
6.274732e+01 3.970747e+06
6.362198e+01 3.799607e+06
6.450884e+01 3.639346e+06
6.540806e+01 3.481316e+06
6.631981e+01 3.331363e+06
6.724427e+01 3.183228e+06
6.818162e+01 3.046123e+06
6.913204e+01 2.914367e+06
7.009570e+01 2.788582e+06
7.107280e+01 2.666543e+06
7.206351e+01 2.548415e+06
7.306804e+01 2.435051e+06
7.408657e+01 2.325195e+06
7.511929e+01 2.222778e+06
7.616642e+01 2.126150e+06
7.722814e+01 2.031984e+06
7.830465e+01 1.942878e+06
7.939618e+01 1.857629e+06
8.050292e+01 1.774308e+06
8.162509e+01 1.695269e+06
8.276289e+01 1.618120e+06
8.391656e+01 1.544642e+06
8.508632e+01 1.476185e+06
8.627237e+01 1.410584e+06
8.747496e+01 1.347161e+06
8.869432e+01 1.286859e+06
8.993067e+01 1.230079e+06
9.118425e+01 1.174229e+06
9.245531e+01 1.122234e+06
9.374409e+01 1.072077e+06
9.505083e+01 1.024769e+06
9.637579e+01 9.793809e+05
9.771921e+01 9.358925e+05
9.908137e+01 8.947362e+05
1.004625e+02 8.555644e+05
1.018629e+02 8.171714e+05
1.032828e+02 7.810759e+05
1.047225e+02 7.467626e+05
1.061823e+02 7.143327e+05
1.076624e+02 6.826638e+05
1.091632e+02 6.529419e+05
1.106848e+02 6.239713e+05
1.122277e+02 5.965351e+05
1.137921e+02 5.706219e+05
1.153783e+02 5.457907e+05
1.169866e+02 5.221486e+05
1.186174e+02 4.994107e+05
1.202708e+02 4.778126e+05
1.219473e+02 4.567571e+05
1.236472e+02 4.370519e+05
1.253708e+02 4.184197e+05
1.271184e+02 4.005713e+05
1.288904e+02 3.829233e+05
1.306870e+02 3.658997e+05
1.325087e+02 3.502115e+05
1.343558e+02 3.351073e+05
1.362287e+02 3.206266e+05
1.381276e+02 3.066845e+05
1.400531e+02 2.933844e+05
1.420053e+02 2.806611e+05
1.439848e+02 2.684870e+05
1.459919e+02 2.567867e+05
1.480269e+02 2.455201e+05
1.500903e+02 2.348031e+05
1.521825e+02 2.245897e+05
1.543038e+02 2.149594e+05
1.564548e+02 2.055138e+05
1.586357e+02 1.965631e+05
1.608469e+02 1.881966e+05
1.630891e+02 1.799982e+05
1.653624e+02 1.721303e+05
1.676675e+02 1.647711e+05
1.700047e+02 1.576444e+05
1.723745e+02 1.507102e+05
1.747773e+02 1.439992e+05
1.772136e+02 1.375870e+05
1.796838e+02 1.315382e+05
1.821885e+02 1.257740e+05
1.847281e+02 1.203622e+05
1.873032e+02 1.152573e+05
1.899141e+02 1.102403e+05
1.925614e+02 1.054313e+05
1.952456e+02 1.008322e+05
1.979672e+02 9.643365e+04
2.007267e+02 9.222704e+04
2.035248e+02 8.817615e+04
2.063618e+02 8.435740e+04
2.092383e+02 8.075739e+04
2.121550e+02 7.732867e+04
2.151123e+02 7.404156e+04
2.181109e+02 7.089420e+04
2.211512e+02 6.785006e+04
2.242340e+02 6.487835e+04
2.273597e+02 6.203347e+04
2.305289e+02 5.929795e+04
2.337424e+02 5.666970e+04
2.370006e+02 5.420156e+04
2.403043e+02 5.184781e+04
2.436540e+02 4.959629e+04
2.470504e+02 4.744257e+04
2.504942e+02 4.538240e+04
2.539859e+02 4.341824e+04
2.575263e+02 4.154454e+04
2.611161e+02 3.973497e+04
2.647559e+02 3.800422e+04
2.684465e+02 3.634886e+04
2.721885e+02 3.476560e+04
2.759826e+02 3.325130e+04
2.798297e+02 3.180297e+04
2.837304e+02 3.041772e+04
2.876854e+02 2.909281e+04
2.916956e+02 2.782782e+04
2.957617e+02 2.663117e+04
2.998844e+02 2.548599e+04
3.040646e+02 2.439007e+04
3.083031e+02 2.333548e+04
3.126007e+02 2.231342e+04
3.169582e+02 2.134406e+04
3.213764e+02 2.041727e+04
3.258562e+02 1.953074e+04
3.303985e+02 1.868270e+04
3.350041e+02 1.787420e+04
3.396739e+02 1.709551e+04
3.444087e+02 1.635075e+04
3.492096e+02 1.563845e+04
3.540774e+02 1.495717e+04
3.590130e+02 1.429846e+04
3.640175e+02 1.367098e+04
3.690917e+02 1.307434e+04
3.742366e+02 1.250529e+04
3.794533e+02 1.196169e+04
3.847427e+02 1.144657e+04
3.901058e+02 1.095362e+04
3.955436e+02 1.047656e+04
4.010573e+02 1.002022e+04
4.066478e+02 9.583752e+03
4.123163e+02 9.167544e+03
4.180637e+02 8.770752e+03
4.238913e+02 8.391135e+03
4.298001e+02 8.027948e+03
4.357913e+02 7.680481e+03
4.418660e+02 7.348053e+03
4.480254e+02 7.030013e+03
4.542706e+02 6.724141e+03
4.606029e+02 6.430595e+03
4.670234e+02 6.149864e+03
4.735335e+02 5.881390e+03
4.801343e+02 5.624636e+03
4.868271e+02 5.379091e+03
4.936132e+02 5.144265e+03
5.004939e+02 4.919692e+03
5.074705e+02 4.704922e+03
5.145444e+02 4.499529e+03
5.217169e+02 4.303102e+03
5.289893e+02 4.115250e+03
5.363631e+02 3.935599e+03
5.438397e+02 3.763792e+03
5.514206e+02 3.599484e+03
5.591071e+02 3.442350e+03
5.669007e+02 3.292075e+03
5.748030e+02 3.149174e+03
5.828155e+02 3.012808e+03
5.909396e+02 2.882347e+03
5.991770e+02 2.757535e+03
6.075292e+02 2.638128e+03
6.159978e+02 2.523892e+03
6.245845e+02 2.415306e+03
6.332908e+02 2.311588e+03
6.421186e+02 2.212323e+03
6.510694e+02 2.117322e+03
6.601449e+02 2.026401e+03
6.693470e+02 1.939384e+03
6.786773e+02 1.855210e+03
6.881377e+02 1.774354e+03
6.977300e+02 1.697023e+03
7.074559e+02 1.623062e+03
7.173175e+02 1.552324e+03
7.273165e+02 1.484669e+03
7.374549e+02 1.420058e+03
7.477346e+02 1.358336e+03
7.581576e+02 1.299296e+03
7.687260e+02 1.242995e+03
7.794416e+02 1.189171e+03
7.903066e+02 1.137677e+03
8.013230e+02 1.088414e+03
8.124930e+02 1.041284e+03
8.238187e+02 9.961943e+02
8.353023e+02 9.528471e+02
8.469460e+02 9.112598e+02
8.587519e+02 8.714877e+02
8.707225e+02 8.334515e+02
8.828599e+02 7.970754e+02
8.951665e+02 7.624519e+02
9.076446e+02 7.291796e+02
9.202967e+02 6.973592e+02
9.331251e+02 6.669274e+02
9.461324e+02 6.378237e+02
9.593209e+02 6.099900e+02
9.726934e+02 5.834054e+02
9.862522e+02 5.581404e+02
1.000000e+03 5.339695e+02
