# Energy(MeV) Fluence_Sferica_Median(cm^-2*MeV^-1)
1.528864e+01 3.732618e+08
1.550175e+01 3.654373e+08
1.571784e+01 3.577509e+08
1.593694e+01 3.502428e+08
1.615909e+01 3.427464e+08
1.638434e+01 3.353991e+08
1.661273e+01 3.281429e+08
1.684430e+01 3.210091e+08
1.707910e+01 3.140774e+08
1.731717e+01 3.071971e+08
1.755856e+01 3.004633e+08
1.780332e+01 2.937080e+08
1.805149e+01 2.871756e+08
1.830312e+01 2.807957e+08
1.855825e+01 2.744596e+08
1.881694e+01 2.681528e+08
1.907924e+01 2.619371e+08
1.934520e+01 2.558428e+08
1.961486e+01 2.498718e+08
1.988828e+01 2.439885e+08
2.016551e+01 2.382661e+08
2.044661e+01 2.326064e+08
2.073162e+01 2.269826e+08
2.102061e+01 2.215325e+08
2.131362e+01 2.162010e+08
2.161073e+01 2.109150e+08
2.191197e+01 2.057495e+08
2.221741e+01 2.006557e+08
2.252711e+01 1.956592e+08
2.284112e+01 1.907570e+08
2.315951e+01 1.859701e+08
2.348235e+01 1.812691e+08
2.380968e+01 1.766463e+08
2.414157e+01 1.721092e+08
2.447809e+01 1.675891e+08
2.481930e+01 1.632163e+08
2.516527e+01 1.588931e+08
2.551606e+01 1.546659e+08
2.587174e+01 1.505562e+08
2.623238e+01 1.464925e+08
2.659804e+01 1.425331e+08
2.696881e+01 1.386442e+08
2.734474e+01 1.348502e+08
2.772591e+01 1.311238e+08
2.811239e+01 1.274788e+08
2.850426e+01 1.239248e+08
2.890160e+01 1.204130e+08
2.930447e+01 1.169704e+08
2.971296e+01 1.136530e+08
3.012714e+01 1.103557e+08
3.054710e+01 1.071731e+08
3.097291e+01 1.040202e+08
3.140465e+01 1.009619e+08
3.184242e+01 9.794654e+07
3.228628e+01 9.502746e+07
3.273634e+01 9.218417e+07
3.319266e+01 8.937061e+07
3.365535e+01 8.658831e+07
3.412449e+01 8.387273e+07
3.460016e+01 8.122077e+07
3.508247e+01 7.868655e+07
3.557150e+01 7.616188e+07
3.606735e+01 7.373012e+07
3.657011e+01 7.137323e+07
3.707988e+01 6.906226e+07
3.759675e+01 6.681915e+07
3.812083e+01 6.463372e+07
3.865221e+01 6.247252e+07
3.919100e+01 6.038028e+07
3.973730e+01 5.831830e+07
4.029122e+01 5.631744e+07
4.085286e+01 5.438291e+07
4.142232e+01 5.251143e+07
4.199973e+01 5.067436e+07
4.258518e+01 4.889111e+07
4.317880e+01 4.714657e+07
4.378069e+01 4.543348e+07
4.439097e+01 4.378881e+07
4.500975e+01 4.219909e+07
4.563716e+01 4.065505e+07
4.627332e+01 3.913104e+07
4.691835e+01 3.764909e+07
4.757236e+01 3.624455e+07
4.823549e+01 3.485344e+07
4.890787e+01 3.351819e+07
4.958962e+01 3.223889e+07
5.028087e+01 3.098710e+07
5.098176e+01 2.976117e+07
5.169242e+01 2.858808e+07
5.241298e+01 2.743675e+07
5.314359e+01 2.634932e+07
5.388438e+01 2.527902e+07
5.463550e+01 2.425460e+07
5.539709e+01 2.327292e+07
5.616930e+01 2.232814e+07
5.695227e+01 2.142038e+07
5.774615e+01 2.052955e+07
5.855110e+01 1.969439e+07
5.936727e+01 1.885737e+07
6.019482e+01 1.807368e+07
6.103390e+01 1.732421e+07
6.188468e+01 1.658170e+07
6.274732e+01 1.588299e+07
6.362198e+01 1.519843e+07
6.450884e+01 1.455738e+07
6.540806e+01 1.392526e+07
6.631981e+01 1.332545e+07
6.724427e+01 1.273291e+07
6.818162e+01 1.218449e+07
6.913204e+01 1.165747e+07
7.009570e+01 1.115433e+07
7.107280e+01 1.066617e+07
7.206351e+01 1.019366e+07
7.306804e+01 9.740202e+06
7.408657e+01 9.300780e+06
7.511929e+01 8.891111e+06
7.616642e+01 8.504602e+06
7.722814e+01 8.127936e+06
7.830465e+01 7.771513e+06
7.939618e+01 7.430514e+06
8.050292e+01 7.097233e+06
8.162509e+01 6.781077e+06
8.276289e+01 6.472481e+06
8.391656e+01 6.178566e+06
8.508632e+01 5.904740e+06
8.627237e+01 5.642336e+06
8.747496e+01 5.388646e+06
8.869432e+01 5.147438e+06
8.993067e+01 4.920317e+06
9.118425e+01 4.696914e+06
9.245531e+01 4.488936e+06
9.374409e+01 4.288307e+06
9.505083e+01 4.099076e+06
9.637579e+01 3.917524e+06
9.771921e+01 3.743570e+06
9.908137e+01 3.578945e+06
1.004625e+02 3.422257e+06
1.018629e+02 3.268686e+06
1.032828e+02 3.124304e+06
1.047225e+02 2.987050e+06
1.061823e+02 2.857331e+06
1.076624e+02 2.730655e+06
1.091632e+02 2.611768e+06
1.106848e+02 2.495885e+06
1.122277e+02 2.386140e+06
1.137921e+02 2.282488e+06
1.153783e+02 2.183163e+06
1.169866e+02 2.088594e+06
1.186174e+02 1.997643e+06
1.202708e+02 1.911250e+06
1.219473e+02 1.827029e+06
1.236472e+02 1.748208e+06
1.253708e+02 1.673679e+06
1.271184e+02 1.602285e+06
1.288904e+02 1.531693e+06
1.306870e+02 1.463599e+06
1.325087e+02 1.400846e+06
1.343558e+02 1.340429e+06
1.362287e+02 1.282506e+06
1.381276e+02 1.226738e+06
1.400531e+02 1.173537e+06
1.420053e+02 1.122644e+06
1.439848e+02 1.073948e+06
1.459919e+02 1.027147e+06
1.480269e+02 9.820803e+05
1.500903e+02 9.392123e+05
1.521825e+02 8.983587e+05
1.543038e+02 8.598375e+05
1.564548e+02 8.220553e+05
1.586357e+02 7.862524e+05
1.608469e+02 7.527865e+05
1.630891e+02 7.199927e+05
1.653624e+02 6.885214e+05
1.676675e+02 6.590843e+05
1.700047e+02 6.305777e+05
1.723745e+02 6.028410e+05
1.747773e+02 5.759967e+05
1.772136e+02 5.503479e+05
1.796838e+02 5.261530e+05
1.821885e+02 5.030962e+05
1.847281e+02 4.814489e+05
1.873032e+02 4.610293e+05
1.899141e+02 4.409612e+05
1.925614e+02 4.217253e+05
1.952456e+02 4.033287e+05
1.979672e+02 3.857346e+05
2.007267e+02 3.689082e+05
2.035248e+02 3.527046e+05
2.063618e+02 3.374296e+05
2.092383e+02 3.230296e+05
2.121550e+02 3.093147e+05
2.151123e+02 2.961662e+05
2.181109e+02 2.835768e+05
2.211512e+02 2.714002e+05
2.242340e+02 2.595134e+05
2.273597e+02 2.481339e+05
2.305289e+02 2.371918e+05
2.337424e+02 2.266788e+05
2.370006e+02 2.168062e+05
2.403043e+02 2.073912e+05
2.436540e+02 1.983852e+05
2.470504e+02 1.897703e+05
2.504942e+02 1.815296e+05
2.539859e+02 1.736730e+05
2.575263e+02 1.661782e+05
2.611161e+02 1.589399e+05
2.647559e+02 1.520169e+05
2.684465e+02 1.453954e+05
2.721885e+02 1.390624e+05
2.759826e+02 1.330052e+05
2.798297e+02 1.272119e+05
2.837304e+02 1.216709e+05
2.876854e+02 1.163712e+05
2.916956e+02 1.113113e+05
2.957617e+02 1.065247e+05
2.998844e+02 1.019440e+05
3.040646e+02 9.756030e+04
3.083031e+02 9.334193e+04
3.126007e+02 8.925367e+04
3.169582e+02 8.537623e+04
3.213764e+02 8.166910e+04
3.258562e+02 7.812296e+04
3.303985e+02 7.473081e+04
3.350041e+02 7.149680e+04
3.396739e+02 6.838205e+04
3.444087e+02 6.540302e+04
3.492096e+02 6.255378e+04
3.540774e+02 5.982868e+04
3.590130e+02 5.719386e+04
3.640175e+02 5.468393e+04
3.690917e+02 5.229734e+04
3.742366e+02 5.002116e+04
3.794533e+02 4.784677e+04
3.847427e+02 4.578626e+04
3.901058e+02 4.381450e+04
3.955436e+02 4.190624e+04
4.010573e+02 4.008086e+04
4.066478e+02 3.833501e+04
4.123163e+02 3.667018e+04
4.180637e+02 3.508301e+04
4.238913e+02 3.356454e+04
4.298001e+02 3.211179e+04
4.357913e+02 3.072192e+04
4.418660e+02 2.939221e+04
4.480254e+02 2.812005e+04
4.542706e+02 2.689656e+04
4.606029e+02 2.572238e+04
4.670234e+02 2.459946e+04
4.735335e+02 2.352556e+04
4.801343e+02 2.249854e+04
4.868271e+02 2.151636e+04
4.936132e+02 2.057706e+04
5.004939e+02 1.967877e+04
5.074705e+02 1.881969e+04
5.145444e+02 1.799811e+04
5.217169e+02 1.721241e+04
5.289893e+02 1.646100e+04
5.363631e+02 1.574240e+04
5.438397e+02 1.505517e+04
5.514206e+02 1.439794e+04
5.591071e+02 1.376940e+04
5.669007e+02 1.316830e+04
5.748030e+02 1.259669e+04
5.828155e+02 1.205123e+04
5.909396e+02 1.152939e+04
5.991770e+02 1.103014e+04
6.075292e+02 1.055251e+04
6.159978e+02 1.009557e+04
