# Energy(MeV) Fluence_Planare_Median
2.209850e+01 1.090023e+06
2.238016e+01 1.052763e+06
2.266542e+01 1.016963e+06
2.295430e+01 9.826236e+05
2.324688e+01 9.494717e+05
2.354318e+01 9.173390e+05
2.384325e+01 8.860216e+05
2.414715e+01 8.557735e+05
2.445493e+01 8.265581e+05
2.476663e+01 7.983403e+05
2.508230e+01 7.714399e+05
2.540199e+01 7.452610e+05
2.572576e+01 7.199123e+05
2.605366e+01 6.956203e+05
2.638573e+01 6.721994e+05
2.672204e+01 6.493751e+05
2.706263e+01 6.271588e+05
2.740757e+01 6.057456e+05
2.775690e+01 5.849826e+05
2.811069e+01 5.649863e+05
2.846898e+01 5.458642e+05
2.883184e+01 5.272445e+05
2.919932e+01 5.093151e+05
2.957149e+01 4.922377e+05
2.994841e+01 4.753097e+05
3.033012e+01 4.589124e+05
3.071671e+01 4.429521e+05
3.110821e+01 4.277393e+05
3.150471e+01 4.130490e+05
3.190627e+01 3.989716e+05
3.231294e+01 3.854318e+05
3.272479e+01 3.723454e+05
3.314190e+01 3.596680e+05
3.356432e+01 3.473149e+05
3.399212e+01 3.355259e+05
3.442538e+01 3.241601e+05
3.486416e+01 3.132331e+05
3.530853e+01 3.026275e+05
3.575857e+01 2.923956e+05
3.621434e+01 2.824155e+05
3.667592e+01 2.728222e+05
3.714338e+01 2.636353e+05
3.761681e+01 2.546911e+05
3.809626e+01 2.458762e+05
3.858183e+01 2.374066e+05
3.907359e+01 2.293141e+05
3.957161e+01 2.214975e+05
4.007598e+01 2.139095e+05
4.058679e+01 2.066523e+05
4.110410e+01 1.996251e+05
4.162800e+01 1.928396e+05
4.215858e+01 1.862848e+05
4.269593e+01 1.799527e+05
4.324012e+01 1.738141e+05
4.379126e+01 1.678476e+05
4.434941e+01 1.621372e+05
4.491468e+01 1.567050e+05
4.548715e+01 1.513614e+05
4.606692e+01 1.461973e+05
4.665408e+01 1.411799e+05
4.724873e+01 1.363845e+05
4.785095e+01 1.317383e+05
4.846085e+01 1.272652e+05
4.907852e+01 1.228926e+05
4.970407e+01 1.186911e+05
5.033759e+01 1.146465e+05
5.097918e+01 1.107393e+05
5.162895e+01 1.069605e+05
5.228701e+01 1.033270e+05
5.295345e+01 9.982998e+04
5.362838e+01 9.644152e+04
5.431192e+01 9.318460e+04
5.500417e+01 9.001914e+04
5.570524e+01 8.696275e+04
5.641525e+01 8.401818e+04
5.713431e+01 8.117728e+04
5.786253e+01 7.841157e+04
5.860004e+01 7.572169e+04
5.934694e+01 7.313036e+04
6.010337e+01 7.067316e+04
