Energy(MeV) Planare_Fluence(cm^-2*MeV^-1)
2.544434e+00 2.197369e+09
2.595437e+00 2.147017e+09
2.647462e+00 2.097014e+09
2.700530e+00 2.047661e+09
2.754662e+00 1.998848e+09
2.809879e+00 1.951739e+09
2.866203e+00 1.905344e+09
2.923656e+00 1.861349e+09
2.982260e+00 1.817957e+09
3.042039e+00 1.775070e+09
3.103017e+00 1.732675e+09
3.165216e+00 1.691246e+09
3.228663e+00 1.650821e+09
3.293381e+00 1.610873e+09
3.359397e+00 1.572017e+09
3.426736e+00 1.533349e+09
3.495424e+00 1.496230e+09
3.565490e+00 1.459740e+09
3.636960e+00 1.424608e+09
3.709862e+00 1.390152e+09
3.784226e+00 1.356121e+09
3.860081e+00 1.323406e+09
3.937456e+00 1.290792e+09
4.016382e+00 1.259353e+09
4.096890e+00 1.228766e+09
4.179012e+00 1.199226e+09
4.262780e+00 1.169186e+09
4.348227e+00 1.139591e+09
4.435387e+00 1.110495e+09
4.524294e+00 1.082413e+09
4.614983e+00 1.054618e+09
4.707490e+00 1.027057e+09
4.801851e+00 1.000511e+09
4.898104e+00 9.750934e+08
4.996286e+00 9.496203e+08
5.096436e+00 9.256166e+08
5.198594e+00 9.018846e+08
5.302799e+00 8.787449e+08
5.409093e+00 8.561703e+08
5.517518e+00 8.332847e+08
5.628116e+00 8.108088e+08
5.740932e+00 7.893122e+08
5.856008e+00 7.678010e+08
5.973391e+00 7.471644e+08
6.093127e+00 7.269998e+08
6.215264e+00 7.077537e+08
6.339848e+00 6.884645e+08
6.466930e+00 6.696657e+08
6.596559e+00 6.514847e+08
6.728787e+00 6.336736e+08
6.863665e+00 6.162230e+08
7.001246e+00 5.986486e+08
7.141586e+00 5.818271e+08
7.284738e+00 5.656311e+08
7.430760e+00 5.494916e+08
7.579709e+00 5.332418e+08
7.731644e+00 5.178088e+08
7.886624e+00 5.025414e+08
8.044711e+00 4.879651e+08
8.205967e+00 4.736774e+08
8.370455e+00 4.591361e+08
8.538240e+00 4.453404e+08
8.709388e+00 4.321485e+08
8.883967e+00 4.193877e+08
9.062045e+00 4.068641e+08
9.243693e+00 3.946359e+08
9.428983e+00 3.825572e+08
9.617986e+00 3.706517e+08
9.810778e+00 3.590739e+08
1.000743e+01 3.477934e+08
1.020803e+01 3.369898e+08
1.041265e+01 3.264917e+08
1.062137e+01 3.160809e+08
1.083428e+01 3.059338e+08
1.105145e+01 2.961129e+08
1.127297e+01 2.861867e+08
1.149894e+01 2.769564e+08
1.172944e+01 2.679740e+08
